U06,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
584137,Head of Military Intelligence,Agnes Cunningham,2,Technical Specialist,Agnes_Cunningham
584026,Minister of Armament,Albert B. Chandler,6,Battle Fleet Proponent,M573026
584102,Minister of Armament,Albert Gore; Sr,5,Resource Industrialist,Albert_Gore_Sr
584146,Foreign Minister,Alvin C. York,5,General Staffer,Alvin_C_York
584098,Minister of Armament,Alvin C. York,5,Military Entrepreneur,Alvin_C_York
584148,Foreign Minister,Asa Carter,8,Ideological Crusader,Asa_Carter
584149,Foreign Minister,Asa Carter,6,Ideological Crusader,Asa_Carter
584038,Head of Military Intelligence,Benjamin Travis Laney,6,Naval Intelligence Specialist,M573038
584154,Chief of Air Force,Bruce K. Holloway,3,Carpet Bombing Doctrine,Holloway
584113,Minister of Security,Bull Connor,8,Prince of Terror,Bull_Connor
584022,Minister of Armament,Burnett Rhett Maybank,6,Air to Ground Proponent,M573022
584019,Minister of Armament,Carl Bailey,6,Strategic Air Proponent,M573019
584150,Foreign Minister,Charles Douville Coburn,6,Ideological Crusader,Charles_Douville_Coburn
584016,Foreign Minister,Chauncey Sparks,6,Great Compromiser,M573016
584129,Minister of Security,Clay Fulks,2,Crime Fighter,unknown
584012,Foreign Minister,Clyde Roark Hoey,6,Biased Intellectual,M573012
584021,Minister of Armament,Colgate W. Darden Jr.,6,Administrative Genius,M573021
584109,Minister of Armament,Covington Hall,2,Resource Industrialist,unknown
584018,Minister of Armament,David Bibb Graves,8,laissez-faire capitalist,M573018
584116,Minister of Security,David Bibb Graves,8,Man of the People,M573018
584027,Minister of Armament,David Sholtz,6,Submarine Proponent,M573027
584040,Chief of Staff,Dennis J. Murphree,6,School of Psychology,M573040
584133,Head of Military Intelligence,Edward Alan Burkhalter,5,Naval Intelligence Specialist,unknown
584132,Head of Military Intelligence,Edward Boss Crump,5,Political Specialist,Edward_Boss_Crump
584009,Chief of Navy,Edward I. Bourne,6,Indirect Approach Doctrine,M573009
584082,Head of Government,Ellis Arnall,4,Naive Optimist,Ellis_Arnall
584083,Head of Government,Estes Kefauver,4,Backroom Backstabber,Estes_Kefauver
584112,Minister of Security,Estes Kefauver,5,Man of the People,Estes_Kefauver
584013,Foreign Minister,Eugene Talmadge,6,Iron Fisted Brute,M573013
584035,Head of Military Intelligence,Eurith Dickinson Rivers,6,Political Specialist,M573035
584044,Chief of Army,Fielding Lewis Wright,6,Guns and Butter Doctrine,M573044
584087,Head of Government,Fielding Lewis Wright,6,Old General,Fielding_Lewis_Wright
584034,Minister of Security,Forrester C. Donnell,6,Crooked Kleptocrat,M573034
584094,Head of Government,Francis Adams Cherry,6,Silent Workhorse,Francis_Adams_Cherry
584028,Minister of Security,Frank Murray Dixon,6,Back Stabber,M573028
584023,Minister of Armament,Frederick Preston Cone,6,Air to Sea Proponent,M573023
584100,Minister of Armament,George L. Berry,4,Resource Industrialist,George_L_Berry
584142,Chief of Navy,George Rappleyea,5,Base Control Doctrine,George_Rappleyea
584099,Minister of Armament,George Rappleyea,5,Resource Industrialist,George_Rappleyea
584080,Head of Government,George Wallace,8,Flamboyant Tough Guy,George_Wallace
584097,Head of Government,George Wallace,6,Flamboyant Tough Guy,George_Wallace
584122,Minister of Security,George Wallace,6,Prince of Terror,George_Wallace
584123,Minister of Security,George Wallace,8,Man of the People,George_Wallace
584037,Head of Military Intelligence,Gordon Weaver Browning,6,Logistics Specialist,M573037
584036,Head of Military Intelligence,Guy Brasfield Park,6,Dismal Enigma,M573036
584046,Chief of Navy,Harold Eisert,6,Open Seas Doctrine,M573046
584136,Head of Military Intelligence,Harry Flood Byrd; Sr,6,Political Specialist,Harry_Flood_Byrd_Sr
584108,Minister of Armament,Harry Flood Byrd; Sr,6,laissez-faire capitalist,Harry_Flood_Byrd_Sr
584017,Minister of Armament,Harry Hill McAllister,6,Infantry Proponent,M573017
584078,Head of Government,Harry L. Mitchell,3,Ambitious Union Boss,Harry_L_Mitchell
584114,Minister of Security,Hattie Caraway,5,Compassionate Gentleman,Hattie_Caraway
584125,Minister of Security,Hellen Keller,2,Compassionate Gentleman,Hellen_Keller
584008,Chief of Army,Henry Jouett,6,Elastic Defence Doctrine,M573008
584090,Head of Government,Herman Talmadge,5,Backroom Backstabber,Herman_Talmadge
584039,Head of Military Intelligence,Homer M. Adkins,6,Technical Specialist,M573039
584120,Minister of Security,Hugo Black,4,Compassionate Gentleman,M6205
584138,Head of Military Intelligence,J. William Fulbright,5,Political Specialist,J_William_Fulbright
584081,Head of Government,James H. Price,5,Corporate Suit,kai_jmshprc
584029,Minister of Security,James H. Price,6,Prince of Terror,M573029
584015,Foreign Minister,James Houston Davies,6,Ideological Crusader,M573015
584158,Chief of Air Force,James L. Holloway III,3,Naval Aviation Doctrine,Holloway_III
584157,Chief of Navy,James L. Holloway III,3,Power Projection Doctrine,Holloway_III
584156,Head of Military Intelligence,James L. Holloway III,3,Technical Specialist,Holloway_III
584155,Minister of Armament,James L. Holloway III,3,Air to Sea Proponent,Holloway_III
584130,Minister of Security,James Oliver Eastland,6,Crime Fighter,James_Oliver_Eastland
584093,Head of Government,James P. Coleman,5,Backroom Backstabber,James_P_Coleman
584106,Minister of Armament,James T. Heflin,8,Military Entrepreneur,James_T_Heflin
584024,Minister of Armament,Jim Nance McCord,6,Military Entrepreneur,M573024
584014,Foreign Minister,John C.B. Ehringhaus,6,General Staffer,M573014
584085,Head of Government,John Cornelius Stennis,6,Silent Workhorse,John_Cornelius_Stennis
584159,Minister of Security,John Elliot Rankin,7,Compassionate Gentleman,John_Elliot_Rankin
584051,Chief of Air Force,John Faulkenberry,6,Air Superiority Doctrine,M573051
