BUL,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
19082,Minister of Armament,Aleksandar Gerginov,6,Resource Industrialist,M19014
19098,Minister of Security,Aleksandar Gerginov,6,Silent Lawyer,M19014
19062,Foreign Minister,Aleksander Nikolaiev,7,Ideological Crusader,M19062
19055,Head of Government,Aleksander Tsankov,9,Backroom Backstabber,M19021
19067,Foreign Minister,Aleksandur Tsankov,8,Ideological Crusader,M19021
19095,Minister of Security,Aleksandyr Stanishev,7,Prince of Terror,M19095
19104,Minister of Security,Anton Yugov,0,Prince of Terror,M19035
19138,Chief of Navy,Asen Toshev,7,Open Seas Doctrine,M19138
19124,Chief of Staff,Assen Grekov,0,School of Manoeuvre,M19124
19068,Foreign Minister,Atanas Burov,6,Great Compromiser,M19068
19111,Head of Military Intelligence,Atanas Burov,6,Industrial Specialist,M19016
19083,Minister of Armament,Atanas Burov,6,Laissez-Faire Capitalist,M19083
19139,Chief of Navy,Atanas Shalapatov,8,Decisive Naval Battle Doctrine,M19029
19063,Foreign Minister,Bogdan Filov,7,Biased Intellectual,KRFilov
19052,Head of Government,Bogdan Filov,7,Political Protege,KRFilov
19081,Minister of Armament,Bogdan Filov,8,Infantry Proponent,KRFilov
19110,Head of Military Intelligence,Boris Botan,6,Naval Intelligence Specialist,M19110
19146,Chief of Air Force,Chudomir Toplodolski,8,Vertical Envelopment Doctrine,M19030
19122,Chief of Staff,Damjan Velchev,2,School of Psychology,M19122
19145,Chief of Air Force,Dimitar Ayrjanov,7,Air Superiority Doctrine,M19145
19006,Head of Military Intelligence,Dimitar Peshev,7,Dismal Enigma,M19006
19096,Minister of Security,Dimitar Peshev,8,Compassionate Gentleman,M19006
19084,Minister of Armament,Dimitar Savov,6,Tank Proponent,M19084
19064,Foreign Minister,Dimitar Shishmanov,7,The Cloak N Dagger Schemer,M19064
19053,Head of Government,Dobri Bojilov,7,Corporate Suit,M19053
19077,Minister of Armament,Dobri Bojilov,7,Infantry Proponent,M19053
19094,Minister of Security,Docho Hristov,7,Crooked Kleptocrat,M19094
19069,Foreign Minister,Georgi Brasov,6,Biased Intellectual,M19069
19075,Foreign Minister,Georgi Damianov,0,Iron Fisted Brute,M19075
19060,Head of Government,Georgi Dimitrov,0,Political Protege,M19032
19088,Minister of Armament,Georgi Dimitrov,0,Military Entrepreneur,M19032
19148,Chief of Air Force,Georgi Drenikov,6,Carpet Bombing Doctrine,M19148
19003,Foreign Minister,Georgi Kioseivanov,7,Biased Intellectual,KRGeorgi
19002,Head of Government,Georgi Kioseivanov,7,Backroom Backstabber,KRGeorgi
19073,Foreign Minister,Georgi Kulichev,2,The Cloak N Dagger Schemer,M19073
19156,Head of Government,Georgi Kulichev,2,Happy Amateur,M19073
19112,Head of Military Intelligence,Georgi Kulichev,2,Naval Intelligence Specialist,M19073
19102,Minister of Security,Georgi Kulichev,2,Crime Fighter,M19073
19019,Chief of Navy,Georgi Petsov,6,Base Control Doctrine,M19019
19121,Chief of Staff,Georgi Petsov,6,School of Defence,M19019
19078,Minister of Armament,Georgi Sapov,7,Corrupt Kleptocrat,M19005
19005,Minister of Security,Georgi Sapov,7,Crime Fighter,M19005
19130,Chief of Army,Hristo Lukov,8,Static Defence Doctrine,M19007
19007,Chief of Staff,Hristo Lukov,7,School of Defence,M19007
19123,Chief of Staff,Hristo Mikhailov,0,School of Mass Combat,M19037
19125,Chief of Army,Iordan Peev,7,Decisive Battle Doctrine,M19125
19065,Foreign Minister,Ivan Bagrianov,7,Iron Fisted Brute,M19054
19054,Head of Government,Ivan Bagrianov,7,Old General,M19054
19085,Minister of Armament,Ivan Gaidimitriv,6,Strategic Air Proponent,M19085
19136,Chief of Army,Ivan Kinov,0,Armoured Spearhead Doctrine,M19136
19091,Minister of Security,Ivan Krasnovski,7,Efficient Sociopath,M19091
