RUS,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
4080,Head of State,E.I.V. Kyril l Romanov,1936,1964,1999,8,Restored Autocrat,High,kaiserreich kyrilromanov,X
4082,Foreign Minister,Pyotr B. Struve,1936,1964,1999,4,Ideological Crusader,High,Pyotr_Struve,X
4083,Minister of Armament,Nikolai A. Maklakov,1936,1964,1999,8,Military Entrepreneur,High,M4083,X
4084,Minister of Security,Vladimir Malyshkin,1960,1964,1999,8,Back Stabber,Very High,M4084,X
4085,Head of Military Intelligence,Mikhail A. Meandrov,1936,1964,1999,8,Dismal Enigma,Very High,M4085,X
4086,Chief of Staff,Anton I. Denikin,1936,1964,1999,7,School of Mass Combat,High,Mrus Denikin,X
4087,Chief of Army,Lavrentij Kornilov,1960,1964,1999,8,Guns and Butter Doctrine,Very High,M4087,X
4088,Chief of Navy,Boris Makaroff,1960,1964,1999,8,Decisive Naval Battle Doctrine,High,M4088,X
4090,Head of State,Pavel N. Shatilov,1945,1964,1999,9,Stern Imperialist,High,Shatilov,X
4091,Head of State,E.I.V. Vladimir III Romanov,1938,1964,1999,7,New Generation Autocrat,High,kaiserreich vladimirromanov,X
4092,Head of State,Aleksandr F. Kerensky,1936,1964,1999,4,Unpopular President,High,kaiserreich_RUS_kerensky,X
4093,Head of Government,Viktor L. Pokrovsky,1960,1964,1999,9,Backroom Backstabber,High,L500069,X
4094,Head of Government,Patriarch Kiril,1936,1964,1999,7,Spiritual Leader,Very High,KR_PatrKirr,X
4095,Head of Government,Iraklij G. Tsereteliy,1936,1964,1999,3,Naive Optimist,High,M4095,X
4096,Foreign Minister,Boris V. Stürmer,1936,1964,1999,8,Iron Fisted Brute,Medium,M4096,X
4097,Foreign Minister,Georgiy Chicherin,1936,1964,1999,1,Biased Intellectual,Medium,M4097,X
4098,Foreign Minister,Alexei A. Ignatiev,1936,1964,1999,8,The Cloak N Dagger Schemer,Medium,Kaiserreich Alexei Ignatiev,X
4099,Foreign Minister,Viktor M. Chernov,1936,1964,1999,3,Apologetic Clerk,Medium,M4099,X
4100,Foreign Minister,Mikhail A. Taube,1936,1964,1999,7,Ideological Crusader,Very High,MRUS Taube,X
4102,Foreign Minister,Aleksandr I. Konovalov,1936,1964,1999,5,Apologetic Clerk,Medium,M4102,X
4103,Minister of Armament,Mikhail Rodzyanko,1936,1964,1999,7,Resource Industrialist,High,M4103,X
4104,Minister of Armament,Nikolai P. Krasnov,1936,1964,1999,9,Construction Magnate,High,M4104,X
4105,Minister of Armament,Nikanor V. Savic,1936,1964,1999,8,Industrialiser,Very High,RUS_Nikanor,X
4106,Minister of Armament,Alexei A. Ignatiev,1936,1964,1999,8,Military Entrepreneur,High,Kaiserreich Alexei Ignatiev,X
4107,Minister of Armament,Vladimir von Kappel,1936,1964,1999,7,Military Entrepreneur,High,L500106,X
4318,Chief of Army,Nikolai N. Dukhonin,1936,1970,1999,4,Decisive Battle Doctrine,Very High,Dukhonin,X
4319,Chief of Staff,Nikolai N. Dukhonin,1936,1970,1999,4,School of Mass Combat,Very High,Dukhonin,X
4320,Head of Military Intelligence,Yevgeny K. Miller,1936,1970,1999,6,Logistics Specialist,Very High,L500062,X
4321,Foreign Minister,Alexei M. Nikitin,1936,1970,1999,5,Great Compromiser,Very High,Kaiserreich Nikitin,X
4322,Chief of Staff,Mikhail D. Bonch-Bruyevich,1936,1970,1999,3,School of Defence,Very High,Kaiserreich Bonch,X
4323,Chief of Army,Mikhail D. Bonch-Bruyevich,1936,1970,1999,3,Static Defence Doctrine,Very High,Kaiserreich Bonch,X
4109,Minister of Armament,Ivan G. Erdeli,1936,1964,1999,6,Infantry Proponent,High,Erdeli,X
4110,Head of Government,Georgiy P. Ignatiev,1943,1964,1999,6,Silent Workhorse,High,Georgi_Ignatiev,X
4111,Minister of Security,Grigorij R. Semyonov,1960,1964,1999,9,Efficient Sociopath,Very High,M4111,X
4113,Minister of Security,Mikhail Rodzyanko,1936,1964,1999,7,Silent Lawyer,Very High,M4103,X
4114,Minister of Security,Viktor L. Pokrovsky,1936,1964,1999,9,Back Stabber,Undying,L500069,X
4115,Minister of Security,Matvey Skobelev,1936,1964,1999,6,Prince of Terror,Very High,M4115,X
4117,Foreign Minister,Maxim M. Litvinov,1936,1964,1999,0,Biased Intellectual,High,M4003,X
4118,Minister of Armament,Sergei M. Kirov,1936,1964,1999,0,Resource Industrialist,High,kaiserreich sergeikirov,X
4119,Minister of Security,Sergei P. Melgunov,1936,1964,1999,7,Man of the People,Very High,Kaiserreich Melgunov,X
4120,Head of Military Intelligence,Yan K. Berzin,1936,1964,1999,0,Technical Specialist,High,M4006,X
4122,Head of Military Intelligence,Aleksandr S. Antonov,1936,1964,1999,9,Logistics Specialist,Very High,M4122,X
4338,Chief of Army,Aleksandr S. Antonov,1936,1970,1999,9,Doctrine of Autonomy,Very High,M4122,X
4339,Chief of Staff,Vasily V. Biskupsky,1936,1970,1999,9,School of Mass Combat,Very High,MRUS Biskupsky,X
4340,Chief of Staff,Bronislav V. Kaminski,1936,1970,1999,9,School of Fire Support,Very High,MRUS Kaminski,X
4341,Minister of Security,Bronislav V. Kaminski,1936,1970,1999,9,Prince of Terror,Very High,MRUS Kaminski,X
4342,Chief of Army,Konstantin P. Voskoboinik,1936,1970,1999,9,Decisive Battle Doctrine,Very High,MRUS Voskoboinik,X
4343,Minister of Armament,Yuri V. Kluchnikov,1936,1970,1999,9,Construction Magnate,Very High,MRUS Kluchnikov,X
4344,Foreign Minister,Aleksei N. Tolstoy,1936,1970,1999,9,Biased Intellectual,Very High,MRUS Tolstoy,X
4345,Head of Government,Nikolai V. Ustryalov,1936,1970,1999,9,Flamboyant Tough Guy,Very High,MRUS Ustryalov,X
4346,Minister of Armament,Nikolai V. Ustryalov,1936,1970,1999,9,Administrative Genius,Very High,MRUS Ustryalov,X
4347,Head of Government,Viktor M. Baydalakov,1936,1970,1999,9,Corporate Suit,Very High,MRUS Baydalakov,X
4348,Head of Military Intelligence,Viktor M. Baydalakov,1936,1970,1999,9,Political Specialist,Very High,MRUS Baydalakov,X
4349,Foreign Minister,Aleksandr L. Kazembek,1936,1970,1999,9,Iron Fisted Brute,Very High,MRUS Kazembek,X
4350,Foreign Minister,Sergei G. Romanovski,1936,1970,1999,9,Great Compromiser,Very High,MRUS Romanovski,X
4351,Head of Military Intelligence,Sergei G. Romanovski,1936,1970,1999,9,Dismal Enigma,Very High,MRUS Romanovski,X
4353,Minister of Security,Aleksandr A. Galich,1936,1970,1999,9,Man of the People,Very High,MRUS Galich,X
4352,Head of Government,Sergei G. Romanovski,1936,1970,1999,9,Backroom Backstabber,Very High,MRUS Romanovski,X
4355,Minister of Security,Anatoly MacReady-Stenroos,1936,1970,1999,9,Media Magnate,Very High,MRUS MacReady-Stenroos,X
4354,Minister of Armament,Andrey I. Zankevich,1936,1970,1999,9,Construction Magnate,Very High,MRUS Zankevich,X
4123,Head of Military Intelligence,Vladimir von Kappel,1936,1964,1999,7,Logistics Specialist,Very High,L500106,X
4124,Chief of Staff,Pyotr N. Wrangel,1936,1964,1999,7,School of Manoeuvre,High,M4124,X
4125,Chief of Staff,Boris V. Annenkov,1941,1964,1999,9,School of Mass Combat,High,Annenkov,X
4126,Chief of Staff,Pavel N. Shatilov,1936,1964,1999,9,School of Fire Support,High,Shatilov,X
4128,Chief of Staff,Vasily I. Chuikov,1942,1964,1999,1,School of Psychology,High,L9881,X
4129,Chief of Staff,Ivan P. Romanovsky,1936,1964,1999,8,School of Fire Support,High,M4129,X
4330,Minister of Armament,Ivan P. Romanovsky,1936,1970,1999,8,Reformer,Very High,M4129,X
4130,Chief of Staff,Jevgenij von Rommel,1936,1964,1999,6,School of Manoeuvre,High,M4130,X
4131,Chief of Army,Aleksandr I. Yegorov,1936,1964,1999,1,Elastic Defence Doctrine,Very High,M4131,X
4132,Chief of Army,Pavel N. Shatilov,1936,1964,1999,9,Elastic Defence Doctrine,Very High,Shatilov,X
4133,Chief of Army,Sergei L. Markov,1936,1964,1999,7,Armoured Spearhead Doctrine,Very High,Mrus Markov,X
4134,Head of State,E.I.V. Pyotr IV Wrangel,1937,1964,1999,7,The Black Tsar,Very High,kaiserreich_Wrangelking-1,X
4135,Chief of Army,Jevgenij von Rommel,1936,1964,1999,7,Armoured Spearhead Doctrine,Very High,M4130,X
4136,Chief of Army,Vasily von Blücher,1936,1964,1999,0,Armoured Spearhead Doctrine,Very High,M4136,X
4137,Chief of Army,Ivan Belov,1938,1964,1999,3,Static Defence Doctrine,Very High,M4137,X
4138,Chief of Navy,Dmitri Nenyukov,1936,1964,1999,7,Open Seas Doctrine,High,Nenyukov,X
4139,Chief of Navy,Boris A. Vilkitsky,1936,1964,1999,9,Indirect Approach Doctrine,High,Kaiserreich Vilkitsky,X
4141,Chief of Navy,Aleksandr V. Kolchak,1936,1964,1999,8,Power Projection Doctrine,High,MRUS Kolchak,X
4142,Chief of Navy,Ivan F. Bosrem,1936,1964,1999,6,Indirect Approach Doctrine,High,Bostrem,X
4143,Chief of Navy,Robert von Wirén,1936,1964,1999,6,Decisive Naval Battle Doctrine,High,M4143,X
4144,Chief of Navy,Mikhail Berens,1936,1964,1999,5,Power Projection Doctrine,High,Berens,X
4145,Chief of Air Force,Anton V. Turkul,1936,1964,1999,7,Air Superiority Doctrine,High,L500095,X
