U24,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
29500,Head of State,S.K.u.K.M. Otto I von Habsburg,1936,1964,1999,7,young kaiser,High,kaiserreich ottoivh,x
29501,Head of Government,O. Löwenfels-Aarengau,1936,1964,1999,7,Naive Optimist,High,M23048,x
29502,Foreign Minister,O. Löwenfels-Aarengau,1936,1964,1999,7,General Staffer,High,M23048,x
29503,Minister of Armament,T. Winkler-Kreuth-Mautner,1936,1964,1999,7,laissez-faire capitalist,High,M23067,x
29504,Minister of Security,W. Ehrenburg von Loetitz,1936,1964,1999,7,Efficient Sociopath,High,M23082,x
29505,Head of Military Intelligence,Kalmán Szell,1936,1964,1999,7,Political Specialist,Medium,M23093,x
29506,Chief of Staff,Karl Kirchbach,1936,1964,1999,8,School of Defence,High,MKirchbach,x
29507,Chief of Army,Erzherzog Friedrich,1936,1964,1999,8,Guns and Butter Doctrine,High,MErzFriedrich,x
29508,Chief of Navy,Janko Vukovic,1936,1964,1999,7,Decisive Naval Battle Doctrine,Very High,MVukovic,x
29509,Chief of Air Force,Godwin Brumowski,1936,1964,1999,8,Air Superiority Doctrine,Very High,kaiserreich brumowski,x
29510,Head of State,Wilhelm Miklas,1936,1964,1999,8,Weary Stiffneck,High,M23001,x
29511,Head of Government,Kurt Schuschnigg,1936,1964,1999,8,Silent Workhorse,High,M23002,x
29512,Foreign Minister,Egon Berger-Waldenegg,1936,1964,1999,8,Apologetic Clerk,High,M23003,x
29513,Minister of Armament,Julius Raab,1936,1964,1999,8,Resource Industrialist,Medium,M23004,x
29514,Minister of Security,Eduard Baar-Baarenfels,1936,1964,1999,8,Man of the People,High,M23005,x
29515,Head of Military Intelligence,Wilhelm Gebauer,1936,1964,1999,8,Logistics Specialist,Medium,M23006,x
29516,Chief of Staff,Alfred von Jansa,1936,1964,1999,8,School of Defence,Medium,M23007,x
29517,Chief of Army,Wilhelm Zehner,1936,1964,1999,8,Elastic Defence Doctrine,High,M23008,x
29518,Chief of Navy,Paul von HegedE,1936,1964,1999,8,Decisive Naval Battle Doctrine,High,M23009,x
29519,Chief of Air Force,Alexander Löhr,1936,1964,1999,9,Army Aviation Doctrine,Medium,M23010,x
29520,Head of State,Josef BEckel,1936,1964,1999,8,Insignificant Layman,High,M23042,x
29521,Head of State,Arthur Seyss-Inquart,1936,1964,1999,9,Die-hard Reformer,High,M23011,x
29522,Head of State,Karl Renner,1936,1964,1999,6,Benevolent Gentleman,High,M23021,x
29523,Head of State,Leopold Figl,1936,1964,1999,3,Pig-headed Isolationist,High,M23045,x
29524,Head of State,Otto Bauer,1936,1964,1999,1,Insignificant Layman,High,M23031,x
29525,Head of State,Josef Teufl,1936,1964,1999,0,Barking Buffoon,High,M23047,x
29526,Head of Government,Albert Mendsdorff-Pouilly,1936,1964,1999,8,Happy Amateur,High,M23049,x
29527,Head of Government,Edmund Glaise-Horstenau,1936,1964,1999,9,Old General,High,M23050,x
29528,Head of Government,Wilhelm Wolff,1936,1964,1999,9,Flamboyant Tough Guy,High,M23013,x
29529,Head of Government,Ludwig Hegerth,1936,1964,1999,6,Corporate Suit,High,M23052,x
29530,Head of Government,Adolf Schärf,1936,1964,1999,3,Naive Optimist,High,M23022,x
29531,Head of Government,Willi Frank,1936,1964,1999,1,Happy Amateur,High,M23035,x
29532,Head of Government,Josef Teufl,1936,1964,1999,0,Backroom Backstabber,High,M23047,x
29533,Foreign Minister,Guido Schmidt,1936,1964,1999,8,The Cloak N Dagger Schemer,High,M23057,x
29534,Foreign Minister,Eduard Baar-Baarenfels,1936,1964,1999,8,Iron Fisted Brute,High,M23005,x
29535,Foreign Minister,Albert Mendsdorff-Pouilly,1936,1964,1999,8,Apologetic Clerk,Medium,M23049,x
29536,Foreign Minister,Wilhelm Wolff,1936,1964,1999,9,Ideological Crusader,High,M23013,x
29537,Foreign Minister,Edmund Glaise-Horstenau,1936,1964,1999,9,General Staffer,Medium,M23061,x
29538,Foreign Minister,Karl Gruber,1936,1964,1999,5,Biased Intellectual,Low,M23023,x
29539,Foreign Minister,Leopold Figl,1936,1964,1999,5,Great Compromiser,Medium,M23045,x
29540,Foreign Minister,Adolf Schärf,1936,1964,1999,5,Biased Intellectual,Medium,M23022,x
29541,Foreign Minister,Alfred Klahr,1936,1964,1999,1,Ideological Crusader,High,M23033,x
29542,Foreign Minister,Willi Frank,1936,1964,1999,0,Iron Fisted Brute,Medium,M23035,x
29543,Minister of Armament,Albert Mendsdorff-Pouilly,1936,1964,1999,7,Administrative Genius,Medium,M23049,x
29544,Minister of Armament,Josef Dobretsberger,1936,1964,1999,8,laissez-faire capitalist,High,M23069,x
29545,Minister of Armament,Paul von Hegede,1936,1964,1999,8,Battle Fleet Proponent,High,M23009,x
29546,Minister of Armament,Rudolf Neumayr,1936,1964,1999,9,Resource Industrialist,Medium,M23014,x
29547,Minister of Armament,Hans Fischböck,1936,1964,1999,9,Military Entrepreneur,High,M23072,x
29548,Minister of Armament,Alfred Maleta,1936,1964,1999,9,Tank Proponent,Medium,M23073,x
29549,Minister of Armament,Eduard Heinl,1936,1964,1999,5,Theoretical Scientist,Medium,M23024,x
29550,Minister of Armament,Karl Gruber,1936,1964,1999,5,Air Superiority Proponent,Low,M23023,x
29551,Minister of Armament,Karl Renner,1936,1964,1999,6,Strategic Air Proponent,Low,M23021,x
29552,Minister of Armament,Karl Tuppy,1936,1964,1999,3,Corrupt Kleptocrat,Low,M23077,x
29553,Minister of Armament,Fritz Stöckinger,1936,1964,1999,3,Air to Ground Proponent,High,M23078,x
29554,Minister of Armament,Ludwig Huelgerth,1936,1964,1999,3,Air to Sea Proponent,Medium,M23052,x
29555,Minister of Armament,Robert Winterstein,1936,1964,1999,1,Submarine Proponent,Medium,M23025,x
29556,Minister of Armament,Erwin Puschmann,1936,1964,1999,0,Infantry Proponent,Medium,M23034,x
