U25,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
151246100,Head of State,S.K.u.K.M. Otto I von Habsburg,1936,1964,1999,7,young kaiser,High,kaiserreich ottoivh,x
151246101,Head of Government,O. Löwenfels-Aarengau,1936,1964,1999,7,Naive Optimist,High,M23048,x
151246102,Foreign Minister,O. Löwenfels-Aarengau,1936,1964,1999,7,General Staffer,High,M23048,x
151246103,Minister of Armament,T. Winkler-Kreuth-Mautner,1936,1964,1999,7,laissez-faire capitalist,High,M23067,x
151246104,Minister of Security,W. Ehrenburg von Loetitz,1936,1964,1999,7,Efficient Sociopath,High,M23082,x
151246105,Head of Military Intelligence,Kalmán Szell,1936,1964,1999,7,Political Specialist,Medium,M23093,x
151246106,Chief of Staff,Karl Kirchbach,1936,1964,1999,7,School of Defence,High,MKirchbach,x
151246107,Chief of Army,Erzherzog Friedrich,1936,1964,1999,7,Guns and Butter Doctrine,High,MErzFriedrich,x
151246108,Chief of Navy,Janko Vukovic,1936,1964,1999,7,Decisive Naval Battle Doctrine,Very High,MVukovic,x
151246109,Chief of Air Force,Godwin Brumowski,1936,1964,1999,6,Air Superiority Doctrine,Very High,kaiserreich brumowski,x
151246111,Head of Government,Karl Renner,1936,1964,1999,3,Naive Optimist,High,M23021,x
151246112,Head of Government,Ludwig Huegerth,1936,1964,1999,6,Corporate Suit,High,M23052,x
151246113,Foreign Minister,Karl Gruber,1936,1964,1999,5,Biased Intellectual,Low,M23023,x
151246114,Foreign Minister,Leopold Figl,1936,1964,1999,5,Great Compromiser,Medium,M23045,x
151246115,Foreign Minister,Adolf Schärf,1936,1964,1999,5,Biased Intellectual,Medium,M23022,x
151246116,Minister of Armament,Albert Mendsdorff-Pouilly,1936,1964,1999,6,Administrative Genius,Medium,M23049,x
151246117,Minister of Armament,Eduard Heinl,1936,1964,1999,5,Theoretical Scientist,Medium,M23024,x
151246118,Minister of Armament,Karl Gruber,1936,1964,1999,5,Air Superiority Proponent,Low,M23023,x
151246119,Minister of Armament,Karl Renner,1936,1964,1999,6,Strategic Air Proponent,Low,M23021,x
151246120,Minister of Security,Robert Winterstein,1936,1964,1999,6,Crooked Kleptocrat,Medium,M23025,x
151246121,Minister of Security,Karl Tuppy,1936,1964,1999,6,Efficient Sociopath,Low,M23077,x
151246122,Head of Military Intelligence,Robert Winterstein,1936,1964,1999,6,Technical Specialist,High,M23025,x
151246123,Head of Military Intelligence,Julius Raab,1936,1964,1999,6,Industrial Specialist,Medium,M23004,x
151246124,Chief of Staff,O. Meixner von Zweienstamm,1936,1964,1999,7,School of Defence,Medium,M23103,x
151246125,Chief of Staff,Wilhelm Zehner,1936,1964,1999,6,School of Mass Combat,High,M23008,x
151246126,Chief of Staff,Adolf Schärf,1936,1964,1999,3,School of Fire Support,Medium,M23022,x
151246127,Chief of Staff,Eugen von Habsburg-Lothringen,1936,1964,1999,7,School of Fire Support,Very High,kaiserreich archdukeeugen,x
151246128,Chief of Staff,Julius Ringel,1936,1964,1999,7,School of Manoeuvre,Medium,M169,x
151246129,Chief of Army,Eric von Klopfenburg,1936,1964,1999,7,Static Defence Doctrine,High,M23039,x
151246130,Chief of Army,Heinrich Gleissner,1936,1964,1999,6,Decisive Battle Doctrine,Very Low,M23028,x
151246131,Chief of Army,Julius Ringel,1936,1964,1999,7,Guns and Butter Doctrine,Medium,M169,x
151246132,Chief of Navy,Robert Winterstein,1936,1964,1999,6,Indirect Approach Doctrine,Medium,M23025,x
151246133,Chief of Air Force,W. Ehrenburg von Letitz,1936,1964,1999,7,Army Aviation Doctrine,High,M23082,x
151246134,Chief of Air Force,Julius Yllam,1936,1964,1999,6,Air Superiority Doctrine,Low,M23040,x
151246135,Chief of Air Force,Egon Berger-Waldenegg,1936,1964,1999,6,Carpet Bombing Doctrine,High,M23003,x
151246136,Chief of Air Force,Benno von Fernbrugg,1936,1964,1999,7,Army Aviation Doctrine,Very High,kaiserreich fernbrugg,x
151246137,Minister of Armament,Abdulah Trivuncic,1936,1964,1999,6,Administrative Genius,Medium,M546019,x
151246138,Minister of Security,Sulejman Effendi Kemura,1936,1964,1999,6,Silent Lawyer,Medium,M546023,x
151246139,Head of Government,Jan Syrový,1936,1964,1999,6,Old General,High,M24034,x
151246140,Head of Government,Bedrich Homola,1936,1964,1999,6,Happy Amateur,High,M24047,x
151246141,Foreign Minister,Stefan Osusky,1936,1964,1999,6,Great Compromiser,Very High,M24035,x
151246142,Foreign Minister,Juraj Slávik,1936,1964,1999,6,Biased Intellectual,Medium,M24057,x
151246143,Foreign Minister,Oldrich Otamír,1936,1964,1999,7,Apologetic Clerk,Medium,M24058,x
151246144,Foreign Minister,Bedrich Neumann,1936,1964,1999,7,General Staffer,Medium,M24059,x
151246145,Foreign Minister,Kamil Krofta,1936,1964,1999,5,Great Compromiser,High,M24053,x
151246146,Foreign Minister,Frantisek Chvalkovsky,1936,1964,1999,5,Iron Fisted Brute,Very High,M24054,x
151246147,Foreign Minister,Ján Masaryk,1936,1964,1999,5,Ideological Crusader,Very High,M24055,x
151246148,Minister of Armament,Emilé Dobricek,1936,1964,1999,7,Administrative Genius,Low,M24070,x
151246149,Minister of Armament,Emil Hácha,1936,1964,1999,7,Theoretical Scientist,Low,M24031,x
151246150,Minister of Armament,Frantisek Bekr,1936,1964,1999,6,Theoretical Scientist,Medium,M24072,x
151246151,Minister of Armament,Karel Cérny,1936,1964,1999,7,Infantry Proponent,High,M24073,x
151246152,Minister of Armament,Antonin Pavlik,1936,1964,1999,7,Tank Proponent,High,M24074,x
151246153,Minister of Armament,Felix zu Schwarzenberg,1936,1964,1999,7,laissez-faire capitalist,High,kaiserreich fvschwarzenberg,x
151246154,Minister of Armament,Emil Franke,1936,1964,1999,5,Theoretical Scientist,High,M24066,x
151246155,Minister of Armament,Karel Basilek,1936,1964,1999,5,Military Entrepreneur,High,M24068,x
151246156,Minister of Armament,Ferdinand Veverka,1936,1964,1999,5,Administrative Genius,Medium,M24069,x
151246157,Minister of Security,Otakar Eischer,1936,1964,1999,7,Compassionate Gentleman,Very High,M24087,x
151246158,Minister of Security,Francois Hodac,1936,1964,1999,6,Silent Lawyer,Medium,M24088,x
151246159,Minister of Security,Joseph Jezek,1936,1964,1999,6,Crime Fighter,Medium,M24016,x
151246160,Minister of Security,Juraj Slávik,1936,1964,1999,6,Man of the People,High,M24057,x
151246161,Minister of Security,Jan Kapras,1936,1964,1999,7,Prince of Terror,Medium,M24015,x
151246162,Minister of Security,Victor Folancec,1936,1964,1999,5,Crime Fighter,Medium,M24082,x
151246163,Minister of Security,Jaromir Kopecky,1936,1964,1999,5,Prince of Terror,Medium,M24084,x
151246164,Minister of Security,Ján Srámek,1936,1964,1999,5,Silent Lawyer,Medium,M24044,x
151246165,Head of Military Intelligence,Bedrich Homola,1936,1964,1999,6,Dismal Enigma,Medium,M24047,x
151246166,Head of Military Intelligence,Bohumil Nemec,1936,1964,1999,5,Industrial Specialist,High,M24104,x
151246167,Head of Military Intelligence,Rudolf Beran,1936,1964,1999,7,Political Specialist,High,M24012,x
151246168,Head of Military Intelligence,Bohuslav Vseticka,1936,1964,1999,7,Logistics Specialist,High,M24106,x
151246169,Chief of Staff,Ferdinand Catlos,1936,1964,1999,7,School of Defence,Medium,M24117,x
151246170,Chief of Staff,Jan Golian,1936,1964,1999,7,School of Manoeuvre,Very High,M24118,x
151246171,Chief of Army,Jan Syrovy,1936,1964,1999,7,Guns and Butter Doctrine,Medium,M24034,x
151246172,Chief of Army,Bedrich Homola,1936,1964,1999,7,Static Defence Doctrine,Very High,M24047,x
151246174,Chief of Army,Rudolf Viest,1936,1964,1999,7,Armoured Spearhead Doctrine,Medium,M24130,x
151246175,Chief of Navy,Ferdinand Catlos,1936,1964,1999,7,Base Control Doctrine,Medium,M24117,x
151246176,Head of Government,Béla Miklós de Dalnók,1936,1964,1999,7,Corporate Suit,High,M21059,x
151246177,Head of Government,Karoly Barthá von Dálnokfalva,1936,1964,1999,7,Old General,High,M21060,x
151246178,Head of Government,Zoltán Tildy,1936,1964,1999,6,Silent Workhorse,High,M21011,x
151246179,Head of Government,Ferenc Nagy,1936,1964,1999,6,Happy Amateur,High,M21012,x
