U13,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
990001,Head of State,Sadri Maksudi Arsal,1936,1964,1999,6,Benevolent Gentleman,High,M990001,x
990002,Head of Government,Zeki Velidi Togan,1936,1964,1999,6,Silent Workhorse,High,M990002,x
990003,Foreign Minister,Sadri Maksudi Arsal,1936,1964,1999,6,Great Compromiser,High,M990001,x
990004,Head of State,Arseniy Zverev,1936,1964,1999,2,Barking Buffoon,High,M523001,x
990005,Head of Government,Vlas Chubar,1936,1964,1999,2,Smiling Oilman,High,M523002,x
990006,Foreign Minister,Grigory Grinko,1936,1964,1999,2,Great Compromiser,High,M523003,x
990007,Minister of Armament,Nikolay Bryukhanov,1936,1964,1999,2,Infantry Proponent,Medium,M523004,x
990008,Minister of Security,Vselevod Merkulov,1936,1964,1999,2,Back Stabber,Medium,M523005,x
990009,Head of Military Intelligence,Grigorij Sokolnikov,1936,1964,1999,2,Dismal Enigma,Medium,M523006,x
990010,Chief of Staff,Keldysh Nikitin,1936,1964,1999,2,School of Defence,Medium,M523007,x
990011,Chief of Army,Osip Fokine,1936,1964,1999,2,Decisive Battle Doctrine,Medium,M523008,x
990012,Chief of Navy,Rurik Ertelkin,1936,1964,1999,2,Decisive Naval Battle Doctrine,Medium,L502013,x
990013,Chief of Air Force,Genneadij Abakumov,1936,1964,1999,2,Army Aviation Doctrine,Medium,M523010,x
990014,Head of State,Mikhail Lazurkin,1936,1964,1999,5,Popular Figurehead,High,M523011,x
990015,Head of State,H.R.H. Igor III. Chavchavadzhe,1936,1964,1999,8,Pig-headed Isolationist,High,M523012,x
990016,Head of Government,Mikhail Serbryakov,1936,1964,1999,5,Silent Workhorse,High,M523013,x
990017,Head of Government,Sergey Bulich,1936,1964,1999,8,Ambitious Union Boss,High,M523014,x
990018,Foreign Minister,Nikolay Voznesensky,1936,1964,1999,2,Biased Intellectual,High,M523015,x
990019,Foreign Minister,Vsevolod Tomashevsky,1936,1964,1999,5,Apologetic Clerk,High,M523016,x
990020,Foreign Minister,Sergei Bernstein,1936,1964,1999,5,Iron Fisted Brute,High,M523017,x
990021,Foreign Minister,Viktor Fausek,1936,1964,1999,7,Great Compromiser,High,M523018,x
990022,Foreign Minister,Vladimir Orlov,1936,1964,1999,7,Iron Fisted Brute,High,M523019,x
990023,Minister of Armament,Maksim Saburov,1936,1964,1999,2,Theoretical Scientist,Medium,M523020,x
990024,Minister of Armament,Nikolay Derzhavin,1936,1964,1999,5,Air Superiority Proponent,Medium,M523021,x
990025,Minister of Armament,Nikita Krylov,1936,1964,1999,5,Military Entrepreneur,Medium,M523022,x
990026,Minister of Armament,Dimitrij Golenkov,1936,1964,1999,7,Tank Proponent,Medium,M523023,x
990027,Minister of Armament,Pavel Vorony,1936,1964,1999,7,Battle Fleet Proponent,Medium,M523024,x
990028,Minister of Armament,Dimitri Grabbe-Nikitin,1936,1964,1999,7,Infantry Proponent,Medium,M523025,x
990029,Minister of Security,Gennadij Smirnov,1936,1964,1999,2,Compassionate Gentleman,Medium,M526026,x
990030,Minister of Security,Viktor Abakumov,1936,1964,1999,2,Prince of Terror,Medium,M523027,x
990031,Minister of Security,Vladimir Shimkevich,1936,1964,1999,5,Efficient Sociopath,Medium,M523028,x
990032,Minister of Security,Nikita Günther,1936,1964,1999,5,Crime Fighter,Medium,M523029,x
990033,Minister of Security,Alexei Friedmann,1936,1964,1999,7,Prince of Terror,Medium,M523030,x
990034,Minister of Security,Shavrov Nikitin,1936,1964,1999,7,Crime Fighter,Medium,M523031,x
990035,Head of Military Intelligence,Aleksandr Ivanov,1936,1964,1999,2,Industrial Specialist,Medium,M523032,x
990036,Head of Military Intelligence,Yurtsev Smirnov,1936,1964,1999,5,Technical Specialist,Medium,M523033,x
990037,Head of Military Intelligence,Boris Galerkin,1936,1964,1999,5,Dismal Enigma,Medium,M523034,x
990038,Head of Military Intelligence,Patriarch Tikhon,1936,1964,1999,7,Political Specialist,Medium,M523035,x
990039,Head of Military Intelligence,Gleb Krzhizhanovsky,1936,1964,1999,7,Dismal Enigma,Medium,M523036,x
990040,Chief of Staff,Vasili Chebykimov,1936,1964,1999,5,School of Fire Support,Medium,M523037,x
990041,Chief of Staff,Razak Hadjiev,1936,1964,1999,7,School of Mass Combat,Medium,M523038,x
990042,Chief of Army,Alesksandr Saburov,1936,1964,1999,2,Elastic Defence Doctrine,Medium,M523039,x
990043,Chief of Army,Volya Borshevski,1936,1964,1999,5,Armoured Spearhead Doctrine,Medium,M523040,x
990044,Chief of Army,Igor Kovlon,1936,1964,1999,7,Static Defence Doctrine,Medium,M523041,x
990045,Chief of Army,Sergei Korovalcheff,1936,1964,1999,7,Guns and Butter Doctrine,Medium,M523042,x
990046,Chief of Navy,Ignatz Dmyrkin,1936,1964,1999,5,Open Seas Doctrine,Medium,L504000,x
990047,Chief of Navy,Dimitriy Sakarski,1936,1964,1999,7,Indirect Approach Doctrine,Medium,M520034,x
990048,Chief of Air Force,Nikifor Gapon,1936,1964,1999,5,Carpet Bombing Doctrine,Medium,M523045,x
990049,Chief of Air Force,Karl Deinhardt,1936,1964,1999,7,Air Superiority Doctrine,Medium,M523046,x
