U20,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
627001,Head of State,Alberts Kviesis,1936,1964,1999,8,Powerhungry Demagogue,High,M27001,x
627002,Head of Government,Krrlis Ulmanis,1936,1964,1999,8,Happy Amateur,High,M27002,x
627003,Foreign Minister,Krrlis Ulmanis,1936,1964,1999,8,Biased Intellectual,Undying,M27002,x
627004,Minister of Armament,Ludvigs Ctis,1936,1964,1999,7,Infantry Proponent,Medium,M27004,x
627005,Minister of Security,Vilis Gulbis,1936,1964,1999,8,Crime Fighter,Medium,M27005,x
627006,Head of Military Intelligence,Hermanis Apsitis,1936,1964,1999,8,Political Specialist,Medium,M27006,x
627007,Chief of Staff,Jrnis Balodis,1936,1964,1999,8,School of Defence,Medium,M27007,x
627008,Chief of Army,Rudolfs Bangerskis,1936,1964,1999,8,Static Defence Doctrine,Low,M27008,x
627009,Chief of Navy,Tomas Spade,1936,1964,1999,8,Decisive Naval Battle Doctrine,Medium,M27009,x
627010,Chief of Air Force,Janis Indans,1936,1964,1999,8,Army Aviation Doctrine,Medium,M27010,x
627031,Head of State,Hans Heinrich Lohse,1941,1964,1999,9,Stern Imperialist,High,M27031,x
627032,Head of State,Krrlis Ulmanis,1936,1964,1999,8,Barking Buffoon,High,M27002,x
627033,Head of State,Janis Andersons,1945,1964,1999,7,Benevolent Gentleman,High,M27033,x
627034,Head of State,Pauls Kalniñs,1936,1964,1999,6,Insignificant Layman,High,M27011,x
627035,Head of State,Jazeps Rancans,1945,1964,1999,6,Autocratic Charmer,High,M27035,x
627036,Head of State,Augusts Kirchensteins,1936,1964,1999,1,Weary Stiffneck,High,M27021,x
627037,Head of State,Ernests Kreismanis,1945,1964,1999,0,Ruthless Powermonger,High,M27037,x
627038,Head of Government,Alfreds Valdmanis,1941,1964,1999,9,Smiling Oilman,High,M27038,x
627039,Head of Government,Oskars Dankers,1941,1964,1999,9,Happy Amateur,High,M27039,x
627041,Head of Government,Jrnis Kaminskis,1940,1964,1999,8,Naive Optimist,High,M27041,x
627042,Head of Government,Rudolfs Bangerskis,1945,1964,1999,7,Flamboyant Tough Guy,High,M27008,x
627043,Head of Government,Pauls Kalniñs,1936,1964,1999,6,Silent Workhorse,High,M27011,x
627044,Head of Government,Reinhold K. Zariñs,1940,1964,1999,6,Political Protege,High,M27012,x
627045,Head of Government,Augusts Kirchensteins,1936,1964,1999,1,Silent Workhorse,High,M27021,x
627046,Head of Government,Roberts Osis,1945,1964,1999,0,Old General,High,M27046,x
627047,Head of Government,Vilis Lrcis,1946,1964,1999,0,Backroom Backstabber,High,M27025,x
627048,Foreign Minister,Alfreds Valdmanis,1941,1964,1999,9,Iron Fisted Brute,Medium,M27038,x
627049,Foreign Minister,Oskars Dankers,1941,1964,1999,9,General Staffer,Medium,M27039,x
627050,Foreign Minister,Mrrtiñs Prïmanis,1944,1964,1999,9,Ideological Crusader,Medium,M27050,x
627051,Foreign Minister,Vilhelms Munters,1936,1964,1999,8,Great Compromiser,Medium,M27051,x
627052,Foreign Minister,Jrnis Kaminskis,1945,1964,1999,7,Iron Fisted Brute,Medium,M27041,x
627053,Foreign Minister,Reinhold K. Zariñs,1936,1964,1999,6,Apologetic Clerk,Medium,M27012,x
627054,Foreign Minister,Alfreds Bïlmanis,1940,1964,1999,6,Biased Intellectual,Medium,M27054,x
627055,Foreign Minister,Julijcs Lacis,1936,1964,1999,1,Great Compromiser,Medium,M27029,x
627056,Foreign Minister,Augusts Kirchensteins,1940,1964,1999,1,Ideological Crusader,Undying,M27021,x
627057,Foreign Minister,Arnolds Skrebers,1945,1964,1999,0,Great Compromiser,Medium,M27057,x
627058,Foreign Minister,Peteris Valeskalns,1946,1964,1999,0,Ideological Crusader,Medium,M27058,x
627059,Foreign Minister,Ernests Kreismanis,1947,1964,1999,0,The Cloak N Dagger Schemer,Very High,M27037,x
627060,Minister of Armament,Evalds Andersons,1941,1964,1999,9,Military Entrepreneur,High,M27060,x
627061,Minister of Armament,Jrnis Skujevics,1941,1964,1999,9,Resource Industrialist,Medium,M27061,x
627062,Minister of Armament,Jrnis Miezis,1944,1964,1999,9,Infantry Proponent,Very High,M27062,x
627063,Minister of Armament,Vilis Gulbis,1936,1964,1999,8,Air to Sea Proponent,Medium,M27005,x
627064,Minister of Armament,Kornelijs Veidnieks,1938,1964,1999,8,Air Superiority Proponent,Medium,M27064,x
627065,Minister of Armament,Jrnis Kaminskis,1939,1964,1999,8,Resource Industrialist,Medium,M27041,x
627066,Minister of Armament,Alfreds Valdmanis,1940,1964,1999,8,Administrative Genius,Medium,M27038,x
627068,Minister of Armament,Petrus Apskalns,1936,1964,1999,6,Infantry Proponent,Medium,M27068,x
627069,Minister of Armament,Edgars Andersons,1945,1964,1999,6,Military Entrepreneur,Medium,M27014,x
627070,Minister of Armament,Roberts Dambïtis,1936,1964,1999,1,Resource Industrialist,Medium,M27070,x
627071,Minister of Armament,Krrlis Karlsons,1940,1964,1999,1,Military Entrepreneur,Medium,M27024,x
627072,Minister of Armament,Aleksandrs Bulle,1945,1964,1999,0,laissez-faire capitalist,Medium,M27072,x
627073,Minister of Armament,Arnolds Tabaks,1946,1964,1999,0,Resource Industrialist,Medium,M27073,x
627074,Minister of Security,Alfreds Valdmanis,1941,1964,1999,9,Crime Fighter,Medium,M27038,x
627075,Minister of Security,Teodors Zvejnieks,1941,1964,1999,9,Efficient Sociopath,Low,M27075,x
627076,Minister of Security,Alberts Kviesis,1943,1964,1999,9,Man of the People,Low,M27001,x
627077,Minister of Security,Hermanis Apsitis,1936,1964,1999,8,Prince of Terror,Medium,M27006,x
627078,Minister of Security,Jrnis Balodis,1940,1964,1999,8,Man of the People,Medium,M27007,x
627079,Minister of Security,Janis Andersons,1945,1964,1999,7,Crooked Kleptocrat,Low,M27033,x
627080,Minister of Security,Pauls Kalniñs,1936,1964,1999,6,Efficient Sociopath,High,M27011,x
627081,Minister of Security,Jazeps Rancans,1945,1964,1999,6,Man of the People,Very High,M27035,x
627082,Minister of Security,Jurijs Rabersz,1936,1964,1999,1,Compassionate Gentleman,Medium,M27082,x
627083,Minister of Security,Vilis Lrcis,1940,1964,1999,1,Efficient Sociopath,Medium,M27025,x
627084,Minister of Security,Rodolfs Rocin,1945,1964,1999,0,Silent Lawyer,Medium,M27084,x
627085,Minister of Security,Andrejs Jablonskis,1946,1964,1999,0,Prince of Terror,Medium,M27085,x
627086,Head of Military Intelligence,Hans Heinrich Lohse,1941,1964,1999,9,Industrial Specialist,Medium,M27031,x
627087,Head of Military Intelligence,Erich Koch,1943,1964,1999,9,Logistics Specialist,Medium,M27087,x
627089,Head of Military Intelligence,Krrlis Ulmanis,1938,1964,1999,8,Dismal Enigma,Undying,M27002,x
627091,Head of Military Intelligence,Felix Cielens,1936,1964,1999,6,Industrial Specialist,Medium,M27091,x
627092,Head of Military Intelligence,Fricis Celmins,1940,1964,1999,6,Dismal Enigma,Medium,M27016,x
627093,Head of Military Intelligence,Reinhold K. Zariñs,1945,1964,1999,6,Technical Specialist,Medium,M27012,x
627094,Head of Military Intelligence,Jurijs Rabersz,1936,1964,1999,1,Technical Specialist,Medium,M27082,x
627095,Head of Military Intelligence,Teodors Zvejnieks,1945,1964,1999,0,Naval Intelligence Specialist,Low,M27075,x
627096,Head of Military Intelligence,Vilis Lrcis,1946,1964,1999,0,Logistics Specialist,Medium,M27025,x
627097,Chief of Staff,Konstantins Cakste,1941,1964,1999,9,School of Fire Support,Medium,M27097,x
627098,Chief of Staff,Arturs M. Silgailis,1943,1964,1999,9,School of Fire Support,High,M27098,x
627100,Chief of Staff,Krisjrnis Berkis,1939,1964,1999,8,School of Manoeuvre,Medium,M27100,x
627101,Chief of Staff,Rudolfs Kociñs,1945,1964,1999,7,School of Psychology,Medium,M27101,x
