U45,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
59100,Head of State,Krishna Raja Wadiyar IV,1936,1940,1999,6,Benevolent Gentleman,High,INDKri,X
59102,Head of Government,Mirza Muhammad Ismail,1936,1964,1999,6,Silent Workhorse,High,INDMirz,X
59103,Foreign Minister,Albion Rajkumar Banerjee,1936,1964,1999,6,Great Compromiser,High,INDAlb,X
59104,Minister of Armament,Mokshagundam Visveswaraiah,1936,1964,1999,6,Resource Industrialist,High,INDMok,X
59105,Minister of Security,Albion Rajkumar Banerjee,1936,1964,1999,6,Silent Lawyer,Very High,INDAlb,X
59106,Head of Military Intelligence,H. R. Janardhana Iyengar,1936,1964,1999,6,Industrial Specialist,High,INDJan,X
59107,Chief of Staff,Kanteerava Narasimharaja Wadiyar,1936,1964,1999,6,School of Fire Support,High,INDKant,X
59108,Chief of Army,Krishna Raja Wadiyar IV,1936,1940,1999,6,Static Defence Doctrine,High,INDKri,X
59109,Chief of Navy,P.R. Ramaiya,1936,1964,1999,4,Power Projection Doctrine,Medium,INDRamt,X
59110,Chief of Air Force,Aspy Merwan Engineer,1936,1964,1999,6,Army Aviation Doctrine,High,INDAsp,X
59111,Head of State,H.R.H. Jayachamarajendra Wadiyar,1940,1964,1999,6,Insignificant Layman,High,INDJay,X
59112,Head of Government,A.R. Krishnashastry,1936,1964,1999,3,Silent Workhorse,High,INDArk,X
59113,Foreign Minister,Joachim Alva,1936,1964,1999,3,Great Compromiser,High,INDAlv,X
59114,Minister of Security,P.R. Ramaiya,1936,1964,1999,4,Silent Lawyer,Very High,INDRamt,X
59115,Minister of Security,Sannappa Parameshwar Gaonkar,1936,1964,1999,3,Crime Fighter,Very High,INDSan,X
59116,Minister of Armament,Navaratna Rama Rao,1936,1964,1999,3,Administrative Genius,High,INDRao,X
59117,Head of State,Kaka Kalelkar,1936,1964,1999,1,Insignificant Layman,High,INDKak,X
59118,Head of State,Krishna Raja Wadiyar IV,1936,1940,1999,4,Benevolent Gentleman,High,INDKri,X
59119,Head of Government,M. A. Sreenivasan,1936,1964,1999,4,Silent Workhorse,High,INDSreeniv,X
59120,Chief of Staff,Mailara Mahadevappa,1936,1964,1999,1,School of Mass Combat,High,PRKMai,X
59121,Chief of Army,Mailara Mahadevappa,1936,1964,1999,1,Decisive Battle Doctrine,High,PRKMai,X
