U27,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
790701,Head of State,Oscar Benavides Larrea,1936,1964,1999,7,Resigned Generalissimo,High,M39001,x
790702,Head of Government,Luis Miguel Sánchez Cerro,1936,1964,1999,8,Old General,High,Kaiserreich Luis Miguel Sánchez Cerro,x
790703,Foreign Minister,Alberto Ulloa Sotomayor,1936,1964,1999,7,Iron Fisted Brute,Medium,M39003,x
790704,Minister of Armament,Ernesto Scroth,1936,1964,1999,7,Battle Fleet Proponent,Medium,M39004,x
790705,Minister of Security,Luis Sanchez Cerro,1936,1964,1999,7,Back Stabber,Medium,M39005,x
790706,Head of Military Intelligence,Oscar Gilardi,1936,1964,1999,7,Technical Specialist,Very Low,M39006,x
790707,Chief of Staff,Gustavo Jimenez,1936,1964,1999,7,School of Psychology,Medium,M39007,x
790708,Chief of Army,Oscar Benavides Larrea,1936,1964,1999,7,Static Defence Doctrine,Medium,M39001,x
790709,Chief of Navy,Ernesto Scroth,1936,1964,1999,7,Open Seas Doctrine,Medium,M39004,x
790710,Chief of Air Force,Paul de Beaudiez,1936,1964,1999,7,Army Aviation Doctrine,Medium,M39010,x
790711,Head of State,Oscar Benavides Larrea,1936,1964,1999,6,Resigned Generalissimo,High,M39001,x
790712,Head of State,Manuel Prado y Ugarteche,1939,1964,1999,6,Autocratic Charmer,High,M39032,x
790713,Head of State,José Bustamante y Rivero,1945,1964,1999,5,Benevolent Gentleman,High,M39033,x
790714,Head of State,Augusto Leguia Swayne,1936,1964,1999,2,Powerhungry Demagogue,High,M39034,x
790715,Head of State,Reynaldo Vinatea,1939,1964,1999,3,Barking Buffoon,High,M39035,x
790716,Head of State,Eloy G. Ureta,1939,1964,1999,3,Resigned Generalissimo,High,M39036,x
790717,Head of Government,Ernesto Montagne Sanchez,1937,1964,1999,6,Smiling Oilman,High,M39037,x
790718,Head of Government,Augusto Leguia Swayne,1937,1964,1999,2,Happy Amateur,High,M39034,x
790719,Head of Government,Adolfo Solf y Muro,1939,1964,1999,6,Naive Optimist,High,M39039,x
790720,Head of Government,Oscar Miro Quesada,1939,1964,1999,3,Silent Workhorse,High,M39040,x
790721,Head of Government,Manuel Cisneros Sanchez,1944,1964,1999,5,Political Protege,High,M39041,x
790722,Head of Government,Julio Tello East,1945,1964,1999,4,Smiling Oilman,High,M39042,x
790723,Head of Government,Enrique García Sayan,1945,1964,1999,5,Flamboyant Tough Guy,High,M39043,x
790724,Head of Government,David S. Ocampo,1945,1964,1999,3,Ambitious Union Boss,High,M39044,x
790725,Head of Government,Rafel Belaunde Díez,1946,1964,1999,5,Naive Optimist,High,M39045,x
790726,Head of Government,Julio Portugal Montero,1947,1964,1999,5,Silent Workhorse,High,M39046,x
790727,Foreign Minister,Carlos Concha,1936,1964,1999,6,Apologetic Clerk,Medium,M39047,x
790728,Foreign Minister,Rafael Escardo,1936,1964,1999,3,General Staffer,Medium,M39048,x
790729,Foreign Minister,Enrique Goytisola Bolognesi,1939,1964,1999,6,Iron Fisted Brute,Medium,M39049,x
790730,Foreign Minister,Reynaldo Vinatea,1939,1964,1999,3,Ideological Crusader,Medium,M39035,x
790731,Foreign Minister,Adolfo Solf y Muro,1940,1964,1999,6,The Cloak N Dagger Schemer,High,M39039,x
790732,Foreign Minister,Manuel Gallagher,1944,1964,1999,6,General Staffer,High,M39052,x
790733,Foreign Minister,Manuel Gallagher,1945,1964,1999,4,Biased Intellectual,High,M39052,x
790734,Foreign Minister,Javier Correa Elías,1945,1964,1999,5,Iron Fisted Brute,High,M39054,x
790735,Foreign Minister,Oscar Miro Quesada,1945,1964,1999,3,The Cloak N Dagger Schemer,Medium,M39040,x
790736,Foreign Minister,Enrique García Sayan,1946,1964,1999,5,The Cloak N Dagger Schemer,Medium,M39043,x
790737,Foreign Minister,Manuel Prado y Ugarteche,1947,1964,1999,3,Apologetic Clerk,Medium,M39032,x
790738,Minister of Armament,José Julio Bravo,1936,1964,1999,6,Submarine Proponent,High,M39058,x
790739,Minister of Armament,Luis Sanchez Cerro,1938,1964,1999,6,Infantry Proponent,Medium,M39005,x
790740,Minister of Armament,Teófilo Iglesias,1936,1964,1999,3,Tank Proponent,High,M39060,x
790741,Minister of Armament,Augusto Leguia Swayne,1936,1964,1999,6,Administrative Genius,High,M39034,x
790742,Minister of Armament,Manuel Vásquez Díaz,1939,1964,1999,3,Air to Ground Proponent,High,M39062,x
790743,Minister of Armament,David S. Ocampo,1939,1964,1999,3,Military Entrepreneur,Medium,M39044,x
790744,Minister of Armament,Eduardo Rebagliati Martins,1941,1964,1999,6,Military Entrepreneur,High,M39064,x
790745,Minister of Armament,David Dasso,1942,1964,1999,6,laissez-faire capitalist,High,M39065,x
790746,Minister of Armament,Oscar Trelles Montés,1943,1964,1999,6,Submarine Proponent,Medium,M39066,x
790747,Minister of Armament,Julio Portugal Montero,1944,1964,1999,5,Theoretical Scientist,Medium,M39046,x
790748,Minister of Armament,Benjamín Roca,1944,1964,1999,5,Theoretical Scientist,High,M39068,x
790749,Minister of Armament,Alberto Roque Saldías,1945,1964,1999,5,Battle Fleet Proponent,Medium,M39069,x
790750,Minister of Armament,Guillermo Almenara Irigoyen,1945,1964,1999,5,Administrative Genius,Medium,M39070,x
790751,Minister of Armament,Luis Ramírez Ortiz,1946,1964,1999,3,Infantry Proponent,Medium,M39071,x
790752,Minister of Armament,Rómulo Ferrero,1946,1964,1999,5,Laissez-Faire Capitalist,Medium,M39072,x
790753,Minister of Armament,Constantino Carvallo,1947,1964,1999,3,Strategic Air Proponent,Medium,M39024,x
790754,Minister of Armament,Ernesto Scroth,1947,1964,1999,3,Battle Fleet Proponent,Medium,M39004,x
790755,Minister of Security,Benigno Ballón Farfán,1936,1964,1999,6,Crooked Kleptocrat,Medium,M39075,x
790756,Minister of Security,Eleodoro Romero,1937,1964,1999,6,Silent Lawyer,Medium,M39076,x
790757,Minister of Security,Victor N. Benavente,1936,1964,1999,3,Silent Lawyer,Medium,M39077,x
790758,Minister of Security,Antonio Rodríguez Ramírez,1939,1964,1999,3,Compassionate Gentleman,Medium,M39079,x
790759,Minister of Security,Luis A. Flores,1940,1964,1999,6,Prince of Terror,Low,M39015,x
790760,Minister of Security,Carlos Berninzon,1942,1964,1999,6,Compassionate Gentleman,Low,M39081,x
790761,Minister of Security,Guillermo Landa Arisueño,1944,1964,1999,5,Man of the People,Medium,M39082,x
790762,Minister of Security,Augusto Leguia Swayne,1945,1964,1999,4,Man of the People,High,M39034,x
790763,Minister of Security,Juan Cortés Azar,1945,1964,1999,5,Back Stabber,Medium,M39025,x
790764,Minister of Security,Maximó Silva,1945,1964,1999,3,Crime Fighter,Medium,M39085,x
790765,Minister of Security,Juan F. Guabloche Rodrígues,1946,1964,1999,5,Prince of Terror,Medium,M39086,x
790766,Minister of Security,Ildefonso Ballón Beltrán,1947,1964,1999,3,Efficient Sociopath,Medium,M39087,x
790767,Head of Military Intelligence,Horacio Patiño Cruzatti,1936,1964,1999,6,Naval Intelligence Specialist,Medium,M39088,x
790768,Head of Military Intelligence,Alberto Ayala y Lacroix,1936,1964,1999,3,Dismal Enigma,Medium,M39089,x
790769,Head of Military Intelligence,Benigno Ballón Farfán,1939,1964,1999,6,Dismal Enigma,Medium,M39075,x
790770,Head of Military Intelligence,Juan Bautista de Lavalle,1942,1964,1999,6,Industrial Specialist,Medium,M39091,x
790771,Head of Military Intelligence,Alfredo Alvarez Calderón,1943,1964,1999,6,Technical Specialist,Medium,M39092,x
790772,Head of Military Intelligence,Miguel Montero y Tirado,1939,1964,1999,3,Political Specialist,Medium,M39093,x
790773,Head of Military Intelligence,Jorge T. de la Flor,1944,1964,1999,5,Industrial Specialist,Medium,M39094,x
790774,Head of Military Intelligence,Enrique Torres Gonzalez,1945,1964,1999,4,Political Specialist,Medium,M39095,x
790775,Head of Military Intelligence,Juan F. Guabloche Rodrígues,1945,1964,1999,5,Dismal Enigma,Medium,M39086,x
790776,Head of Military Intelligence,Riccardo Barrea Laos,1945,1964,1999,3,Technical Specialist,Medium,M39097,x
790777,Head of Military Intelligence,Armando Montes de Peralta,1946,1964,1999,5,Logistics Specialist,Medium,M39026,x
790778,Head of Military Intelligence,Bernardo Palacios y Montecinos,1947,1964,1999,3,Technical Specialist,Medium,M39016,x
790779,Chief of Staff,Luis Sánchez Cerro,1939,1964,1999,6,School of Mass Combat,Medium,M39102,x
790780,Chief of Staff,Bernardo Palacios y Montecinos,1939,1964,1999,3,School of Fire Support,Medium,M39016,x
790781,Chief of Staff,Riccardo P. Godoy,1944,1964,1999,5,School of Manoeuvre,Medium,M39104,x
790782,Chief of Staff,Fortunato Quesada Larrea,1945,1964,1999,5,School of Defence,Medium,M39106,x
790783,Chief of Staff,Juan Poncé Diaz,1945,1964,1999,3,School of Psychology,Medium,M39027,x
790784,Chief of Staff,Alberto Hurtado Abadia,1947,1964,1999,3,School of Defence,Medium,M39108,x
790785,Chief of Army,Oscar Gilardi,1936,1964,1999,3,Static Defence Doctrine,Low,M39006,x
790786,Chief of Army,Luis Saenz Diaz,1939,1964,1999,6,Elastic Defence Doctrine,Medium,M39111,x
790787,Chief of Army,Eloy G. Ureta,1939,1964,1999,3,Guns and Butter Doctrine,Medium,M39036,x
790788,Chief of Army,Eduardo Montero Rojas,1944,1964,1999,5,Armoured Spearhead Doctrine,Medium,M39113,x
790789,Chief of Army,Vladimiro Lopéz Trigoso,1945,1964,1999,5,Decisive Battle Doctrine,Medium,M39028,x
790790,Chief of Army,Rafael Escardo,1947,1964,1999,3,Elastic Defence Doctrine,Low,M39048,x
790791,Chief of Navy,Alberto Roque Saldías,1939,1964,1999,6,Indirect Approach Doctrine,Medium,M39069,x
790792,Chief of Navy,Manuel R. Nieto,1939,1964,1999,3,Open Seas Doctrine,Medium,M39120,x
790793,Chief of Navy,José de la Riva Agüero,1941,1964,1999,6,Base Control Doctrine,Medium,M39011,x
790794,Chief of Navy,Nicolas Lindley Lopez,1944,1964,1999,5,Decisive Naval Battle Doctrine,Low,M39019,x
790795,Chief of Navy,Luis Navarreté,1945,1964,1999,5,Power Projection Doctrine,High,M39124,x
790796,Chief of Navy,Juan Poncé Diaz,1945,1964,1999,3,Base Control Doctrine,Medium,M39027,x
790797,Chief of Navy,Felipe Tudela,1947,1964,1999,3,Open Seas Doctrine,Medium,M39013,x
790798,Chief of Air Force,Victor Solano,1939,1964,1999,6,Army Aviation Doctrine,High,M39129,x
