U49,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
72004,Minister of Armament,Jan Hendrik Hofmeyr,1936,1964,1999,5,Laissez-Faire Capitalist,Very High,kaiserreich_SAF_Hofmeyr,x
72005,Minister of Security,Jan C. Smuts,1936,1964,1999,6,Man of the People,High,M70005,x
72006,Head of Military Intelligence,Jan C. Smuts,1936,1964,1999,6,Logistics Specialist,Medium,M70005,x
72007,Chief of Staff,Pierre van Ryneveld,1936,1964,1999,6,School of Manoeuvre,Very High,M70007,x
72008,Chief of Army,Jan C. Smuts,1936,1964,1999,6,Armoured Spearhead Doctrine,Very High,M70005,x
72009,Chief of Navy,Pierre Oliver-Knoll,1936,1964,1999,6,Open Seas Doctrine,Very High,M70009,x
72010,Chief of Air Force,Pierre van Ryneveld,1936,1964,1999,6,Air Superiority Doctrine,Very High,M70007,x
72030,Head of Government,Jan C. Smuts,1936,1964,1999,6,Backroom Backstabber,High,M70005,x
72031,Foreign Minister,Gert Cronje,1964,1964,1999,7,Iron Fisted Brute,High,M70031,x
72032,Foreign Minister,Eric H. Louw,1964,1964,1999,7,Biased Intellectual,Very High,M70032,x
72033,Foreign Minister,Reginald Blankenberg,1936,1964,1999,6,Biased Intellectual,High,M70033,x
72034,Foreign Minister,Graham Botha,1936,1964,1999,5,Apologetic Clerk,High,M70034,x
72035,Foreign Minister,Jan C. Smuts,1936,1964,1999,6,Ideological Crusader,Very High,M70005,x
72036,Foreign Minister,E.G. Jansen,1936,1964,1999,7,Great Compromiser,High,M70036,x
72037,Foreign Minister,Pierre van Ryneveld,1936,1964,1999,6,General Staffer,Very High,M70007,x
72038,Foreign Minister,L. J. du Plessis,1936,1964,1999,5,Ideological Crusader,High,M70013,x
72041,Minister of Armament,J. G. Strijdom,1964,1964,1999,8,Resource Industrialist,Very High,M70041,x
72043,Minister of Armament,S.P. Le Roux,1964,1964,1999,8,Administrative Genius,Low,M70043,x
72045,Minister of Armament,H. J. van der Byl,1936,1964,1999,5,Theoretical Scientist,Very High,M70045,x
72047,Minister of Armament,Adolph Malan,1936,1964,1999,5,Air to Ground Proponent,Low,M70047,x
72048,Minister of Armament,Charles T. te Water,1936,1964,1999,6,Resource Industrialist,High,M70048,x
72049,Minister of Armament,Oswald Pirow,1964,1964,1999,8,Military Entrepreneur,Medium,M70014,x
72050,Minister of Armament,Cornelis van Zuigenbrogge,1936,1964,1999,6,Submarine Proponent,Very High,M70050,x
72051,Minister of Armament,Pierre Oliver-Knoll,1936,1964,1999,6,Battle Fleet Proponent,Very High,M70009,x
72052,Minister of Armament,P.O. Sauer,1964,1964,1999,7,laissez-faire capitalist,Very High,M70052,x
72053,Minister of Armament,Marinus van Osterkemp,1936,1964,1999,6,Air to Sea Proponent,Low,M70053,x
72055,Minister of Security,Hendrijk F. Verwoerd,1964,1964,1999,8,Prince of Terror,High,M70055,x
