U01,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
41001,Head of State,Gabriel Terra,1936,1964,1999,7,Powerhungry Demagogue,High,M41001,x
41002,Head of Government,Gabriel Terra,1936,1964,1999,7,Smiling Oilman,High,M41001,x
41003,Foreign Minister,José Espalter,1936,1964,1999,7,Iron Fisted Brute,Medium,M41003,x
41004,Minister of Armament,Alfredo Baldomir,1936,1964,1999,7,Military Entrepreneur,Medium,M41004,x
41005,Minister of Security,Heinz Glockenberger,1936,1964,1999,7,Prince of Terror,Medium,M41005,x
41006,Head of Military Intelligence,Cristiano Piraguy Trellés,1936,1964,1999,7,Logistics Specialist,Medium,M41006,x
41007,Chief of Staff,Manuel Heinz Azpurua,1936,1964,1999,7,School of Fire Support,Medium,M41007,x
41008,Chief of Army,Jorge Eloi Mendoza,1936,1964,1999,7,Static Defence Doctrine,Medium,M41008,x
41009,Chief of Navy,Carlos Jackson Urribé,1936,1964,1999,7,Decisive Naval Battle Doctrine,Medium,M41009,x
41010,Chief of Air Force,Cosme Alvaréz Berisso,1936,1964,1999,7,Air Superiority Doctrine,Medium,M41010,x
41031,Head of State,Alfredo Baldomir,1938,1964,1999,6,Resigned Generalissimo,High,M41004,x
41032,Head of State,A. Dres Gustavo,1938,1964,1999,3,Insignificant Layman,High,M41032,x
41033,Head of State,Juan de Amezaga,1943,1964,1999,5,Benevolent Gentleman,High,M41033,x
41034,Head of State,Baltasar Brun,1943,1964,1999,3,Weary Stiffneck,High,M41034,x
41035,Head of State,Tomas Beretta Gandolfo,1947,1964,1999,4,Die-hard Reformer,High,M41035,x
41036,Head of State,Luis Conrado Batlle Beres,1944,1964,1999,4,Popular Figurehead,High,M41036,x
41037,Head of Government,Alfredo Baldomir,1938,1964,1999,6,Old General,High,M41004,x
41038,Head of Government,A. Dres Gustavo,1938,1964,1999,3,Happy Amateur,High,M41032,x
41039,Head of Government,Juan de Amezaga,1943,1964,1999,5,Corporate Suit,High,M41033,x
41040,Head of Government,Baltasar Brun,1943,1964,1999,3,Old Admiral,High,M41034,x
41041,Head of Government,Tomas Beretta Gandolfo,1947,1964,1999,4,Flamboyant Tough Guy,High,M41035,x
41042,Head of Government,Luis Conrado Batlle Beres,1944,1964,1999,4,Naive Optimist,High,M41036,x
41043,Foreign Minister,Alberto Guani,1938,1964,1999,6,The Cloak N Dagger Schemer,Medium,M41043,x
41044,Foreign Minister,Baltasar Brun,1938,1964,1999,3,Biased Intellectual,Medium,M41034,x
41045,Foreign Minister,Hector Alberto Gerona,1943,1964,1999,5,Iron Fisted Brute,Medium,M41045,x
41046,Foreign Minister,Washington Beltran,1943,1964,1999,3,Ideological Crusader,Medium,M41046,x
41047,Foreign Minister,José Serrato,1947,1964,1999,4,Apologetic Clerk,Medium,M41047,x
41048,Foreign Minister,Eduardo Rodriguez Larreta,1947,1964,1999,3,Great Compromiser,Medium,M41048,x
41049,Foreign Minister,Emilio Frugoni,1947,1964,1999,2,The Cloak N Dagger Schemer,Medium,M41021,x
41050,Minister of Armament,Ignacio Justé Morales,1937,1964,1999,7,laissez-faire capitalist,Medium,M41050,x
41051,Minister of Armament,Valentín Gomez,1938,1964,1999,6,Strategic Air Proponent,Medium,M41051,x
41052,Minister of Armament,Leopoldo C. Agorio,1938,1964,1999,3,Theoretical Scientist,Medium,M41052,x
41053,Minister of Armament,Vittorio Amato Masso,1939,1964,1999,5,Tank Proponent,Medium,M41053,x
41054,Minister of Armament,Jorge Elio Mendoza,1942,1964,1999,6,Infantry Proponent,Medium,M41008,x
41055,Minister of Armament,Joaquin Garcia Sanchéz,1943,1964,1999,5,Air to Ground Proponent,Medium,M41055,x
41056,Minister of Armament,Carlos Jackson Urribé,1943,1964,1999,3,Battle Fleet Proponent,Medium,M41009,x
41057,Minister of Armament,Ernesto Sanchez Elizondo,1944,1964,1999,4,Air Superiority Proponent,Medium,M41057,x
41058,Minister of Armament,Julio Cesar Grauer,1947,1964,1999,4,Resource Industrialist,Medium,M41058,x
41059,Minister of Armament,Carlos Neves Ochoa,1937,1964,1999,2,Submarine Proponent,Medium,M41059,x
41060,Minister of Security,Paulo Ortega Fruscí,1937,1964,1999,7,Back Stabber,Medium,M41060,x
41061,Minister of Security,Horacio Arredondo,1938,1964,1999,6,Man of the People,Medium,M41061,x
41062,Minister of Security,A. Dres Gustavo,1938,1964,1999,3,Prince of Terror,Medium,M41032,x
