AFG,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
54100,Head of Government,Nur Muhammad Taraki,0,Silent Workhorse,AFG_nur_muhammad_taraki
54097,Head of Government,Dada Amir Haider Khan,1,Silent Workhorse,AFG_dada_amir_haider_khan
54091,Head of Military Intelligence,Dada Amir Haider Khan,1,Political Specialist,AFG_dada_amir_haider_khan
54090,Minister of Security,Dada Amir Haider Khan,1,Man of the People,AFG_dada_amir_haider_khan
54098,Head of Government,Khan Abdul Ghaffar Khan,2,Flamboyant Tough Guy,AFG_khan_abdul_ghaffar_khan
54095,Head of Government,Mir Gul Khan Nasir,2,Happy Amateur,AFG_gul_khan_nasir
54093,Foreign Minister,Ghulam Mohammad Farhad,3,Biased Intellectual,AFG_ghulam_mohammad_farhad
54092,Minister of Armament,Ghulam Mohammad Farhad,3,Resource Industrialist,AFG_ghulam_mohammad_farhad
54099,Foreign Minister,Mohammed Hashim Maiwandwal,3,Great Compromiser,M54080
54080,Minister of Armament,Mohammed Hashim Maiwandwal,3,Industrialiser,M54080
54088,Head of Government,Abdul Majid Zabuli,4,Corporate Suit,AFG_abdul_majid_zabuli
54058,Head of Military Intelligence,Abdul Majid Zabuli,4,Dismal Enigma,AFG_abdul_majid_zabuli
54004,Minister of Armament,Abdul Majid Zabuli,4,Laissez-Faire Capitalist,AFG_abdul_majid_zabuli
54051,Minister of Security,Abdul Majid Zabuli,4,Health and Safety,AFG_abdul_majid_zabuli
54029,Foreign Minister,Ali Muhammed Khan,6,Biased Intellectual,M54020
54066,Chief of Army,Asadullah Seraj Khan,6,Elastic Defence Doctrine,M54031
54035,Minister of Armament,Asadullah Seraj Khan,6,Infantry Proponent,M54031
54053,Minister of Security,Asadullah Seraj Khan,6,Compassionate Gentleman,M54031
54038,Minister of Armament,Feruccio Serafini,6,Air Superiority Proponent,M54038
54068,Chief of Army,Gholam Wali,6,Guns and Butter Doctrine,M54063
54056,Foreign Minister,Habibullah Khan Tarzi,6,Biased Intellectual,AFG_Habibullah Khan Tarzi
54102,Minister of Armament,Haji Faiz Muhammed Zikeria,6,Laissez-Faire Capitalist,M54003
54086,Head of Government,Mohammed Nadir Shah,6,Old General,AFGNad
54062,Chief of Staff,Nasirullah Husain,6,School of Fire Support,M54019
54037,Minister of Armament,Nasirullah Husain,6,Battle Fleet Proponent,M54019
54041,Minister of Armament,Pompeo Aloisi,6,Military Entrepreneur,M54041
54050,Minister of Security,Ricci A. Busatti,6,Silent Lawyer,M54050
54076,Chief of Air Force,Shah Wali Khan,6,Carpet Bombing Doctrine,M54042
54065,Chief of Army,Shah Wali Khan,6,Armoured Spearhead Doctrine,M54042
54063,Chief of Staff,Shah Wali Khan,6,School of Manoeuvre,M54042
54042,Minister of Armament,Shah Wali Khan,6,Infantry Proponent,M54042
54101,Foreign Minister,Abdul Hadi Dawai,7,Great Compromiser,AFGDaw
54106,Head of Government,Abdul Hadi Dawai,7,Flamboyant Tough Guy,AFGDaw
54025,Head of Military Intelligence,Abdul Hadi Dawai,7,Political Specialist,AFGDaw
54014,Minister of Armament,Abdul Hadi Dawai,7,Laissez-Faire Capitalist,AFGDaw
54061,Chief of Staff,Ahmad Ali Khan Solaiman,7,Commando Doctrine Staff,AFG_Ahmad Ali Khan Solaiman
54105,Minister of Armament,Ahmad Ali Khan Solaiman,7,Military Entrepreneur,AFG_Ahmad Ali Khan Solaiman
54079,Chief of Air Force,Ali Muhammed Khan,7,Naval Aviation Doctrine,M54020
54072,Chief of Navy,Ali Muhammed Khan,7,Power Projection Doctrine,M54020
54057,Head of Military Intelligence,Ali Muhammed Khan,7,Naval Intelligence Specialist,M54020
54045,Minister of Armament,Ali Muhammed Khan,7,Air to Sea Proponent,M54020
54048,Minister of Security,Ali Muhammed Khan,7,Efficient Sociopath,M54020
54031,Foreign Minister,Asadullah Seraj Khan,7,Iron Fisted Brute,M54031
54067,Chief of Army,Ghulam Nabi Charkhi,7,Elastic Defence Doctrine,AFG_Ghulam Nabi Charkhi
54028,Foreign Minister,Ghulam Nabi Charkhi,7,General Staffer,AFG_Ghulam Nabi Charkhi
54040,Minister of Armament,Habibullah Khan Tarzi,7,Balanced Budget Economy,AFG_Habibullah Khan Tarzi
54022,Minister of Security,Inayatullah Khan Seraj,7,Silent Lawyer,AFGIna
