CAN,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
45049,Foreign Minister,Tim Buck,0,The Cloak N Dagger Schemer,M45021
45040,Head of Government,Tim Buck,0,Ambitious Union Boss,M45021
45127,Chief of Air Force,Bob Mann,1,Army Aviation Doctrine,M45030
45066,Minister of Armament,Bob Mann,1,Air Superiority Proponent,M45030
45126,Chief of Air Force,Gino Verchiella,1,Air Superiority Doctrine,M45082
45082,Minister of Security,Gino Verchiella,1,Efficient Sociopath,M45082
45121,Chief of Navy,Jacques Richard,1,Power Projection Doctrine,M45096
45096,Head of Military Intelligence,Jacques Richard,1,Naval Intelligence Specialist,M45096
45114,Chief of Army,Jacques Robert,1,Static Defence Doctrine,M45094
45094,Head of Military Intelligence,Jacques Robert,1,Political Specialist,M45094
45115,Chief of Army,John Lethbridge,1,Elastic Defence Doctrine,M45028
45051,Foreign Minister,John Lethbridge,1,Ideological Crusader,M45028
45095,Head of Military Intelligence,John Lethbridge,1,Logistics Specialist,M45028
45083,Minister of Security,Quentin Piggott,1,Compassionate Gentleman,M45083
45106,Chief of Staff,Samuel Cino,1,School of Fire Support,M45027
45080,Minister of Security,Tom McEwan,1,Crime Fighter,M45025
45097,Head of Military Intelligence,William Dees,1,Technical Specialist,M45026
45064,Minister of Armament,William Kashtan,1,Resource Industrialist,M45064
45050,Foreign Minister,Armand Lavassieux,2,Biased Intellectual,M45050
45120,Chief of Navy,John F. King,2,Indirect Approach Doctrine,M45029
45063,Minister of Armament,Matthew Popovich,2,Tank Proponent,M45024
45081,Minister of Security,Robert Blackhawk,2,Man of the People,M45081
45105,Chief of Staff,Robert M. Edwards,2,School of Defence,M45065
45065,Minister of Armament,Robert M. Edwards,2,Infantry Proponent,M45065
45161,Minister of Security,Agnes Macphail,3,Compassionate Gentleman,CAN_Macphail
45172,Head of Military Intelligence,Humphrey Mitchell,3,Political Specialist,CAN_Mitchell
45170,Minister of Armament,William Charles Good,3,Resource Industrialist,CAN_Good
45164,Minister of Armament,Alphonse Fournier,4,Industrialiser,CAN_Fournier
45162,Head of Military Intelligence,Mitchell Hepburn,4,Political Specialist,CAN_Hepburn
45163,Minister of Security,Stuart Garson,4,Crime Fighter,CAN_Garson
45166,Head of Government,Thomas A. Crerar,4,Happy Amateur,M45070
45070,Minister of Security,Thomas A. Crerar,4,Man of the People,M45070
45153,Minister of Armament,C.B. MacPherson,5,Laissez-Faire Capitalist,KaiMacpherson
45057,Minister of Armament,C.D. Howe,5,The Minister For Everything,M45057
45169,Foreign Minister,Charles Vincent Massey,5,Great Compromiser,CAN_Massey
45054,Minister of Armament,Douglas S. Abbott,5,Bank President,M45054
45008,Chief of Army,Ernest Ashton,5,Guns and Butter Doctrine,M45007
45007,Chief of Staff,Ernest Ashton,5,School of Fire Support,M45007
45005,Minister of Security,Ernest Lapointe,5,Silent Lawyer,M45005
45010,Chief of Air Force,George Croil,5,Carpet Bombing Doctrine,M45010
45068,Minister of Security,George Eulas Foster,5,Crime Fighter,M45068
45069,Minister of Security,George W. Stephens,5,Compassionate Gentleman,M45069
45109,Chief of Army,Henry Crerar,5,Armoured Spearhead Doctrine,M45006
45100,Chief of Staff,Henry Crerar,5,School of Psychology,M45006
45006,Head of Military Intelligence,Henry Crerar,5,Logistics Specialist,M45006
45085,Head of Military Intelligence,Herbert Brown Ames,5,Dismal Enigma,M45085
45004,Minister of Armament,Ian A. MacKenzie,5,Bank President,M45004
45053,Minister of Armament,James Ralston,5,Theoretical Scientist,M45053
45110,Chief of Army,Kenneth Stuart,5,Decisive Battle Doctrine,M45086
45101,Chief of Staff,Kenneth Stuart,5,School of Mass Combat,M45086
45086,Head of Military Intelligence,Kenneth Stuart,5,Logistics Specialist,M45086
45160,Foreign Minister,Lester B. Pearson,5,Great Compromiser,CAN_Pearson
45042,Foreign Minister,Louis St. Laurent,5,Ideological Crusader,M45042
45157,Head of Government,Louis St. Laurent,5,Flamboyant Tough Guy,M45042
45072,Minister of Security,Louis St. Laurent,5,Silent Lawyer,M45042
45003,Foreign Minister,Mackenzie King,5,Great Compromiser,M45002
45002,Head of Government,Mackenzie King,5,Flamboyant Tough Guy,M45002
45044,Foreign Minister,Newton Wesley Rowell,5,Ideological Crusader,M45044
45182,Minister of Armament,Paul Hellyer,5,Theoretical Scientist,Kaiserreich_Hellyer
45009,Chief of Navy,Percy Nelles,5,Open Seas Doctrine,M45009
45087,Head of Military Intelligence,Ralph Gibson,5,Industrial Specialist,M45087
45055,Minister of Armament,Raoul Dandurand,5,Laissez-Faire Capitalist,M45055
45108,Chief of Army,Thomas Victor Anderson,5,Static Defence Doctrine,M45099
45099,Chief of Staff,Thomas Victor Anderson,5,School of Defence,M45099
45197,Chief of Staff,Archibald Montgomery-Massingberd,6,school of defence,kaiserreich_Montgomery-Massingberdy
45196,Chief of Army,Arthur Currie,6,decisive battle doctrine,kaiserreich_Currie
45195,Chief of Staff,Arthur Currie,6,school of fire support,kaiserreich_Currie
45056,Minister of Armament,Arthur Meighen,6,Resource Industrialist,M45056
45112,Chief of Army,Charles Foulkes,6,Elastic Defence Doctrine,M45103
45103,Chief of Staff,Charles Foulkes,6,School of Manoeuvre,M45103
45143,Chief of Staff,Claude Auchinleck,6,School of Fire Support,Auchinleck
45148,Chief of Navy,Dudley Pound,6,Open Seas Doctrine,M1140
45198,Chief of Army,Georges Vanier,6,elastic defence doctrine,L52072
45071,Minister of Security,Gordon Graydon,6,Silent Lawyer,M45071
45133,Chief of Army,Harold Alexander,6,Static Defence Doctrine,L1006
45134,Chief of Staff,Harold Alexander,6,School of Defence,L1006
45168,Foreign Minister,Howard Charles Green,6,Iron Fisted Brute,CAN_Green
45046,Foreign Minister,John Bracken,6,Biased Intellectual,M45038
45038,Minister of Armament,John Bracken,6,Military Entrepreneur,M45038
