EUS,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
580037,Chief of Navy,Rafael Menchaca,0,Indirect Approach Doctrine,kaiserreich menchaca
580035,Chief of Army,Felix Likiniano,1,Decisive Battle Doctrine,kaiserreich likiniano
580036,Chief of Army,Kepa Ordoki,1,Guns and Butter Doctrine,kaiserreich ordoki
580025,Foreign Minister,Telesforo Monzón,1,Iron Fisted Brute,kaiserreich monzon
580024,Head of Government,Telesforo Monzón,1,Flamboyant Tough Guy,kaiserreich monzon
580116,Minister of Armament,Alejandro Otero Fernandez,2,Resource Industrialist,M3503
580033,Chief of Staff,Anacleto Ortueta,2,School of Fire Support,kaiserreich ortueta
580023,Head of Government,Anacleto Ortueta,2,Backroom Backstabber,kaiserreich ortueta
580030,Minister of Security,Anacleto Ortueta,2,Man of the People,kaiserreich ortueta
580028,Minister of Armament,Gonzalo Nardiz,2,laissez-faire capitalist,kaiserreich nardiz
580039,Chief of Air Force,Ignacio Hidalgo de Cisneros,2,Carpet Bombing Doctrine,M11030
580031,Head of Military Intelligence,Jesús Larrañaga,2,Industrial Specialist,M580031
580034,Chief of Staff,Justo Gárate,2,School of Psychology,kaiserreich garate
580029,Minister of Security,Justo Gárate,2,Efficient Sociopath,kaiserreich garate
580038,Chief of Navy,Manuel Galdós,2,Open Seas Doctrine,kaiserreich galdos
580040,Chief of Air Force,Pablo Rada,2,Naval Aviation Doctrine,kaiserreich rada
580115,Foreign Minister,Salvador De Madariaga,2,Biased Intellectual,M3502
580027,Minister of Armament,Santiago Aznar,2,Corrupt Kleptocrat,kaiserreich aznar
580026,Foreign Minister,Tomás Bilbao,2,Apologetic Clerk,kaiserreich bilbao
580090,Foreign Minister,Antón Alonso Ríos,3,Great Compromiser,EUS_anton_alonso_rios
580089,Foreign Minister,Ánxel Casal,3,Apologetic Clerk,EUS_anxel_casal
580088,Minister of Armament,Ánxel Casal,3,Laissez-Faire Capitalist,EUS_anxel_casal
580126,Foreign Minister,Bieito Cupeiro,3,Ideological Crusader,M3528
580032,Head of Military Intelligence,Francisco Ciutat de Miguel,3,Logistics Specialist,kaiserreich ciutat
580094,Minister of Security,Ramón Suárez Picallo,3,Crime Fighter,EUS_ramon_suarez_picallo
580125,Minister of Security,Víctor Casas,3,Crime Fighter,M3522
580103,Foreign Minister,Alfonso Castelao,4,General Staffer,EUS_alfonso_castelao
580102,Head of Government,Alfonso Castelao,4,Flamboyant Tough Guy,EUS_alfonso_castelao
