ALI;Ruling Cabinet - Start;Name;Ideology;Personality;Picturename
;;;;;
999281;Head of Government;AC;8;Ambitious Union Boss;vader
999289;Chief of Air Force;Arturius;8;Army Aviation Doctrine;needa
999285;Head of Military Intelligence;Fernando;8;Dismal Enigma;tagge
999290;Chief of Staff;FlyingDutchman;8;School of Manoeuvre;yularen
999288;Chief of Navy;Jedrek;8;Decisive Naval Battle Doctrine;ozzel
999294;Head of Government;Johnny Canuck;8;Old General;bewill
999283;Minister of Armament;Kibbles;8;Theoretical Scientist;jerjerrod
999293;Foreign Minister;Kretoxian;8;Great Compromiser;nemet
999291;Chief of Air Force;Liam Riordan;8;Air Superiority Doctrine;thrawn
999286;Chief of Staff;Matej von Jakubco;8;School of Psychology;piett
999287;Chief of Army;Milites;8;Decisive Battle Doctrine;veers
999300;Minister of Armament;Strategia;8;Tank proponent;hux
999284;Minister of Security;viader;8;Prince of Terror;tarkin
999282;Foreign Minister;Yuriswe;8;Iron Fisted Brute;motti
999292;Chief of Navy;Zauberfloete;8;Open Seas Doctrine;cabbel
999296;Minister of Armament;ArmyDuck;9;Military Entrepreneur;bast
999298;Minister of Security;GP93;9;Efficient Sociopath;treidum
999295;Foreign Minister;Kavak;9;Ideological Crusader;lennox
999299;Head of Military Intelligence;Kornilov;9;Political Specialist;praji
999297;Head of Government;Straczynski;9;Flamboyant Tough Guy;shann
