FRA,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
,Minister of Armament,Ambroise Croizat,0,Industrialiser,FRA_Croizat
,Foreign Minister,Angelo Tasca,0,Biased Intellectual,kaiserreich angelotasca
,Minister of Armament,Auguste Lecoeur,0,Military Entrepreneur,M2095
,Chief of Air Force,Charles Tillon,0,Army Aviation Doctrine,M2180
,Chief of Navy,Charles Tillon,0,Base Control Doctrine,M2180
,Minister of Security,Claudine Chomat,0,Health and Safety,M2118
,Minister of Armament,Georges Lévy,0,Administrative Genius,M2014
,Head of Government,Georges Valois,0,Totalist Chairman,kaiserreich georgevalois
,Head of Military Intelligence,Gustave Guéhenneux,0,Technical Specialist,M2141
,Head of Military Intelligence,Hubert Lagradelle,0,Technical Specialist,kaiserreich hubertlagradelle
,Chief of Army,Jacques Doriot,0,Elastic Defence Doctrine,kaiserreich jacquesdoriot
,Chief of Staff,Jacques Doriot,0,School of Psychology,kaiserreich jacquesdoriot
,Minister of Armament,Jacques Doriot,0,Reformer,kaiserreich jacquesdoriot
,Chief of Army,Jacques Duclos,0,Static Defence Doctrine,M2012
,Chief of Staff,Jacques Duclos,0,School of Manoeuvre,M2012
,Foreign Minister,Jacques Duclos,0,Ideological Crusader,M2012
,Head of Government,Jacques Duclos,0,Backroom Backstabber,M2012
,Minister of Armament,Jean Jérôme,0,Planned Economy Proponent,M2093
,Head of Military Intelligence,Jean-Marie Clamamus,0,Industrial Specialist,M2120
,Minister of Security,Jean-Marie Clamamus,0,Man of the People,M2120
,Minister of Security,Louis Aragon,0,Health and Safety,kaiserreich aragon
,Minister of Security,Lucien Midol,0,Crime Fighter,M2015
,Chief of Staff,Marcel Bucard,0,School of Mass Combat,kaiserreich bucard
,Head of Government,Marcel Bucard,0,Flamboyant Tough Guy,kaiserreich bucard
,Minister of Security,Marcel Bucard,0,Secret Police Chief,kaiserreich bucard
,Chief of Staff,Marcel Cachin,0,School of Fire Support,M2017
,Foreign Minister,Marcel Cachin,0,Biased Intellectual,M2017
,Head of Government,Marcel Cachin,0,Silent Workhorse,M2017
,Chief of Air Force,Marcel Déat,0,Air Superiority Doctrine,kaiserreich marceldeat
,Chief of Navy,Marcel Déat,0,Base Control Doctrine,kaiserreich marceldeat
,Minister of Armament,Marcel Déat,0,Air Superiority Proponent,kaiserreich marceldeat
,Chief of Air Force,Marcel Gitton,0,Air Superiority Doctrine,M2020
,Foreign Minister,Marcel Gitton,0,Apologetic Clerk,M2020
,Foreign Minister,Maurice Thorez,0,Biased Intellectual,M2011
,Minister of Security,Maurice Thorez,0,Prince of Terror,M2011
,Foreign Minister,Pierre Comert,0,The Cloak N Dagger Schemer,M2050
,Foreign Minister,Pierre Laval,0,Great Compromiser,M2040
,Head of Military Intelligence,Pierre Villon,0,Technical Specialist,kaiserreich villon
,Head of Military Intelligence,Waldeck Rochet,0,Dismal Enigma,M2016
,Minister of Security,Adrien Tixier,1,Compassionate Gentleman,M2100
,Minister of Security,Alfred Rosmer,1,Silent Lawyer,kaiserreich alfredrosmer
,Foreign Minister,Amédée Dunois,1,Ideological Crusader,kaiserreich amedeedunois
,Chief of Army,André Marty,1,Guns and Butter Doctrine,M2018
,Chief of Navy,André Marty,1,Indirect Approach Doctrine,M2018
,Chief of Air Force,Antoine de Saint-Exupéry,1,Air Superiority Doctrine,saintexuperyqr1
,Head of Government,Benoît Frachon,1,Ambitious Union Boss,kaiserreich benoitfrachon
,Minister of Armament,Benoît Frachon,1,Industrialiser,kaiserreich benoitfrachon
,Head of Government,Boris Souvarine,1,Naive Optimist,kaiserreich borissouverain
,Foreign Minister,Charles Rappoport,1,Ideological Crusader,kaiserreich charlesrappapport
,Minister of Security,Charles Rappoport,1,Health and Safety,kaiserreich charlesrappapport
,Head of Government,Comité de Salut Public,1,Silent Workhorse,KRCdSP
,Minister of Armament,Daniel Renoult,1,Construction Magnate,M2096
,Minister of Security,Gaston Monmousseau,1,Health and Safety,FRA_Monmousseau
,Minister of Armament,Georges Dumoulin,1,Industrialiser,FRA_Dumoulin
,Head of Government,Guy Mollet,1,Happy Amateur,M2071
,Minister of Armament,Guy Mollet,1,Bank President,M2071
,Minister of Security,Henri Bonnet,1,Back Stabber,M2101
,Head of Military Intelligence,Henri Gourdeaux,1,Logistics Specialist,M2119
