GER,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
105,Minister of Armament,Albert Kuntz,0,Resource Industrialist,M105
152,Head of Military Intelligence,Erich Weinert,0,Logistics Specialist,M152
172,Chief of Staff,Erich Weinert,0,School of Psychology,M152
51,Head of Government,Ernst Thalmann,0,Backroom Backstabber,M22
151,Head of Military Intelligence,Ernst Thalmann,0,Industrial Specialist,M22
52,Head of Government,Ernst Toller,0,Ambitious Union Boss,M25
131,Minister of Security,Ernst Toller,0,Man of the People,M25
171,Chief of Staff,Ernst Wollweber,0,School of Mass Combat,M27
239,Head of Military Intelligence,Ernst Wollweber,0,Industrial Specialist,M27
201,Chief of Navy,Fritz Scheelen,0,Base Control Doctrine,M29
190,Chief of Army,Hans Kahle,0,Decisive Battle Doctrine,M28
153,Head of Military Intelligence,Heinrich Müller,0,Political Specialist,M26
23,Foreign Minister,Helmet Herzfelde,0,Ideological Crusader,M23
74,Foreign Minister,Helmut Herzfelde,0,Ideological Crusader,M23
133,Minister of Security,Julius Leber,0,Compassionate Gentleman,M133
39,Head of State,Ludwig Renn,0,Insignificant Layman,M21
132,Minister of Security,Ludwig Renn,0,Efficient Sociopath,M21
53,Head of Government,Walter Ulbricht,0,Backroom Backstabber,M53
73,Foreign Minister,Walter Ulbricht,0,The Cloak N Dagger Schemer,M53
134,Minister of Security,Walter Ulbricht,0,Prince of Terror,M53
106,Minister of Armament,Willie Munzenberg,0,Administrative Genius,M24
284,Head of Government,Arthur Crispien,3,Political Protege,kaiserreich arthurchrispian
285,Minister of Security,Arthur Crispien,3,Silent Lawyer,kaiserreich arthurchrispian
300,Chief of Navy,Conrad Patzig,3,Decisive Naval Battle Doctrine,L506300
295,Foreign Minister,Erich Ollenhauer,3,Iron Fisted Brute,M506014
297,Head of Military Intelligence,Eugen Gerstenmaier,3,Technical Specialist,M506028
296,Minister of Security,Georg August Zinn,3,Prince of Terror,M506023
289,Minister of Armament,Gustav Bauer,3,Keynesian Economy,kaiserreich gustavbauer
290,Minister of Security,Gustav Bauer,3,Man of the People,kaiserreich gustavbauer
293,Minister of Security,Gustav Noske,3,Crime Fighter,kaiserreich gustavnoske
294,Head of Military Intelligence,Gustav Noske,3,Logistics Specialist,kaiserreich gustavnoske
298,Chief of Staff,Hans Speidel,3,School of Fire Support,L506191
286,Head of State,Hans Vogel,3,Benevolent Gentleman,kaiserreich hansvogel
287,Head of Government,Hans Vogel,3,Ambitious Union Boss,kaiserreich hansvogel
288,Foreign Minister,Hans Vogel,3,Great Compromiser,kaiserreich hansvogel
384,Head of Government,Herbert Frahm,3,Flamboyant Tough Guy,kai_herbfrahm
291,Head of Government,Kurt Schumacher,3,Ambitious Union Boss,M506011
292,Minister of Armament,Kurt Schumacher,3,Mixed Economy,M506011
299,Chief of Army,Oskar Hansen,3,Decisive Battle Doctrine,L118
281,Head of State,Otto Wels,3,Pig-headed Isolationist,kaiserreich ottowells
282,Head of Government,Otto Wels,3,Corporate Suit,kaiserreich ottowells
283,Minister of Armament,Otto Wels,3,Mixed Economy,kaiserreich ottowells
376,Head of State,S.K.M. Wilhelm II von Preussen,4,Weltkrieg Emperor,kaiserreich wilhelmiih
377,Head of State,S.K.M. Wilhelm III von Preussen,4,Moderate Kaiser,M37
378,Head of State,S.K.M. Wilhelm IV von Preussen,4,Benevolent Gentleman,kaiserreichwilhelmIV
268,Minister of Armament,Albert Einstein,5,Theoretical Scientist,kaiserreich alberteinstein
305,Minister of Armament,Dr. Otto Gessler,5,Corrupt Kleptocrat,kaiserreich ottogessler
327,Head of Military Intelligence,Dr. Otto Gessler,5,Technical Specialist,kaiserreich ottogessler
310,Chief of Navy,Erich Köhler,5,Base Control Doctrine,M506035
313,Head of Government,Franz Blücher,5,Political Protege,M506012
320,Minister of Armament,Franz Etzel,5,Bank President,M506004
318,Minister of Security,Gustav Heinemann,5,Man of the People,M130
306,Head of Military Intelligence,Hanns Seidel,5,Naval Intelligence Specialist,M506029
326,Head of Military Intelligence,Hans Gisevius,5,Dismal Enigma,M247
316,Foreign Minister,Heinrich von Brentano,5,Ideological Crusader,M506013
