U15;Ruling Cabinet - Start;Name;Ideology;Personality;Picturename
;;;;;
83026;Foreign Minister;Aiko Tokimasa;1;Biased Intellectual;Aiko_Tokimasa
83037;Minister of Armament;Ernest K. Kai;2;Battle Fleet Proponent;Ernest_K_Kai
83027;Foreign Minister;Fred Kinzaburo Makino;2;Ideological Crusader;Fred_Kinzaburo_Makino
83028;Foreign Minister;Harriet Bouslog;2;Ideological Crusader;Harriet_Bouslog
83023;Foreign Minister;John Reinecke;2;Biased Intellectual;John_Reinecke
83013;Head of Government;Nolle Smith;2;Happy Amateur;Nolle_Smith
83030;Minister of Armament;Charles F. Washburn;3;Administrative Genius;Charles_F_Washburn
83063;Chief of Army;Frank R. McCoy;3;Decisive Battle Doctrine;Frank_R_McCoy
83055;Head of Military Intelligence;Frank R. McCoy;3;Naval Intelligence Specialist;Frank_R_McCoy
83056;Head of Military Intelligence;George Ariyoshi;3;Technical Specialist;George_Ariyoshi
83039;Minister of Security;Herbert Choy;3;Silent Lawyer;Herbert_Choy
83054;Head of Military Intelligence;Ingram Stainback;3;Political Specialist;Ingram_Stainback
83067;Chief of Navy;Isaac C. Kidd;3;Decisive Naval Battle Doctrine;Isaac_C_Kidd
83071;Chief of Navy;James Richardson;3;Decisive Naval Battle Doctrine;James_Richardson
83058;Chief of Staff;John A. Burns;3;School of Psychology;John_Anthony_Burns
83012;Head of Government;John A. Burns;3;Old Admiral;John_Anthony_Burns
83042;Minister of Security;Joseph Poindexter;3;Crime Fighter;Joseph_Poindexter
83035;Minister of Armament;Joseph Rider Farrington;3;Resource Industrialist;Joseph_Rider_Farrington
83029;Foreign Minister;Koji Ariyoshi;3;Great Compromiser;Koji_Ariyoshi
83038;Minister of Armament;Koji Ariyoshi;3;Military Entrepreneur;Koji_Ariyoshi
83050;Minister of Security;Koji Ariyoshi;3;Compassionate Gentleman;Koji_Ariyoshi
83066;Chief of Army;Mark Clark;3;Armoured Spearhead Doctrine;Mark_Clark
83021;Foreign Minister;Mollie Hong Min;3;Great Compromiser;Mollie_Hong_Min
83019;Foreign Minister;Riley Allen;3;Biased Intellectual;Riley_Allen
83049;Minister of Security;William S. Richardson;3;Silent Lawyer;William_S_Richardson
83048;Minister of Security;Ah Quon McElrath;4;Man of the People;Ah_Quon_McElrath
83057;Chief of Staff;Daniel Inouye;4;school of defence;Daniel_Inouye
83041;Minister of Security;Duke Kahanamoku;4;Man of the People;Duke_Kahanamoku
83032;Minister of Armament;Harold A. Seering;4;Administrative Genius;Harold_A_Seering
83018;Head of Government;James J. Sweeney;4;Silent Workhorse;James_J_Sweeney
83075;Chief of Air Force;Samuel W. King;4;Naval Aviation Doctrine;Samuel_Wilder_King
83069;Chief of Navy;Samuel W. King;4;Base Control Doctrine;Samuel_Wilder_King
