JAP,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
,Foreign Minister,Akamatsu Katsumaro,0,The Cloak N Dagger Schemer,MJAPAkamatsu
,Head of Government,Asanuma Inejiro,0,Totalist Chairman,MJAPAsanuma2
,Minister of Armament,Asanuma Inejiro,0,Planned Economy Proponent,MJAPAsanuma2
,Head of Government,Aso Hisashi,0,Totalist Chairman,MJAPAso
,Foreign Minister,Fukumoto Kazuo,0,Ideological Crusader,MJAPFukumoto
,Minister of Security,Fukumoto Kazuo,0,Prince of Terror,MJAPFukumoto
,Head of Military Intelligence,Hakamada Satomi,0,Dismal Enigma,MJAPHakamada
,Minister of Security,Hayama Yoshiki,0,Man of the People,MJAPHayama
,Head of Government,Kawakami Jotaro,0,Ambitious Union Boss,MJAPJotaro
,Chief of Army,Kitahara Taisaku,0,Guns and Butter Doctrine,MJAPKitahara
,Chief of Staff,Kitahara Taisaku,0,School of Mass Combat,MJAPKitahara
,Minister of Armament,Kono Mitsu,0,Resource Industrialist,MJAPKonomi
,Minister of Security,Miwa Juso,0,Media Magnate,MJAPMiwa
,Minister of Armament,Mizuno Shigeo,0,Administrative Genius,MJAPMizuno2
,Head of Military Intelligence,Ozaki Hotsumi,0,Logistics Specialist,MJAPOzaki
,Minister of Security,Sano Manabu,0,Back Stabber,MJAPSano
,Minister of Armament,Sugiyama Motojiro,0,Military Entrepreneur,MJAPSugiyama
,Foreign Minister,Tokuda Kyuichi,0,Iron Fisted Brute,MJAPTokuda2
,Chief of Air Force,Watanabe Masanosuke,0,Army Aviation Doctrine,MJAPWatanabe
,Chief of Navy,Watanabe Masanosuke,0,Base Control Doctrine,MJAPWatanabe
,Minister of Security,Kaji Yoshio,1,Man of the People,MJAPKaji
,Minister of Armament,Kato Kanju,1,Resource Industrialist,MJAPKato
,Head of Government,Nishio Suehiro,1,Flamboyant Tough Guy,MJAPNishio
,Minister of Security,Nishio Suehiro,1,Crime Fighter,MJAPNishio
,Foreign Minister,Nosaka Sanzo,1,Ideological Crusader,MJAPNosaka2
,Head of Government,Nosaka Sanzo,1,Backroom Backstabber,MJAPNosaka2
,Head of Government,Oyama Ikuo,1,Ambitious Union Boss,MJAPOyama
,Head of Military Intelligence,Oyama Ikuo,1,Political Specialist,MJAPOyama
,Head of Military Intelligence,Sadaichi Kenmotsu,1,Technical Specialist,MJAPSadaichi
,Foreign Minister,Tanahashi Kotora,1,Great Compromiser,MJAPTanahashi
,Minister of Armament,Yamada Moritaro,1,Theoretical Scientist,MJAPYamada
,Foreign Minister,Yamamoto Kenzo,1,The Cloak N Dagger Schemer,MJAPYamamoto
,Minister of Armament,Yamamoto Kenzo,1,Resource Industrialist,MJAPYamamoto
