MEX;Ruling Cabinet - Start;Name;Ideology;Personality;Picturename
;;;;;
36052;Head of Government;Abelardo L. Rodriguez;0;pragmatic statesman;MEX_Abelardo
36165;Chief of Staff;Antonio I. Villareal;0;School of Psychology;MEX_Villareal
36146;Head of Military Intelligence;David Alfaro Siqueiros;0;Dismal Enigma;MEX_Siqueiros
36145;Head of Military Intelligence;Enrique Estrada Reynoso;0;Dismal Enigma;M36004
36100;Minister of Armament;Enrique Estrada Reynoso;0;Infantry Proponent;M36004
36186;Chief of Army;Joaquin Amaro Dominguez;0;Decisive Battle Doctrine;M3605
36121;Minister of Security;Joaquin Amaro Dominguez;0;Back Stabber;M36075
36102;Minister of Armament;Luis L. Leon;0;military entrepreneur;MEX_Leon
36207;Head of Government;Luis Napoleón Morones;0;Ambitious Union Boss;MEX_Morones
36203;Minister of Armament;Luis Napoleón Morones;0;Corrupt Kleptocrat;MEX_Morones
36101;Minister of Armament;Marte R. Gomez;0;Bank President;MEX_Marte
36147;Head of Military Intelligence;Narciso Bassols Garcia;0;Logistics Specialist;MEX_Bassols
36051;Head of Government;Pascual Ortiz Rubio;0;Silent Workhorse;MEX_Rubio
36007;Chief of Army;Plutarco Elias Calles;0;Static Defence Doctrine;Calles
36050;Head of Government;Plutarco Elias Calles;0;totalist chairman;Calles
36005;Head of Military Intelligence;Plutarco Elias Calles;0;Political Specialist;Calles
36099;Minister of Armament;Saturnino Cedillo Martinez;0;Military Entrepreneur;MEX_Saturnino
36129;Minister of Security;Tomas Garrido Canabal;0;Prince of Terror;MEX_Canabal
36049;Head of Government;Agustín Olachea Avilé;1;old airmarshal;Aviles
36197;Chief of Navy;Alfredo Serratos Amador;1;Power Projection Doctrine;unknown
36073;Foreign Minister;Alfredo Serratos Amador;1;Apologetic Clerk;unknown
36128;Minister of Security;Alfredo Serratos Amador;1;Crime Fighter;unknown
36209;Head of Government;Amalia González Caballero;1;Naive Optimist;MEX_Amalia
36163;Chief of Staff;Andres Figueroa;1;School of Fire Support;M36073
36098;Minister of Armament;Dolores Santapiavo;1;Air to Ground Proponent;M36071
36001;Head of Government;Emiliano Zapata;1;reformist soldierHoG;Zapata
36126;Minister of Security;Francisco Gonzalez Vega;1;Silent Lawyer;MEX_GonzalesVega
36097;Minister of Armament;Francisco I. Casian;1;Administrative Genius;M36024
36184;Chief of Army;Genovevo de la O;1;static defence doctrine;6073
36183;Chief of Army;Gildardo Magaña Cerda;1;Guns and Butter Doctrine;MEX_Gildardo
36072;Foreign Minister;Gildardo Magaña Cerda;1;Great Compromiser;MEX_Gildardo
36008;Chief of Navy;Heriberto Jara Corona;1;Base Control Doctrine;Corona
36164;Chief of Staff;Ignacio L. Pesqueira;1;School of Manoeuvre;MEX_Pesqueira
36003;Minister of Armament;Luis Cabrera;1;Industrialiser;MEX_CabreraLobato
36071;Foreign Minister;Manuel C. Tellez;1;Apologetic Clerk;M36060
36006;Chief of Staff;Manuel Palafox;1;School of Fire Support;M36026
36143;Head of Military Intelligence;Manuel Palafox;1;Dismal Enigma;M36026
36125;Minister of Security;Manuel Palafox;1;Back Stabber;M36026
36070;Foreign Minister;Mariano Ponton;1;The Cloak N Dagger Schemer;M36023
36127;Minister of Security;Mariano Ponton;1;Back Stabber;M36023
36185;Chief of Army;Matias Santos Ramos;1;Guns and Butter Doctrine;M36028
36182;Chief of Army;Miguel Collazzo;1;Armoured Spearhead Doctrine;M36094
36144;Head of Military Intelligence;Miguel Collazzo;1;Political Specialist;M36094
36048;Head of Government;Procopio Herrera;1;Naive Optimist;M36025
36124;Minister of Security;Procopio Herrera;1;Efficient Sociopath;M36025
36196;Chief of Navy;Raul Lopez Sanchez;1;Decisive Naval Battle Doctrine;MEX_Raul
36074;Foreign Minister;Vicente Lombardo Toledano;1;Ideological Crusader;Toledano
36047;Head of Government;Vicente Lombardo Toledano;1;Silent Workhorse;Toledano
36094;Minister of Armament;Adolfo Ruiz Cortines;2;Administrative Genius;M36065
36122;Minister of Security;Adolfo Ruiz Cortines;2;Silent Lawyer;M36065
