OTT,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
549077,Foreign Minister,Ethem Nejat,2,The Cloak N Dagger Schemer,K_ethemnejat
549071,Head of State,Abdul Mejid II,3,weary stiffneck,M549018
549079,Minister of Security,Halide Edip Adivar,3,Man of the People,K_HalideEdipAdivar
549043,Minister of Security,Hasan Âli Pasha,3,Compassionate Gentleman,K_HasanliYcel
549038,Minister of Armament,Hasim Iscan Pasha,3,Theoretical Scientist,K_hasimiscan
549027,Foreign Minister,Ismail Nihat Pasha,3,Great Compromiser,M12029
549003,Head of State,Osman IV,3,Die-Hard Reformer,M549013
549045,Minister of Security,Resat Nuri,3,Silent Lawyer,K_Resat Nuri
549078,Minister of Armament,Sadrettin Celal Antel,3,Resource Industrialist,K_SadrettinCelal
549080,Head of Military Intelligence,Sefik Hüsnü,3,Political Specialist,K_SefikHosni
549028,Foreign Minister,Tewfik Rüstü Pasha,3,Biased Intellectual,M12003
549076,Head of Government,Yunus Nadi Abalioglu,3,Happy Amateur,K_YunusNadi
549093,Head of Government,Ali Kemal Bey,4,Flamboyant Tough Guy,OTTBey
549083,Chief of Air Force,Belkis Shevket Hanim,4,naval aviation doctrine,K_belkishanim
549084,Head of Government,Belkis Shevket Hanim,4,Old airmarshal,K_belkishanim
549044,Minister of Security,Hasan Polatkan Pasha,4,Man of the People,K_HasanPolatkan
549030,Foreign Minister,Necdet Pasha,4,Biased Intellectual,K_SelahattinU
549029,Foreign Minister,Selahattin Pasha,4,Ideological Crusader,K_SelahattinU
549070,Head of State,Abdul Mejid II,5,Popular Figurehead,M549018
549015,Head of Government,Ali Adnan Pasha,5,Ambitious Union Boss,M12046
549037,Minister of Armament,Ali Adnan Pasha,5,Laissez-Faire Capitalist,M12046
549086,Foreign Minister,Ali Fethi Okyar,5,Great Compromiser,OTTKya
549074,Minister of Security,Ali Kemal Bey,5,Compassionate Gentleman,K_AliKemalBey
549014,Head of Government,Hasan Âli Pasha,5,Silent Workhorse,K_HasanliYcel
549088,Chief of Army,Ismail Hakki Berkok,5,Elastic Defence Doctrine,OTTIsm
549026,Foreign Minister,Köprülü Mehmet Fuat Pasha,5,Biased Intellectual,K_Kprl_Mehm
549016,Head of Government,Köprülü Mehmet Fuat Pasha,5,Happy Amateur,M12046
549092,Chief of Staff,Osman Fuat Efendi,5,School of Fire Support,OTTFau
549073,Foreign Minister,Osman Wilfred Kemal,5,Ideological Crusader,K_borisjohnsonsgranddad
549075,Head of Military Intelligence,Refik Halit Pasha,5,Technical Specialist,K_RefikHalitKaray
549036,Minister of Armament,Refik Pasha,5,Military Entrepreneur,K_Refik_Saydam
549013,Head of Government,Refik Semir Pasha,5,Smiling Oilman,M549015
549072,Head of Government,Sultanzade Sabahaddin Bey,5,Happy Amateur,OTTPre
549069,Chief of Air Force,Vecihi Hürkus Pasha,5,Air Superiority Doctrine,K_VecihiHürkus
549087,Minister of Security,Yunus Nadi Abalioglu,5,Compassionate Gentleman,OTTYun
549096,Head of State,Ahmed IV,6,Stern Imperialist,M549012
549066,Chief of Navy,Ali Fuat Pasha,6,Base Control Doctrine,M12079
549057,Chief of Staff,Ali Fuat Pasha,6,School of Fire Support,M12079
549025,Foreign Minister,Ali Fuat Pasha,6,General Staffer,M12079
549067,Chief of Air Force,Ali Pasha,6,Army Aviation Doctrine,M12010
549063,Chief of Army,Cemal Aga Pasha,6,Decisive Battle Doctrine,K_CemalGursel
549056,Chief of Staff,Cemal Aga Pasha,6,School of Psychology,K_CemalGursel
549051,Head of Military Intelligence,Cemal Aga Pasha,6,Logistics Specialist,K_CemalGursel
549095,Foreign Minister,Hasan Saka,6,Iron Fisted Brute,OTTSak
549050,Head of Military Intelligence,Osman Nevres Pasha,6,Dismal Enigma,K_HasanTahsin
549002,Head of State,Ahmed IV,7,Stern Imperialist,M549012
549019,Foreign Minister,Ahmed Pasha,7,Great Compromiser,K_AhmetAaolu
549040,Minister of Security,Ahmed Pasha,7,Compassionate Gentleman,K_AhmetAaolu
549023,Foreign Minister,Ali Fethi Pasha,7,Apologetic Clerk,M12013
549011,Head of Government,Ali Fethi Pasha,7,Naive Optimist,M12013
549068,Chief of Air Force,Demirag Nuri Pasha,7,Army Aviation Doctrine,K_Demir
549035,Minister of Armament,Demirag Nuri Pasha,7,air to ground proponent,K_Demir
549082,Head of Government,Djemal Pasha,7,political protege,K_DjemalPasha
549089,Chief of Air Force,Erich Serno,7,Air Superiority Doctrine,OTTSer
549064,Chief of Navy,Huseyn Rauf Pasha,7,Indirect Approach Doctrine,M549009
549009,Head of Government,Huseyn Rauf Pasha,7,Old Admiral,M549009
549012,Head of Government,Mahmut Celal Pasha,7,Silent Workhorse,M12032
549034,Minister of Armament,Mahmut Celal Pasha,7,Resource Industrialist,M12032
549048,Head of Military Intelligence,Mahmut Esat Pasha,7,Technical Specialist,K_Mahmut
549042,Minister of Security,Mahmut Esat Pasha,7,Crime Fighter,K_Mahmut
549094,Minister of Security,Mustafa Abdülhalik Renda,7,Crime Fighter,OTTRen
549058,Chief of Army,Mustafa Fevzi Pasha,7,Elastic Defence Doctrine,M12007
549052,Chief of Staff,Mustapha Kemal Pasha,7,School of Manoeuvre,M549008
549091,Chief of Staff,Selahattin Adil Pasha,7,School of Mass Combat,OTTAdi
549046,Head of Military Intelligence,Sükrü Âli Pasha,7,Industrial Specialist,M12006
549090,Chief of Navy,Wilhelm A. Souchon,7,Open Seas Doctrine,OTTWil
549062,Chief of Army,Ýsmet Pasha,7,Decisive Battle Doctrine,M12008
549055,Chief of Staff,Ýsmet Pasha,7,School of Defence,M12007
549024,Foreign Minister,Ýsmet Pasha,7,General Staffer,M12007
549010,Head of Government,Ýsmet Pasha,7,Old General,M12007
549001,Head of State,Abdul Mejid II,8,Insignificant Layman,M549018
549022,Foreign Minister,Ahmed IV,8,Ideological Crusader,M549012
549007,Head of Government,Ali Suat Hayri Pasha,8,Flamboyant Tough Guy,K_SuatHayri
549021,Foreign Minister,Aref al-Aref Pasha,8,Biased Intellectual,K_ArefAlAref
549049,Head of Military Intelligence,Aref al-Aref Pasha,8,Political Specialist,K_ArifDajaniPasha
549065,Chief of Navy,Mahmud Mukhtar Pasha,8,Decisive Naval Battle Doctrine,K_MahmudMukhtar
549008,Head of Government,Mahmud Mukhtar Pasha,8,Old Admiral,K_MahmudMukhtar
549054,Chief of Staff,Nuri Berköz Pasha,8,School of Mass Combat,K_NuriBerkoz
549020,Foreign Minister,Prince Ahmed Nihad,8,Ideological Crusader,M549012
549061,Chief of Army,Rashid Ali al-Gaylani Pasha,8,Guns and Butter Doctrine,K_AliKilani
549041,Minister of Security,Sheikh Izz ad-Din al-Qassam Pasha,8,Man of the People,K_IzzDinQassam
549033,Minister of Armament,Yörük Ali Efe Pasha,8,Resource Industrialist,K_EfeofallEfes
549060,Chief of Army,Ali Arslan Pasha,9,Decisive Battle Doctrine,M12018
549047,Head of Military Intelligence,Behaeddin Shakir Pasha,9,Dismal Enigma,M549030
549039,Minister of Security,Behaeddin Shakir Pasha,9,Prince of Terror,M549030
549081,Head of Military Intelligence,Cerkes Ethem,9,Logistics Specialist,K_cerkesEthem
549017,Foreign Minister,Hüseyin Nihâl Pasha,9,Biased Intellectual,M12011
549005,Head of Government,Hüseyin Nihâl Pasha,9,Flamboyant Tough Guy,M12011
549004,Head of Government,Mehmed Cavid Pasha,9,Corporate Suit,K_Cavid
549031,Minister of Armament,Mehmed Cavid Pasha,9,Laissez-Faire Capitalist,M549025
549018,Foreign Minister,Nejdet Pasha,9,Biased Intellectual,K_NejdetSanar
549006,Head of Government,Nejdet Pasha,9,Backroom Backstabber,K_NejdetSanar
549032,Minister of Armament,Sadri Maksudi Pasha,9,Laissez-Faire Capitalist,K_SadriMaksudiArsal
549059,Chief of Army,Zeki Velidi Pasha,9,Static Defence Doctrine,M12012
