POR;Ruling Cabinet - Start;Name;Ideology;Personality;Picturename
;;;;;
9035;Minister of Security;Álvaro Cunhal;1;Man of the People;POR_alvaro_cunhal
9095;Head of Government;António Pinto Quartim;1;Silent Workhorse;POR_pinto_quartim
9039;Chief of Navy;Bento Gonçalves;1;Power Projection Doctrine;POR_bento_goncalves
9032;Head of Government;Bento Gonçalves;1;Happy Amateur;POR_bento_goncalves
9059;Minister of Armament;F.Salgado Zenha;1;Military Entrepreneur;M9034
9037;Chief of Staff;Jose A.P. Rebelo;1;School of Psychology;M9037
9098;Minister of Security;Manuel Ribeiro;1;Crime Fighter;POR_manuel_ribeiro
9040;Chief of Air Force;Antonio Sergo;2;Carpet Bombing Doctrine;M9036
9036;Head of Military Intelligence;Antonio Sergo;2;Industrial Specialist;M9036
9038;Chief of Army;Jose A.P. Rebelo;2;Guns and Butter Doctrine;M9037
90109;Minister of Armament;José Gomes Ferreira;2;Administrative Genius;POR_jose_gomes_ferreira
90110;Foreign Minister;Maria da Cunha Lamas;2;Great Compromiser;POR_maria_lamas
9020;Chief of Air Force;J.M. Sarmento Beires;3;Naval Aviation Doctrine;M9020
9012;Head of Government;Jaime Cortesão;3;Smiling Oilman;M9012
9057;Minister of Armament;Jaime Cortesão;3;Tank Proponent;M9012
9019;Chief of Navy;José Sarmento Pimentel;3;Base Control Doctrine;M9019
9015;Minister of Security;Raul Proenca;3;Back Stabber;M9015
9044;Foreign Minister;Ruy Ulrich;3;Great Compromiser;M9023
9046;Foreign Minister;Francisco Cunha Leal;4;The Cloak N Dagger Schemer;M9013
9018;Chief of Army;Humberto Carmona;4;Static Defence Doctrine;M9018
9079;Chief of Air Force;Humberto Delgado;4;Air Superiority Doctrine;M9079
9072;Chief of Army;J.M. Norton Matos;4;Static Defence Doctrine;M9072
9060;Minister of Security;Afonso Lucas;6;Silent Lawyer;M9025
9041;Foreign Minister;Alfonso Costa;6;The Cloak N Dagger Schemer;M9041
9056;Minister of Armament;Antonio M. B. Ferreira;6;Tank Proponent;M9056
9084;Head of Government;Aquilino Ribeiro;6;Political Protege;M9062
9062;Minister of Security;Aquilino Ribeiro;6;Crime Fighter;M9062
9043;Foreign Minister;D.Fezas Vital;6;General Staffer;M9022
9051;Minister of Armament;João Chagas;6;Military Entrepreneur;M9051
90104;Head of Government;João Tamagnini Barbosa;6;Corporate Suit;POR_joao_tamagnini_barbosa
9075;Chief of Navy;Quintão Meireles;6;Open Seas Doctrine;M9029
90105;Foreign Minister;Quintão Meireles;6;General Staffer;M9029
9017;Chief of Staff;Raul Brandao;6;School of Defence;M9004
9052;Minister of Armament;Vasco Carvalho;6;Theoretical Scientist;M9052
9003;Foreign Minister;A. Oliveira Salazar;7;Ideological Crusader;M9002
9002;Head of Government;A. Oliveira Salazar;7;Backroom Backstabber;M9002
90113;Foreign Minister;Abel de Abreu Sotto Mayor;7;General Staffer;POR_sotto_mayor
9047;Foreign Minister;Alfredo Pimenta;7;Ideological Crusader;M9026
9064;Minister of Security;Alfredo Pimenta;7;Prince of Terror;M9026
9076;Chief of Navy;Americo Deus Tomas;7;Open Seas Doctrine;M9076
9093;Head of Government;António de Fragosa Carmona;7;Backroom Backstabber;M9001
90112;Head of Government;António Lopes Mateus;7;Old General;POR_lopes_mateus
9054;Minister of Armament;Antonio Sardinho;7;Administrative Genius;M9024
9058;Minister of Armament;Armindo Monteiro;7;Battle Fleet Proponent;M9058
9069;Head of Military Intelligence;Augusto Vasconcellos;7;Technical Specialist;M9069
9071;Chief of Staff;Eduardo A. Marques;7;School of Fire Support;M9071
9066;Minister of Security;Henrique Galvao;7;Man of the People;M9066
9008;Chief of Army;J.A. Lobato Guerra;7;Guns and Butter Doctrine;M9008
9070;Chief of Staff;J.A. Silva Bastos;7;School of Mass Combat;M9027
9063;Minister of Security;J.Costa Leite;7;Back Stabber;M9063
9009;Chief of Navy;Jaime Afreixo;7;Base Control Doctrine;M9009
90108;Head of Government;Jaime Afreixo;7;Old Admiral;M9009
9053;Minister of Armament;Joao Nunes Costa;7;Air to Ground Proponent;M9053
9068;Head of Military Intelligence;Joao Pereira Bastos;7;Logistics Specialist;M9016
9048;Foreign Minister;José Caeiro da Mata;7;Great Compromiser;M9048
9067;Head of Military Intelligence;Julio Dantas;7;Industrial Specialist;M9067
9061;Minister of Security;M. Nobre Melo;7;Efficient Sociopath;M9061
9010;Chief of Air Force;Manuel Gouveia;7;Vertical Envelopment Doctrine;M9010
9005;Minister of Security;Mario Pais Sousa;7;Crooked Kleptocrat;M9005
9077;Chief of Air Force;Ortins Bettencourt;7;Naval Aviation Doctrine;M9077
9081;Foreign Minister;Paulo Cunha;7;Apologetic Clerk;M9081
9006;Head of Military Intelligence;Pedro Teotónio Pereira;7;Dismal Enigma;M9006
9004;Minister of Armament;Raul Brandao;7;Resource Industrialist;M9004
90106;Head of Government;Sidónio Pais;7;Naive Optimist;kai_sidpai
9007;Chief of Staff;Tasso Miranda Cabral;7;School of Fire Support;M9007
9045;Foreign Minister;Xavier Cordeiro;7;Biased Intellectual;M9045
90102;Head of Government;Alberto Monsaraz;8;Corporate Suit;POR_alberto_monsaraz
9055;Minister of Armament;Alberto Monsaraz;8;laissez-faire capitalist;POR_alberto_monsaraz
