SIA,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
x,Foreign Minister,Krachang Tularak,0,ideological crusader,
x,Head of Government,Song Noppakul,0,ambitious union boss,
x,Minister of Armament,Thawin Udol,0,air superiority proponent,
x,Minister of Armament,Chamlong Daorueang,1,planned economy proponent,
x,Minister of Security,Chao Phraya Srithammathibet,1,compassionate gentleman,
x,Head of Military Intelligence,Duen Bunnag,1,technical specialist,
x,Minister of Armament,Phraya Sartsphonkhan,1,tank proponent,
x,Head of Government,Prasert Eiwchai,1,happy amateur,
x,Foreign Minister,Sanguan Tularak,1,iron fisted brute,
x,Minister of Security,Thongin Phuripat,1,man of the people,
x,Minister of Security,Jarun Suebsang,2,crime fighter,
x,Foreign Minister,Luang Praditmanutham,2,the cloak n dagger schemer,
x,Head of Government,Luang Praditmanutham,2,political protege,
x,Head of Military Intelligence,Luang Praditmanutham,2,political specialist,
x,Minister of Armament,Phraya Sornyutthaseni,2,u boat proponent,
x,Head of Military Intelligence,Thawan Thamrongnawasawat,2,naval intelligence specialist,
x,Minister of Security,Thawan Thamrongnawasawat,2,efficient sociopath,
,Minister of Security,Buddhadasa Bhikkhu,3,Man of the People,SIA_buddhadasa
x,Foreign Minister,Direk Chainam,3,biased intellectual,
x,Head of Government,Direk Chainam,3,naive optimist,
x,Minister of Security,Phraya Tepvitunpahun Saruttabodhi,3,man of the people,
,Foreign Minister,Pridi Phanomyong,3,Great Compromiser,M62005
,Head of Government,Pridi Phanomyong,3,Silent Workhorse,M62005
x,Minister of Armament,Purachat Chaiyakon,3,industrialiser,
x,Head of Military Intelligence,Tiang Sirikhanth,3,dismal enigma,
x,Minister of Security,Luang Chawengsaksongkhram,4,back stabber,
x,Head of Government,Phraya Phaholpholphayuhasena,4,old general,
x,Minister of Armament,Chao Phraya Wongsanupraphan,5,laissez faire capitalist,
,Head of Military Intelligence,Chuang Chawengsangsongkram,5,Dismal Enigma,M62081
,Foreign Minister,Direk Phajayanama,5,Great Compromiser,M62014
,Chief of Staff,Jiri Wichitsongkram,5,School of Manoeuvre,M62094
,Head of Government,Kuang Abhayavongsa,5,Silent Workhorse,M62036
