U30;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X

910910;Head of State;Bunka Kyokai;SC;Popular Figurehead;MBunka;
910911;Head of Government;Bunka Kyokai;SC;Happy Amateur;MBunka;
910912;Foreign Minister;Chiang Wei-shui;SC;Biased Intellectual;MChiang;
910913;Minister of Armament;Koo Hsien-jung;SC;Resource Industrialist;M750005;
910914;Minister of Security;Lai He;SC;Man Of The People;M750007;
910915;Head of Military Intelligence;Koo Chen-fu;SC;Industrial Specialist;M750006;
910916;Chief of Staff;Lin Shao-mao;PA;School Of Psychology;MLin;
910917;Chief of Army;Lin Shao-mao;PA;Elastic Defence Doctrine;MLin;
910918;Chief of Navy;Lee Teng-chin;SC;Open Seas Doctrine;M750004;
910919;Chief of Air Force;Chiu Chin-chuen;SC;Air Superiority Doctrine;M750003;
910920;Head of State;Aisin-Gioro Zaizhen;FA;Weary Stiffneck;Medium;M750016;
910921;Head of State;Lin Xiantang;PA;Stern Imperialist;M750040;
910922;Head of State;Lin Sen;PA;Weary Stiffneck;M52001;
910923;Head of Government;Peng Huaying;FA;Flamboyant Tough Guy;M750001;
910924;Head of Government;Chiang Wei-shui;SC;Flamboyant Tough Guy;MChiang;
910925;Foreign Minister;Peng Huaying;FA;Ideological Crusader;M750001;
910926;Foreign Minister;Lin Xiantang;PA;Great Compromiser;M750040;
910927;Minister of Armament;Koo Chen-fu;PA;Administrative Genius;M750006;
910928;Minister of Security;Tsai Peihuo;PA;Silent Lawyer;M750042;
910929;Head of Military Intelligence;Xie Chunmu;PA;Dismal Enigma;M750041;
910930;Head of State;Xie Xuehong;LE;Popular Figurehead;M750008;
910931;Head of Government;Sha Sekko;LE;Silent Workhorse;M750000;
910932;Foreign Minister;Sha Sekko;LE;the cloak n dagger schemer;M750000;
910933;Minister of Armament;Lien Wenqing;LE;Military Entrepreneur;M750011;
910935;Head of Military Intelligence;Xie Xuehong;LE;Political Specialist;M750008;
910936;Chief of Staff;Zhou Enlai;LE;School of Mass Combat;M51037;
910937;Chief of Army;Zhou Enlai;LE;Static Defence Doctrine;M51037;
910938;Chief of Navy;Zhou Enlai;LE;Power Projection Doctrine;M51037;
910939;Chief of Air Force;Zhou Enlai;LE;Air Superiority Doctrine;M51037;
910940;Minister of Armament;Lin Hsiung-cheng;ML;Laissez-Faire Capitalist;M750043;
910941;Minister of Armament;Tu Tsung-min;ML;Theoretical Scientist;M750002;
910942;Minister of Security;Lin Hsiung-cheng;ML;Silent Lawyer;M750043;
910943;Chief of Staff;Tong Li-she;PA;School of Fire Support;L157306;
910944;Chief of Army;Tong Li-she;PA;Decisive Battle Doctrine;L157306;
