TEX,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
571067,Minister of Armament,C. Covington Hall,3,Theoretical Scientist,M5573070
571068,Minister of Security,Clay Fulks,3,Compassionate Gentleman,M5573088
571065,Head of Government,Helen Adams Keller,3,Happy Amateur,M5573036
571069,Minister of Security,Helen Adams Keller,3,Compassionate Gentleman,M5573036
571066,Foreign Minister,Lee Elhardt Hays,3,Great Compromiser,M5573052
571072,Head of Military Intelligence,Stetson Kennedy,3,Political Specialist,M5573090
571070,Minister of Security,Stetson Kennedy,3,Back Stabber,M5573090
571071,Head of Military Intelligence,William March,3,Dismal Enigma,M5573097
571080,Head of Government,Sidney Sanders McMath,4,Happy Amateur,kai_sdsdrmct
571076,Chief of Navy,Claude Augustus Swanson,5,Decisive Naval Battle Doctrine,M6009
571075,Chief of Army,Fox Conner,5,Guns and Butter Doctrine,M5573000
571074,Chief of Staff,Fox Conner,5,School of Manoeuvre,M5573000
571077,Chief of Air Force,Frank Maxwell Andrews,5,Carpet Bombing Doctrine,L60482
571078,Foreign Minister,J.O. Allen Tate,5,Apologetic Clerk,kai_joaltl
571008,Head of Government,Charles Lindbergh,6,Happy Amateur,M6020
571044,Head of Military Intelligence,Charles Sorensen,6,Industrial Specialist,kaiserreich_AUS_Charles_Sorensen
571014,Foreign Minister,David I. Walsh,6,Apologetic Clerk,Kaiserreich Walsh
571038,Minister of Security,H. Keith Thompson,6,Crime Fighter,kaiserreich_AUS_Keith_Thompson
571021,Minister of Armament,Henry Ford,6,Administrative Genius,M6014
571033,Minister of Security,Burton K. Wheeler,7,Efficient Sociopath,M6202
571061,Chief of Air Force,Charles Lindbergh,7,Air Superiority Doctrine,M6020
571058,Chief of Air Force,Curtis 'Bombs Away' LeMay,7,Carpet Bombing Doctrine,L60532
571059,Chief of Air Force,Donal W. Armington,7,Carpet Bombing Doctrine,M571010
571018,Foreign Minister,Earl Long,7,Ideological Crusader,M573001
571034,Minister of Security,Earl Williamson,7,Man of the People,kaiserreich_AUS_Earl_Williamson
571037,Minister of Security,Edsel Ford,7,Compassionate Gentleman,kaiserreich_AUS_Edsel_Ford
571050,Chief of Army,George S. Patton,7,Armoured Spearhead Doctrine,L60294
571047,Chief of Staff,George S. Patton,7,School of Manoeuvre,L60294
571030,Minister of Security,George Seargeant,7,Prince of Terror,M571020
571032,Minister of Security,Gerald B. Winrod,7,Efficient Sociopath,M6191
571009,Head of Government,Gerald K. Smith,7,Political Protege,M6040
571039,Head of Military Intelligence,Gerald K. Smith,7,Political Specialist,M6040
571031,Minister of Security,Gerald K. Smith,7,Back Stabber,M6040
571016,Foreign Minister,J.T. Renfrew,7,The Cloak N Dagger Schemer,M571003
571051,Chief of Army,John B. Ricketts,7,Decisive Battle Doctrine,M571008
571027,Minister of Security,John Fournet,7,Crime Fighter,kaiserreich_AUS_John_Fournet
571048,Chief of Staff,Larry K. Arnold,7,School of Manoeuvre,M571023
571013,Foreign Minister,Lawrence Dennis,7,Biased Intellectual,Kaiserreich Lawrence Dennis
571023,Minister of Armament,Lawrence Dennis,7,Administrative Genius,Kaiserreich Lawrence Dennis
571055,Chief of Navy,Lee Hugh Pollard III,7,Open Seas Doctrine,M571009
571049,Chief of Staff,Lee O. Willard,7,School of Psychology,M571011
571017,Foreign Minister,Lee O. Willard,7,General Staffer,M571011
571029,Minister of Security,Michael Alldredge Harlan,7,Crime Fighter,M571019
571024,Minister of Armament,Milo Reno,7,Laissez-Faire Capitalist,Kaiserreich Milo Reno
571053,Chief of Army,Myron G. Ashcroft,7,Armoured Spearhead Doctrine,M571026
571020,Foreign Minister,Oscar Allen,7,Biased Intellectual,kaiserreich_AUS_Oscar_Allen
571056,Chief of Navy,Philip R. Bush,7,Indirect Approach Doctrine,M571027
571052,Chief of Army,R.J. Stockman,7,Static Defence Doctrine,M571025
571060,Chief of Air Force,Richard C. Collins,7,Army Aviation Doctrine,M571028
571042,Head of Military Intelligence,Robert Earl Sherman,7,Industrial Specialist,M571022
571063,Head of Military Intelligence,Robert Rice Reynolds,7,Technical Specialist,kaiserreich_AUS_Robert_Reynolds
571041,Head of Military Intelligence,Sam J. Ervin Jr.,7,Political Specialist,M571021
571022,Minister of Armament,William F. Lemke,7,Theoretical Scientist,M6097
571054,Chief of Navy,William Halsey,7,Power Projection Doctrine,L60414
571036,Minister of Security,Billy Graham,8,Prince of Terror,kaiserreich_AUS_Billy_Graham
571040,Head of Military Intelligence,Edwin Emerson,8,Political Specialist,unknown
571015,Foreign Minister,Father Charles Coughlin,8,Ideological Crusader,M6013
571010,Head of Government,Father Charles Coughlin,8,Spiritual Leader,M6013
571045,Head of Military Intelligence,Francis Parker Yockey,8,Political Specialist,kaiserreich_AUS_Francis_Parker_Yockey
571019,Foreign Minister,H. L. Mencken,8,Biased Intellectual,kaiserreich_AUS_Mencken
571025,Minister of Armament,Huey Long,8,Resource Industrialist,kaiserreich hueylong
571057,Chief of Air Force,Nathan B. Forrest III,8,Army Aviation Doctrine,M6173
571026,Minister of Armament,Prescott Sheldon Bush,8,Laissez-Faire Capitalist,Kaiserreich Prescott Bush
571062,Foreign Minister,Seward Collins,8,Iron Fisted Brute,kaiserreich_AUS_Seward_Collins
571035,Minister of Security,William Bell Riley,8,Efficient Sociopath,kaiserreich_AUS_William_Riley
571012,Head of Government,William F. Lemke,8,Happy Amateur,M6097
571011,Head of Government,Fritz Kuhn,9,Flamboyant Tough Guy,M6011
571028,Minister of Security,Fritz Kuhn,9,Prince of Terror,M6011
571043,Head of Military Intelligence,George Sylvester Viereck,9,Political Specialist,kaiserreich_AUS_George_Sylvester_Viereck
571046,Head of Military Intelligence,Simon Emil Koedel,9,Naval Intelligence Specialist,unknown
