AUS,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
,Minister of Armament,Erwin Puschmann,0,Infantry Proponent,M23034
,Chief of Navy,Josef Teufl,0,Base Control Doctrine,M23047
,Head of Government,Josef Teufl,0,Backroom Backstabber,M23047
,Head of Military Intelligence,Richard Bernaschek,0,Technical Specialist,M23038
,Foreign Minister,Willi Frank,0,Iron Fisted Brute,M23035
,Minister of Security,Willi Frank,0,Crime Fighter,M23035
,Foreign Minister,Alfred Klahr,1,Ideological Crusader,M23033
,Chief of Air Force,Artur Breycha-Vauthier,1,Naval Aviation Doctrine,M23136
,Chief of Navy,Eric von Klopfenburg,1,Open Seas Doctrine,M23039
,Chief of Staff,Ferdinand Strasser,1,School of Manoeuvre,M23037
,Minister of Security,Otto Bauer,1,Back Stabber,M23031
,Chief of Army,Richard Bernaschek,1,Static Defence Doctrine,M23038
,Minister of Armament,Robert Winterstein,1,Submarine Proponent,M23025
,Head of Government,Willi Frank,1,Happy Amateur,M23035
,Chief of Staff,Adolf Schärf,3,School of Fire Support,M23022
,Head of Government,Adolf Schärf,3,Naive Optimist,M23022
,Head of Military Intelligence,Franz Sebek,3,Political Specialist,M23036
,Minister of Security,Franz Sebek,3,Compassionate Gentleman,M23036
,Minister of Armament,Fritz Stöckinger,3,Air to Ground Proponent,M23078
,Minister of Armament,Karl Tuppy,3,Corrupt Kleptocrat,M23077
,Minister of Armament,Ludwig Hülgerth,3,Air to Sea Proponent,M23052
,Head of Government,Richard Bernaschek,3,Silent Workhorse,M23038
,Foreign Minister,Adolf Schärf,5,Biased Intellectual,M23022
,Minister of Armament,Eduard Heinl,5,Theoretical Scientist,M23024
,Head of Government,Herbert Alois Kraus,5,Flamboyant Tough Guy,kai_aushrbtalskrs
,Head of Government,Ján Masaryk,5,Happy Amateur,M24055
,Foreign Minister,Karl Gruber,5,Biased Intellectual,M23023
,Minister of Armament,Karl Gruber,5,Air Superiority Proponent,M23023
,Head of Government,Karl Hartleb,5,Corporate Suit,kai_auskrlhrtlb
,Foreign Minister,Leopold Figl,5,Great Compromiser,M23045
,Minister of Security,Victor Folancec,5,Crime Fighter,M24082
,Chief of Air Force,Egon Berger von Waldenegg,6,Carpet Bombing Doctrine,M23003
,Head of Government,Ernst Rüdiger Starhemberg,6,Corporate Suit,kai_ernstrudvsthl
,Chief of Army,Heinrich Gleissner,6,Decisive Battle Doctrine,M23028
,Head of Government,Josef Bíly,6,Old General,M100000053
,Head of Military Intelligence,Julius Raab,6,Industrial Specialist,M23004
,Chief of Air Force,Julius Yllam,6,Air Superiority Doctrine,M23040
,Minister of Armament,Karl Renner,6,Strategic Air Proponent,M23021
,Minister of Security,Karl Tuppy,6,Efficient Sociopath,M23077
,Head of Government,Ludwig Hülgerth,6,Corporate Suit,M23052
,Minister of Armament,Paul von Hegedüs,6,Battle Fleet Proponent,M23009
,Chief of Navy,Robert Winterstein,6,Indirect Approach Doctrine,M23025
,Head of Military Intelligence,Robert Winterstein,6,Technical Specialist,M23025
,Minister of Security,Robert Winterstein,6,Crooked Kleptocrat,M23025
,Chief of Staff,Wilhelm Zehner,6,School of Mass Combat,M23008
,Foreign Minister,Alfred von Arbengau,7,Biased Intellectual,kaiserreich AlfredRappaportvA
,Chief of Air Force,Benno von Fernbrugg,7,Army Aviation Doctrine,kaiserreich fernbrugg
,Chief of Army,Eric von Klopfenburg,7,Static Defence Doctrine,M23039
,Chief of Staff,Eugen von Habsburg-Lothringen ,7,School of Fire Support,kaiserreich archdukeeugen
,Chief of Navy,Franz von Keil,7,Indirect Approach Doctrine,
,Chief of Navy,Janko Vukovic,7,Decisive Naval Battle Doctrine,MVukovic
,Chief of Army,Julius Ringel,7,Guns and Butter Doctrine,M169
,Chief of Staff,Julius Ringel,7,School of Manoeuvre,M169
,Head of Government,Julius Ringel,7,Flamboyant Tough Guy,M169
,Head of Military Intelligence,Kalmán Szell,7,Political Specialist,M23093
,Foreign Minister,O. Löwenfels-Aarengau,7,General Staffer,M23048
,Head of Government,O. Löwenfels-Aarengau,7,Naive Optimist,M23048
,Chief of Staff,O. Meixner von Zweienstamm,7,School of Defence,M23103
,Minister of Armament,T. Winkler-Kreuth-Mautner,7,Laissez-Faire Capitalist,M23067
,Chief of Air Force,W. Ehrenburg von Lüttitz,7,Army Aviation Doctrine,M23082
,Minister of Security,W. Ehrenburg von Lüttitz,7,Efficient Sociopath,M23082
,Foreign Minister,Albert Mensdorff-Pouilly,8,Apologetic Clerk,M23049
,Head of Government,Albert Mensdorff-Pouilly,8,Happy Amateur,M23049
,Minister of Armament,Albert Mensdorff-Pouilly,8,Administrative Genius,M23049
,Chief of Staff,Alfred von Jansa,8,School of Defence,M23007
,Head of Military Intelligence,Alois von Schönburg-Hartenstein,8,Logistics Specialist,kaiserreich schonburghartenstein2
,Head of Government,Arthur Seyß-Inquart,8,Flamboyant Tough Guy,M58
,Head of Military Intelligence,Constantin Dumba,8,Naval Intelligence Specialist,M23084
,Minister of Security,Constantin Dumba,8,Man of the People,M23084
,Head of Government,Edmund Glaise von Horstenau,8,Old General,M23050
,Foreign Minister,Eduard Baar von Baarenfels,8,Iron Fisted Brute,M23005
,Minister of Security,Eduard Baar von Baarenfels,8,Man of the People,M23005
,Chief of Army,Eduard von Bohm-Ermolli,8,Static Defence Doctrine,kaiserreich bohmermolli
,Chief of Staff,Eduard von Bohm-Ermolli,8,School of Mass Combat,kaiserreich bohmermolli
,Foreign Minister,Egon Berger von Waldenegg,8,Apologetic Clerk,M23003
,Chief of Army,Erzherzog Friedrich,8,Guns and Butter Doctrine,MErzFriedrich
,Chief of Air Force,Godwin Brumowski,8,Air Superiority Doctrine,kaiserreich brumowski
,Foreign Minister,Guido Schmidt,8,The Cloak N Dagger Schemer,M23057
,Chief of Navy,Ignaz Seipel,8,Power Projection Doctrine,M23124
,Minister of Armament,Josef Dobretsberger,8,Laissez-Faire Capitalist,M23069
,Minister of Armament,Julius Raab,8,Resource Industrialist,M23004
,Head of Military Intelligence,Karl Eglseer,8,Logistics Specialist,M23095
,Chief of Staff,Karl Kirchbach,8,School of Defence,MKirchbach
,Chief of Staff,Kurt von Schuschnigg,8,School of Fire Support,M23002
,Head of Government,Kurt von Schuschnigg,8,Silent Workhorse,M23002
,Head of Military Intelligence,Kurt von Schuschnigg,8,Political Specialist,M23002
,Minister of Security,Kurt von Schuschnigg,8,Compassionate Gentleman,M23002
,Minister of Security,Michael Hainisch,8,Compassionate Gentleman,kaiserreich hainisch
,Chief of Army,O. Meixner von Zweienstamm,8,Guns and Butter Doctrine,M23103
,Chief of Air Force,Otto Schöbel,8,Vertical Envelopment Doctrine,M23030
,Chief of Navy,Paul von Hegedüs,8,Decisive Naval Battle Doctrine,M23009
,Chief of Staff,Rudolf von Brudermann,8,School of Manoeuvre,M23105
,Chief of Staff,Walter Ernst,8,School of Defence,M23104
,Head of Military Intelligence,Wilhelm Gebauer,8,Logistics Specialist,M23006
,Chief of Army,Wilhelm Zehner,8,Elastic Defence Doctrine,M23008
,Chief of Air Force,Alexander Löhr,9,Army Aviation Doctrine,M23010
,Head of Military Intelligence,Alexander Löhr,9,Dismal Enigma,M23010
,Minister of Armament,Alfred Maleta,9,Tank Proponent,M23073
,Chief of Staff,Alfred von Hubicki,9,School of Psychology,M23107
,Foreign Minister,Arthur Seyß-Inquart,9,Iron Fisted Brute,M58
,Minister of Security,Arthur Seyß-Inquart,9,Silent Lawyer,M58
,Foreign Minister,Edmund Glaise von Horstenau,9,General Staffer,M23061
,Minister of Security,Edmund Glaise von Horstenau,9,Prince of Terror,M23050
,Chief of Navy,Emil Hickmann,9,Open Seas Doctrine,M23017
,Chief of Staff,Emil Hickmann,9,School of Manoeuvre,M23017
,Head of Military Intelligence,Ernst Kaltenbrunner,9,Logistics Specialist,M138
,Chief of Army,Eugen Beyer,9,Elastic Defence Doctrine,M23018
,Chief of Staff,Eugen Beyer,9,School of Fire Support,M23018
,Minister of Security,Hanns Rauter,9,Man of the People,M23086
,Minister of Armament,Hans Fischböck,9,Military Entrepreneur,M23072
,Chief of Air Force,Josef Bürckel,9,Carpet Bombing Doctrine,M23042
,Chief of Army,Lothar Rendulic,9,Armoured Spearhead Doctrine,M23118
,Minister of Armament,Rudolf Neumayr,9,Resource Industrialist,M23014
,Foreign Minister,Wilhelm Wolff,9,Ideological Crusader,M23013
,Head of Government,Wilhelm Wolff,9,Flamboyant Tough Guy,M23013
,Head of Military Intelligence,Wilhelm Wolff,9,Technical Specialist,M23013
