CSX,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
978231,Foreign Minister,Gan Jiehou,5,General Staffer,Gan Jiehou
978166,Foreign Minister,Alfred Sao-ke Sze,6,Iron Fisted Brute,Alfred Sao-ke Sze
978260,Head of Government,Beauson Tseng,6,Flamboyant Tough Guy,Beauson Tseng
978228,Foreign Minister,Diao Zuoqian,6,General Staffer,Diao Zuoqian
978230,Foreign Minister,Duan Maolan,6,Iron Fisted Brute,Duan Maolan
978196,Chief of Army,Guo Jijiao,6,Armoured Spearhead Doctrine,Guo Jijiao
978195,Chief of Staff,Guo Jijiao,6,School of Manoeuvre,Guo Jijiao
978246,Minister of Armament,Hu Lian,6,Resource Industrialist,L50120
978267,Chief of Army,Jiang Baili,6,Elastic Defence Doctrine,Jiang Baili
978268,Chief of Staff,Jiang Baili,6,School of Defence,Jiang Baili
978290,Head of Military Intelligence,Li Shih-tseng,6,Logistics Specialist,Li Shih-tseng
978197,Chief of Navy,Liang Xuzhao,6,Power Projection Doctrine,Liang Xuzhao
978241,Minister of Armament,Liang Xuzhao,6,Submarine Proponent,Liang Xuzhao
978142,Chief of Air Force,Lin Fuyuan,6,Air Superiority Doctrine,Lin Fuyuan
978141,Minister of Armament,Lin Fuyuan,6,Air Superiority Proponent,Lin Fuyuan
978243,Minister of Armament,Lin Guogeng,6,Battle Fleet Proponent,Lin Guogeng
978161,Head of Government,Lu Zhengxiang,6,Silent Workhorse,M750019
978252,Head of Military Intelligence,Tang Zong,6,Political Specialist,Tang Zong
978180,Foreign Minister,V.K. Wellington Koo,6,Great Compromiser,Wellington Koo
978179,Head of Government,V.K. Wellington Koo,6,Silent Workhorse,Wellington Koo
978256,Foreign Minister,Victor Hoo Chi-tsai,6,Great Compromiser,Victor Hoo Chi-tsai
978240,Minister of Armament,Wang Ken,6,Tank Proponent,Wang Ken
978271,Chief of Staff,Xu Yongchang,6,School of Psychology,L50113
978264,Head of Military Intelligence,Zhang Boju,6,Industrial Specialist,Zhang Boju
978187,Chief of Air Force,Zhang Huizhang,6,Vertical Envelopment Doctrine,Zhang Huizhang
978217,Minister of Armament,Zhang Xiaoruo,6,Corrupt Kleptocrat,Zhang Xiaoruo
