U23,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
7600,Head of State,H.H. Louis de Grimaldi,1936,1964,1999,7,Pig-headed Isolationist,Very high,Louis_de_Grimaldi,x
7601,Head of Government,Pierre de Polignac,1936,1964,1999,7,Happy Amateur,Medium,Pierre_de_Polignac,x
7602,Foreign Minister,Albert Camus,1936,1964,1999,1,Biased Intellectual,Medium,Albert_Camus,x
7603,Minister of Armament,Raymond Abellio,1936,1964,1999,2,Administrative Genius,Medium,Raymond_Abellio,x
7604,Minister of Security,Jacques Soustelle,1936,1964,1999,1,Crime Fighter,Medium,Jacques_Soustelle,x
7605,Head of Military Intelligence,Maurice Hankey,1936,1964,1999,6,Naval Intelligence Specialist,Medium,Maurice_Hankey,x
7606,Chief of Staff,Maurice Hankey,1936,1964,1999,6,school of defence,Medium,Maurice_Hankey,x
7607,Chief of Army,Louis de Grimaldi,1936,1964,1999,7,static defence doctrine,Medium,Louis_de_Grimaldi,x
7609,Chief of Air Force,Maryse Bastié,1936,1964,1999,4,Air Superiority Doctrine,Medium,Maryse_Bastie,x
7610,Head of State,H.H. Rainier Grimaldi,1946,1964,1999,5,Popular Figurehead,Medium,Rainier_Grimaldi,x
7611,Head of Government,Jacques Chaban-Delmas,1946,1964,1999,3,Corporate Suit,Medium,Jacques_Chaban-Delmas,x
7612,Foreign Minister,Charlotte Grimaldi,1936,1964,1999,5,Undistinguished Suit,Medium,Charlotte_Grimaldi,x
7613,Minister of Armament,Paul Augier,1944,1964,1999,3,laissez-faire capitalist,Medium,Paul_Augier,x
7614,Minister of Security,Pierre Dejussieu-Pontcarral,1936,1964,1999,4,Compassionate Gentleman,Medium,Pierre_Dejussieu-Pontcarral,x
7615,Head of Military Intelligence,Pierre Dejussieu-Pontcarral,1936,1964,1999,4,Logistics Specialist,Medium,Pierre_Dejussieu-Pontcarral,x
7616,Chief of Staff,Jacques Chaban-Delmas,1944,1964,1999,3,School of Manoeuvre,Medium,Jacques_Chaban-Delmas,x
7617,Chief of Army,Georges Catroux,1936,1964,1999,3,static defence doctrine,Medium,Georges_Catroux,x
7618,Chief of Navy,Maurice Hankey,1936,1964,1999,6,Power Projection Doctrine,Medium,Maurice_Hankey,x
7619,Chief of Air Force,Martial Valín,1936,1964,1999,6,Air Superiority Doctrine,Medium,Valin,x
7620,Head of State,Edgar Faure,1936,1964,1999,6,Popular Figurehead,Medium,Edgar_Faure,x
7621,Head of Government,Alexandre Varenne,1936,1964,1999,4,Political Protege,Medium,Alexandre_Varenne,x
7622,Foreign Minister,Rene Cassin,1936,1964,1999,4,Great Compromiser,Medium,Rene_Cassin,x
7623,Minister of Armament,Louis Armand,1936,1964,1999,4,Administrative Genius,Medium,Louis_Armand_M,x
7624,Minister of Security,Berty Albrecht,1936,1964,1999,2,Efficient Sociopath,Medium,Berty_Albrecht,x
7625,Head of Military Intelligence,Edgard de Larminat,1936,1964,1999,3,Technical Specialist,Medium,Edgard_de_Larminat,x
7626,Chief of Staff,Jea-Marie Lattre de Tassigny,1936,1964,1999,6,School of Mass Combat,Medium,Jea-Marie_Lattre_de_Tassigny,x
7627,Chief of Army,Jea-Marie Lattre de Tassigny,1936,1964,1999,6,Armoured Spearhead Doctrine,Medium,Jea-Marie_Lattre_de_Tassigny,x
7628,Chief of Navy,Georges Cabanier,1936,1964,1999,3,Undistinguished Suit,Medium,Georges_Cabanier,x
7629,Chief of Air Force,Georges Bergé,1936,1964,1999,3,Army Aviation Doctrine,Medium,Georges_Berge,x
7631,Head of Government,Jea-Marie Lattre de Tassigny,1936,1964,1999,6,Old General,Medium,Jea-Marie_Lattre_de_Tassigny,x
7632,Foreign Minister,Edgard de Larminat,1936,1964,1999,3,General Staffer,Medium,Edgard_de_Larminat,x
7633,Minister of Armament,Gilbert Bugeac,1936,1964,1999,2,Infantry Proponent,Medium,Gilbert_Bugeac,x
7634,Minister of Security,Jacques Baumel,1936,1964,1999,6,Silent Lawyer,Medium,Jacques_Baumel,x
7635,Head of Military Intelligence,Louis Bonvin,1936,1964,1999,3,Logistics Specialist,Medium,Louis_Bonvin,x
7636,Chief of Staff,Oliver Guichard,1936,1964,1999,5,School of Psychology,Medium,Oliver_Guichard,x
7637,Chief of Army,Pierre Dejussieu-Pontcarral,1936,1964,1999,4,static defence doctrine,Medium,Pierre_Dejussieu-Pontcarral,x
7639,Chief of Air Force,Edouard Corniglion-Molinier,1936,1964,1999,4,Air Superiority Doctrine,Medium,Corniglion-Molinier,x
7641,Head of Government,Abbé Pierre,1936,1964,1999,2,Happy Amateur,Medium,Abbe_Pierre,x
7642,Foreign Minister,Odette Pilpoul,1936,1964,1999,2,Ideological Crusader,Medium,Odette_Pilpoul,x
7643,Minister of Armament,Eugène Chavant,1936,1964,1999,3,Undistinguished Suit,Medium,Eugene_Chavant,x
7644,Minister of Security,Pierre Bertaux,1936,1964,1999,3,Crime Fighter,Medium,Pierre_Bertaux,x
7645,Head of Military Intelligence,Gilbert Bugeac,1936,1964,1999,2,Technical Specialist,Medium,Gilbert_Bugeac,x
7646,Chief of Staff,Edgard de Larminat,1936,1964,1999,3,School of Mass Combat,Medium,Edgard_de_Larminat,x
7647,Chief of Army,Edgard de Larminat,1936,1964,1999,6,Decisive Battle Doctrine,Medium,Edgard_de_Larminat,x
7649,Chief of Air Force,Joseph Trigeaud,1936,1964,1999,3,Army Aviation Doctrine,Medium,Trigeaud,x
7652,Foreign Minister,Abbé Pierre,1936,1964,1999,2,Great Compromiser,Medium,Abbe_Pierre,x
7653,Minister of Armament,Emile Coulaudon,1936,1964,1999,3,Resource Industrialist,Medium,Coulaudon,x
7654,Minister of Security,Louis Bonvin,1936,1964,1999,4,Compassionate Gentleman,Medium,Louis_Bonvin,x
7655,Head of Military Intelligence,Francis-Louis Closon,1936,1964,1999,4,Political Specialist,Medium,Francis-Louis_Closon,x
7656,Chief of Staff,Martial Valín,1936,1964,1999,6,School of Fire Support,Medium,Valin,x
7657,Chief of Army,Georges Buis,1945,1964,1999,2,elastic defence doctrine,Medium,Georges_Buis,x
7662,Foreign Minister,Berty Albrecht,1936,1964,1999,2,the cloak n dagger schemer,Medium,Berty_Albrecht,x
7663,Minister of Armament,Irénée Cros,1936,1964,1999,6,Administrative Genius,Medium,Irenee_Cros,x
7664,Minister of Security,Jacques Brunschwig-Bordier,1936,1964,1999,3,Compassionate Gentleman,Medium,Jacques_Brunschwig-Bordier,x
7665,Head of Military Intelligence,Jacques Baumel,1936,1964,1999,6,Political Specialist,Medium,Jacques_Baumel,x
7666,Chief of Staff,Louis Bonvin,1936,1964,1999,4,School of Manoeuvre,Medium,Louis_Bonvin,x
7667,Chief of Army,Emile Coulaudon,1936,1964,1999,3,Armoured Spearhead Doctrine,Medium,Coulaudon,x
7672,Foreign Minister,Francis-Louis Closon,1936,1964,1999,4,the cloak n dagger schemer,Medium,Francis-Louis_Closon,x
7676,Chief of Staff,Edourad Corniglion-Molinier,1936,1964,1999,4,School of Fire Support,Medium,Corniglion-Molinier,x
7677,Head of State,H.H. Bertran II,1936,1964,1999,7,russian aristocrat,Very high,kaiserreich_U23_vladimir _pavlovich,x
7678,Head of State,H.H. Bertran II,1936,1964,1999,6,russian aristocrat,Very high,kaiserreich_U23_vladimir _pavlovich,x
7679,Head of State,H.H. Rene I,1936,1964,1999,7,Autocratic Charmer,High,kai_rnefbrbprm,x
7680,Head of State,Jean de Lattre de Tassigny,1936,1964,1999,7,Autocratic Charmer,Medium,M2047,x
7681,Head of Government,Jean de Lattre de Tassigny,1936,1964,1999,7,Old general,Medium,M2047,x
