ARA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
558001,Head of State,M.M. Paruq I,1936,1964,1999,9,Insignificant Layman,High,M512011,x
558002,Head of Government,MustaPa an-Nahhas Pasha,1936,1964,1999,9,Flamboyant Tough Guy,High,M512005,x
558003,Foreign Minister,Ali Mahir Pasha,1936,1964,1999,9,Great Compromiser,High,M512002,x
558004,Minister of Armament,Muhammad Mahmoud Pasha,1936,1964,1999,9,Resource Industrialist,High,M512017,x
558005,Minister of Security,Romarcos Hanna Pasha,1936,1964,1999,9,Crime Fighter,Medium,M512064,x
558006,Head of Military Intelligence,Mohammed Hilmi Issa,1936,1964,1999,9,Dismal Enigma,Medium,M512006,x
558007,Chief of Staff,Hassan Sabry Pasha,1936,1964,1999,9,School of Defence,Medium,M512007,x
558008,Chief of Army,Mohammed Naguib,1936,1964,1999,9,Decisive Battle Doctrine,High,M512088,x
558009,Chief of Navy,Abdallah Ziwar Pasha,1936,1964,1999,9,Indirect Approach Doctrine,Medium,M512009,x
558010,Chief of Air Force,Abdelhamid Soliman,1936,1964,1999,9,Air Superiority Doctrine,Medium,M512048,x
558011,Head of State,Emile Eddeh,1936,1964,1999,8,Pig-headed Isolationist,High,M529001,x
558012,Head of State,M.M. Abdullah I,1936,1964,1999,3,Autocratic Charmer,High,M556001,x
558013,Head of Government,Kayreddin al-Ahdab,1936,1964,1999,8,Naive Optimist,High,M529006,x
558014,Head of Government,Ismael Bey Gaspirali,1936,1964,1999,3,Silent Workhorse,High,M556013,x
558015,Foreign Minister,Abdallah Aref al-Yafi,1936,1964,1999,8,General Staffer,High,M529003,x
558016,Foreign Minister,Samir al-RiPai,1936,1964,1999,3,Apologetic Clerk,High,M556003,x
558017,Minister of Armament,Kayreddin al-Ahdab,1936,1964,1999,8,laissez-faire capitalist,Medium,M529006,x
558018,Minister of Armament,Ahmad Qadri,1936,1964,1999,3,Military Entrepreneur,Medium,M556017,x
558019,Minister of Security,Nassim Majdalany,1936,1964,1999,8,ComPassionate Gentleman,Medium,M529039,x
558020,Minister of Security,Awni Abdul Hadi,1936,1964,1999,3,Silent Lawyer,Medium,M556020,x
558021,Head of Military Intelligence,Kayreddin al-Ahdab,1936,1964,1999,8,Technical Specialist,Medium,M529006,x
558022,Head of Military Intelligence,Rustum Haidar,1936,1964,1999,3,Political Specialist,Medium,M556025,x
558023,Chief of Staff,Antoine Harb,1936,1964,1999,8,School of Mass Combat,Medium,M529052,x
558024,Chief of Staff,Haddad al-Wali,1936,1964,1999,3,School of Psychology,Medium,M556028,x
558025,Chief of Army,Jamil Lahoud,1936,1964,1999,8,Armoured Spearhead Doctrine,Medium,M529055,x
558026,Chief of Army,Nair al-JaPaar,1936,1964,1999,3,Guns and Butter Doctrine,Medium,M556031,x
558027,Chief of Navy,Nabil Jad,1936,1964,1999,8,Open Seas Doctrine,Medium,M529059,x
558028,Chief of Navy,Hibah abd-el Adir,1936,1964,1999,3,Decisive Naval Battle Doctrine,Medium,M556034,x
558029,Chief of Air Force,Slimane NaouPai,1936,1964,1999,8,Army Aviation Doctrine,Medium,M529045,x
558030,Chief of Air Force,Sami al-Afiz,1936,1964,1999,3,Vertical Envelopment Doctrine,Medium,M556035,x
