ARM,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
515001,Head of State,Andranik Toros Ozanian,1936,1964,1999,8,Stern Imperialist,High,kaiserreich aozanian,x
515002,Head of Government,Andranik Toros Ozanian,1936,1964,1999,8,Old General,High,kaiserreich aozanian,x
515003,Foreign Minister,Boghas Nubar Pasha,1936,1964,1999,8,Ideological Crusader,High,M515003,x
515004,Minister of Armament,Hagop Andonian,1936,1964,1999,8,Military Entrepreneur,Medium,M515004,x
515005,Minister of Security,Karek Pastermadjan,1936,1964,1999,8,Prince of Terror,Medium,M515005,x
515006,Head of Military Intelligence,Jack Agazarian,1936,1964,1999,7,Dismal Enigma,Medium,M515006,x
515007,Chief of Army,Antranig Osanian,1936,1964,1999,8,Guns and Butter Doctrine,Medium,M515008,x
515008,Foreign Minister,Berch Keresteciyan,1936,1964,1999,7,Great Compromiser,High,M515011,x
515009,Foreign Minister,Jivan Hamparsumian,1936,1964,1999,8,The Cloak N Dagger Schemer,High,M515012,x
515010,Foreign Minister,Father Romanos,1936,1964,1999,9,Iron Fisted Brute,High,M515013,x
515011,Minister of Armament,Berch Keresteciyan,1936,1964,1999,7,Administrative Genius,Medium,M515011,x
515012,Minister of Armament,Arshag K. Schmavonian,1936,1964,1999,9,Resource Industrialist,Medium,M515015,x
515013,Minister of Armament,Dikran Arafian,1936,1964,1999,8,laissez-faire capitalist,Medium,M515016,x
515014,Minister of Security,Garegin Nzdek,1936,1964,1999,9,Efficient Sociopath,Medium,M515017,x
515015,Minister of Security,Father Hovhannes,1936,1964,1999,9,Crime Fighter,Medium,M515018,x
515016,Minister of Security,Aram Andonian,1936,1964,1999,8,Compassionate Gentleman,Medium,M515019,x
515017,Minister of Security,Patriarch Lalazar,1936,1964,1999,7,Man of the People,Medium,M515020,x
515018,Head of Military Intelligence,Khint Osebian,1936,1964,1999,9,Industrial Specialist,Medium,M515021,x
515019,Head of Military Intelligence,Vartan Sharents,1936,1964,1999,7,Technical Specialist,Medium,M515022,x
515020,Head of Military Intelligence,Father Christapor,1936,1964,1999,8,Logistics Specialist,Medium,M515023,x
515021,Chief of Army,Misak Babajanian,1936,1964,1999,8,Armoured Spearhead Doctrine,Medium,M515024,x
515022,Chief of Army,Drastamat Kanyan,1936,1964,1999,9,Elastic Defence Doctrine,Medium,M515025,x
515023,Chief of Navy,Berj Isahakian,1936,1964,1999,8,Decisive Naval Battle Doctrine,Medium,M515026,x
515024,Chief of Air Force,Garabed Arafian,1936,1964,1999,7,Vertical Envelopment Doctrine,Medium,M515027,x
515025,Chief of Air Force,Sarkis Petrikian,1936,1964,1999,8,Air Superiority Doctrine,Medium,M515028,x
515026,Chief of Staff,Misak Babajanian,1936,1964,1999,8,School of Mass Combat,Medium,M515024,x
515027,Head of State,Drastamat Kanayan,1936,1964,1999,8,Powerhungry demagogue,Medium,Kaiserreich_Kanayan,x
515028,Head of Government,Garegin Nzdek,1936,1964,1999,9,Backroom Backstabber,Medium,M515017,x
515029,Head of State,Anastas Mikoyan,1936,1964,1999,1,Die-hard Reformer,High,kai_anstmki,x
515030,Head of Government,Semeno Ter-Petrossian,1936,1964,1999,1,Silent Workhorse,High,kai_smntrkm,x
515031,Head of State,Mehmed Esad Pasha,1936,1964,1999,8,Resigned Generalissimo,High,kai_Mehmed EsadPasha,x
515032,Head of Government,Mehmed Wehib Pasha,1936,1964,1999,8,Old General,High,kai_MehmedwehibPasha,x
515033,Head of Government,Avetis Aharonyan,1936,1964,1999,5,Corporate Suit,High,ARMAha,x
515034,Foreign Minister,Alexander Khatisyan,1936,1964,1999,5,Great Compromiser,High,ARMAle,x
515035,Minister of Armament,Calouste Gulbenkian,1936,1964,1999,5,Administrative Genius,High,ARMCal,x
515036,Minister of Armament,Arshag Karagheusian,1936,1964,1999,4,Resource Industrialist,High,ARMKar,x
515037,Head of State,Simon Vratsian,1936,1964,1999,3,Die-hard Reformer,High,ARMVra,x
515038,Minister of Security,Arshag Tchobanian,1936,1964,1999,5,Compassionate Gentleman,High,ARMArs,x
515039,Chief of Army,Christophor Araratov,1936,1964,1999,4,Decisive Battle Doctrine,High,ARMAra,x
515040,Chief of Staff,Christophor Araratov,1936,1964,1999,4,School of Mass Combat,High,ARMAra,x
515041,Chief of Staff,Movses Silikyan,1936,1964,1999,6,School of Manoeuvre,High,ARMMov,x
515042,Head of Military Intelligence,Nikol Aghbalian,1936,1964,1999,6,Political Specialist,High,ARMNik,x
