AZB,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
516001,Head of State,Nizham Narimanov,1936,1964,1999,2,Stern Imperialist,High,M516001,X
516002,Head of Government,Faraz Guzeinov,1936,1964,1999,2,Backroom Backstabber,High,M516002,X
516003,Foreign Minister,Suleyman Rustam,1936,1964,1999,2,The Cloak N Dagger Schemer,High,M516003,X
516004,Minister of Armament,Ilyas Afandiev,1936,1964,1999,2,Theoretical Scientist,Medium,M516004,X
516005,Minister of Security,Arash Bulbul,1936,1964,1999,2,Compassionate Gentleman,Medium,M516005,X
516006,Head of Military Intelligence,Rasul Reza,1936,1964,1999,2,Industrial Specialist,Medium,M516006,X
516007,Chief of Staff,Mahmud Nuri Berköz,1936,1964,1999,2,School of Mass Combat,Medium,M516007,X
516008,Chief of Army,Khalil Mamedov,1936,1964,1999,2,Elastic Defence Doctrine,Medium,M516008,X
516009,Chief of Navy,Kambiz Krasnoshapka,1936,1964,1999,2,Open Seas Doctrine,High,M516009,X
516010,Chief of Air Force,Gurgen Voskan Kamalyan,1936,1964,1999,2,Air Superiority Doctrine,Medium,M516010,X
516011,Head of State,Rajib Kulbenzhian,1936,1964,1999,5,Barking Buffoon,High,M516011,X
516012,Head of Government,Fatali Khan Khoyski,1936,1964,1999,5,Smiling Oilman,Very High,M516003,X
516013,Head of Government,Arash Bulbul,1936,1964,1999,5,Flamboyant Tough Guy,Medium,M516005,X
516014,Foreign Minister,Khaslatam Narimanov,1936,1964,1999,2,General Staffer,High,M516014,X
516015,Foreign Minister,Mammad Amin Rasulzade,1936,1964,1999,6,Biased Intellectual,High,AZB_Rasulzade,X
516038,Head of State,Mammad Amin Rasulzade,1936,1970,1999,6,Stern Imperialist,Very High,AZB_Rasulzade,X
516039,Head of Government,Nasib Yusifbeyli,1936,1970,1999,6,Silent Workhorse,Very High,AZB_Yusifbeyli,X
516040,Foreign Minister,Mammad Yusif Jafarov,1936,1970,1999,6,Apologetic Clerk,Very High,AZB_Jafarov,X
516041,Minister of Armament,Abdulali bey Amirjanov,1936,1970,1999,6,Industrialiser,Very High,AZB_Amirjanov,X
516042,Minister of Security,Behbud Khan Javanshir,1936,1970,1999,6,Prince of Terror,Very High,AZB_Javanshir,X
516043,Head of Military Intelligence,Mammad Hasan Hajinski,1936,1970,1999,6,Political Specialist,Very High,AZB_Hajinski,X
516044,Chief of Staff,Ali-Agha Shikhlinski,1936,1970,1999,7,School of Defence,Very High,AZB_Shikhlinski,X
516045,Chief of Army,Sadykh bey Aghabeyov,1936,1970,1999,6,Static Defence Doctrine,High,AZB_Aghabeyov,X
516046,Chief of Navy,Khosrov bey Sultanov,1936,1970,1999,6,Base Control Doctrine,Very High,AZB_Sultanov,X
516047,Chief of Air Force,Ibrahim bey Usubov,1936,1970,1999,6,Air Superiority Doctrine,Very High,AZB_Usobov,X
516048,Head of State,Ali-Agha Shikhlinski,1936,1970,1999,7,Resigned Generalissimo,Very High,AZB_Shikhlinski,X
516049,Head of Government,Ali-Agha Shikhlinski,1936,1970,1999,7,Old General,Very High,AZB_Shikhlinski,X
516016,Foreign Minister,Arash Bulbul,1936,1964,1999,3,Great Compromiser,Medium,M516005,X
516017,Foreign Minister,Mahammad Rahman,1936,1964,1999,5,Iron Fisted Brute,Medium,M516017,X
516018,Minister of Armament,Mehdi Husein,1936,1964,1999,2,Tank Proponent,Medium,M516018,X
516019,Minister of Armament,dr. Mahmood Ghasbalatam,1936,1964,1999,2,Laissez-Faire Capitalist,Medium,M516019,X
516020,Minister of Armament,Amin Aziz,1936,1964,1999,2,Infantry Proponent,Medium,M516020,X
516021,Minister of Armament,Rajib Kulbenzhian,1936,1964,1999,3,Corrupt Kleptocrat,High,M516011,X
516022,Minister of Armament,Ismayl Shikhali,1936,1964,1999,5,Military Entrepreneur,High,M516022,X
516023,Minister of Security,Nigar Rafibelyi,1936,1964,1999,2,Crime Fighter,Medium,M516023,X
516024,Minister of Security,Sabat Rahman,1936,1964,1999,2,Silent Lawyer,Medium,M516024,X
516025,Minister of Security,Rasul Reza,1936,1964,1999,3,Man of the People,Medium,M516006,X
516026,Minister of Security,Mirza Ibrahimov,1936,1964,1999,5,Back Stabber,Medium,M516026,X
516027,Head of Military Intelligence,Nariman Narimanov,1936,1964,1999,2,Naval Intelligence Specialist,Medium,M516027,X
516028,Head of Military Intelligence,Soultanov Khosrov Ebk,1936,1964,1999,3,Logistics Specialist,Medium,M516028,X
516029,Head of Military Intelligence,Rahmud Azizbayob,1936,1964,1999,5,Dismal Enigma,Medium,M516029,X
516030,Chief of Staff,Samed Bey Mehmandarov,1936,1964,1999,3,School of Defence,Medium,M516030,X
516031,Chief of Staff,Khalil Mamedov,1936,1964,1999,5,School of Fire Support,Medium,M516008,X
516032,Chief of Army,Mahmud Nuri Berköz,1936,1964,1999,3,Elastic Defence Doctrine,Medium,M516007,X
516033,Chief of Army,Soureb Hakop Gasparyan,1936,1964,1999,5,Armoured Spearhead Doctrine,Medium,M516033,X
516034,Chief of Navy,Samed Bey Mehmandarov,1936,1964,1999,3,Base Control Doctrine,High,M516030,X
516035,Chief of Navy,Ysmail Makhov,1936,1964,1999,5,Indirect Approach Doctrine,High,M516035,X
516036,Chief of Air Force,Kambiz Krasnoshapka,1936,1964,1999,3,Naval Aviation Doctrine,High,M516009,X
516037,Chief of Air Force,Andronik Abram Kazaryan,1936,1964,1999,5,Army Aviation Doctrine,High,M516037,X
