BLR,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
517001,Head of State,S.K.M. Vladimir I,1936,1964,1999,7,german aristocrat,High,kaiserreich VladimirH,x
517002,Head of Government,Aleksiy A. Volkov,1936,1964,1999,1,Naive Optimist,High,M517002,x
517003,Foreign Minister,Nikolay I. Gusarov,1936,1964,1999,1,Great Compromiser,High,M517003,x
517004,Minister of Armament,Aleksander Osatkin-Vladimirsky,1936,1964,1999,1,Infantry Proponent,Medium,M517004,x
517005,Minister of Security,Sigismund von Hohenzollern,1936,1964,1999,8,Prince of Terror,Medium,kaiserreich SigismundH,x
517006,Head of Military Intelligence,Yazip Losik,1936,1964,1999,1,Naval Intelligence Specialist,Medium,M517006,x
517007,Chief of Staff,Serafim Pokrovski,1936,1964,1999,1,School of Psychology,Medium,M517007,x
517008,Chief of Army,Pavel Ponomarenko,1936,1964,1999,1,Armoured Spearhead Doctrine,Medium,M517008,x
517009,Chief of Navy,Valerik Lesik,1936,1964,1999,1,Indirect Approach Doctrine,Medium,M517009,x
517010,Chief of Air Force,Vladimir I. Cheryakov,1936,1964,1999,1,Carpet Bombing Doctrine,Medium,M517010,x
517011,Head of State,Yazip Losik,1936,1964,1999,3,Weary Stiffneck,High,M517006,x
517013,Head of State,Vasily Zakharka,1936,1964,1999,7,Autocratic Charmer,High,KR_Zakharka,x
517014,Head of Government,Vasily Zakharka,1936,1964,1999,7,Happy Amateur,High,KR_Zakharka,x
517016,Head of Government,Vasil Zacharka,1936,1964,1999,6,Corporate Suit,High,KR_Zakharka,x
517017,Foreign Minister,Iosif Voronko,1936,1964,1999,7,Ideological Crusader,High,KR_Voronko,x
517019,Foreign Minister,Vatslav Lastovsky,1936,1964,1999,8,Ideological Crusader,High,KR_Lastovsky,x
517021,Foreign Minister,Veniamin Novitski,1936,1964,1999,6,Apologetic Clerk,High,M517021,x
517024,Minister of Armament,Mikhail Bonch-Bruevich,1936,1964,1999,3,Tank Proponent,Medium,M517025,x
517025,Minister of Armament,Arkady Smolich,1936,1964,1999,7,Resource Industrialist,Medium,KR_Smolich,x
517026,Minister of Armament,Leonard Zayats,1936,1964,1999,7,Infantry Proponent,Medium,KR_LZayats,x
517029,Minister of Security,Aleksandr I. Krivitsky,1936,1964,1999,1,Compassionate Gentleman,Medium,M517029,x
517030,Minister of Security,Nikolay F. Gikalo,1936,1964,1999,1,Back Stabber,Medium,M517030,x
517031,Minister of Security,Mikhail Bonch-Bruevich,1936,1964,1999,1,Man of the People,Medium,M517025,x
517032,Minister of Security,Yan Sereda,1936,1964,1999,7,Crime Fighter,Medium,KR_Sereda,x
517033,Minister of Security,Anton Ovsyanik,1936,1964,1999,7,Efficient Sociopath,Medium,KR_Ovsyanik,x
517036,Head of Military Intelligence,Panteleion Ponomarenko,1936,1964,1999,1,Industrial Specialist,Medium,M517036,x
517037,Head of Military Intelligence,Aleksandr I. Krivitsky,1936,1964,1999,3,Political Specialist,Medium,M517029,x
517039,Head of Military Intelligence,Iuri Shurevich,1936,1964,1999,6,Technical Specialist,Medium,M517022,x
517040,Head of Military Intelligence,Mikhail Bonch-Bruevich,1936,1964,1999,9,Technical Specialist,Medium,M517025,x
517041,Head of Military Intelligence,Yurij B. Gamarnik,1936,1964,1999,9,Political Specialist,Medium,M517005,x
517042,Head of Military Intelligence,Vatslav Ivanovsky,1936,1964,1999,8,Logistics Specialist,Medium,KR_Ivanonsky,x
517043,Chief of Staff,S.K.M. Vladimir I,1936,1964,1999,7,School of Fire Support,Medium,kaiserreich VladimirH,x
517045,Chief of Staff,Konstantin Ezavitov,1936,1964,1999,9,School of Defence,Medium,KR_Ezavitov,x
517050,Chief of Navy,Friedrich Wilhelm Kurzr,1936,1964,1999,7,Open Seas Doctrine,Medium,M517050,x
517052,Chief of Air Force,Nikolay F. Gikalo,1936,1964,1999,3,Army Aviation Doctrine,Medium,M517030,x
517054,Chief of Air Force,Hans Baur,1936,1964,1999,7,Air Superiority Doctrine,Medium,M517054,x
517055,Head of State,S.K.M. Sigismund I,1936,1964,1999,8,ruthless dictator,Medium,kaiserreich SigismundH,x
517056,Head of Government,Panteleimon Rozhnovsky,1936,1964,1999,8,Backroom Backstabber,High,M517018,x
517057,Minister of Armament,Pavel O. Sukhi,1939,1964,1999,7,Air Superiority Proponent,High,Pavel_Sukhi,x
517058,Chief of Air Force,Pavel O. Sukhi,1936,1964,1999,7,Air Superiority Doctrine,High,Pavel_Sukhi,x
517060,Head of State,The Tsar Of All Russians,1936,1964,1999,6,Popular Figurehead,High,Mrus Tsar,x
517061,Head of State,The Tsar Of All Russians,1936,1964,1999,7,Popular Figurehead,High,Mrus Tsar,x
517062,Head of State,Under Russian protectorate,1936,1964,1999,7,Weary Stiffneck,High,rusprotectorate,x
517063,Head of State,Under Russian protectorate,1936,1964,1999,6,Weary Stiffneck,High,rusprotectorate,x
971264,Head of State,Stanislav Bulak-Balakhovich,1936,1964,1999,7,Weary Stiffneck,High,BlrBalahovich,x
971265,Head of Government,Stanislav Bulak-Balakhovich,1936,1964,1999,6,old general,Very High,BlrBalahovich,x
971266,Head of Government,Stanislav Bulak-Balakhovich,1936,1964,1999,7,old general,Very High,BlrBalahovich,x
971267,Chief of Army,Stanislav Bulak-Balakhovich,1936,1964,1999,7,Static Defence Doctrine,Medium,BlrBalahovich,x
971268,Head of State,Branislav Taraskevic,1936,1964,1999,1,Weary Stiffneck,High,kai_Tarashkievich,x
971269,Head of State,Siarhiej Prytycki,1936,1964,1999,1,syndicalist demagogue,High,kai_Prytytski,x
971270,Head of State,Yan Gamarnik,1936,1964,1999,0,totalist president,High,kai_Gamarnik,x
