BOL,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
43001,Head of State,Jose Tejada Sorzano,1936,1964,1999,4,Weary Stiffneck,Low,M43001,x
43002,Head of Government,Jose Tejada Sorzano,1936,1964,1999,4,Smiling Oilman,Low,M43001,x
43003,Foreign Minister,José Maria Gutierrez,1936,1964,1999,4,Iron Fisted Brute,High,M43003,x
43004,Minister of Armament,Moritz Hochschild,1936,1964,1999,4,Laissez-Faire Capitalist,Medium,M43004,x
43005,Minister of Security,José Santos Quinteros,1936,1964,1999,4,Compassionate Gentleman,High,M43005,x
43006,Head of Military Intelligence,Carlos Altamirano,1936,1964,1999,4,Dismal Enigma,Medium,M43006,x
43007,Chief of Staff,Gualberto Villarroel Lopez,1936,1964,1999,8,School of Fire Support,Very Low,M43007,x
43008,Chief of Army,Hans Kundt,1936,1964,1999,4,Decisive Battle Doctrine,Medium,M43008,x
43009,Chief of Navy,Gil Ibarra Juarez,1936,1964,1999,4,Indirect Approach Doctrine,Medium,M43009,x
43010,Chief of Air Force,Bernardino Bilbao Rioja,1936,1964,1999,8,Army Aviation Doctrine,Medium,M43010,x
 ,Replacements,,,,,,,,,x
43031,Head of State,Enrique Finot,1936,1964,1999,3,Pig-headed Isolationist,High,M43031,x
43032,Head of State,German Busch Beccera,1937,1964,1999,3,Popular Figurehead,High,M43032,x
43033,Head of State,Rafael Franco Rafél,1936,1964,1999,4,Benevolent Gentleman,High,M43033,x
43034,Head of State,Waldo Belmonte Pool,1938,1964,1999,4,Insignificant Layman,High,M43034,x
43035,Head of State,Néstor Guillén Olmos,1944,1964,1999,6,Autocratic Charmer,High,M43035,x
43036,Head of State,Abadon Saavedra Mallea,1936,1964,1999,6,Stern Imperialist,High,M43036,x
43037,Head of State,Carlos Quintanilla Quiroga,1938,1964,1999,6,Resigned Generalissimo,High,M43037,x
43038,Head of State,Simon I. Patino,1940,1964,1999,6,Powerhungry Demagogue,High,M43038,x
43039,Head of State,Tomas Monje Gutierrez,1945,1964,1999,4,Ruthless Powermonger,High,M43039,x
43040,Head of State,Eusebio Ayala,1936,1964,1999,2,Barking Buffoon,High,M43040,x
43041,Head of State,Gualberto Villarroel Lopez,1936,1964,1999,8,Resigned Generalissimo,High,M43007,x
43042,Head of State,Victor Paz Estenssorro,1946,1964,1999,3,Powerhungry Demagogue,High,M43042,x
43043,Head of State,Guillermo Lora,1936,1964,1999,1,Insignificant Layman,High,M43021,x
43044,Head of State,Daniel Sanchez Bustamante,1936,1964,1999,0,Autocratic Charmer,High,M43023,x
43045,Head of State,Enrique Penaranda del Castillo,1939,1964,1999,7,Stern Imperialist,High,BOL_enrique_penaranda,x
43046,Head of State,German Butron,1936,1964,1999,8,Resigned Generalissimo,High,M43011,x
43047,Head of State,Edwin Möller,1944,1964,1999,8,Popular Figurehead,High,M43015,x
43048,Head of Government,David Toro Ruilova,1936,1964,1999,6,Old General,High,M43048,x
43049,Head of Government,German Busch Beccera,1937,1964,1999,3,Naive Optimist,High,M43032,x
43050,Head of Government,Abadon Saavedra Mallea,1936,1964,1999,6,Flamboyant Tough Guy,High,M43036,x
43051,Head of Government,Carlos Quintanilla Quiroga,1938,1964,1999,6,Old General,High,M43037,x
43052,Head of Government,Simon I. Patino,1940,1964,1999,6,Corporate Suit,High,M43038,x
43053,Head of Government,Enrique Hertzog Garaizabal,1945,1964,1999,6,Silent Workhorse,High,BOL_enrique_hertzog,x
43054,Head of Government,Rafael Franco Rafél,1936,1964,1999,2,Naive Optimist,High,M43033,x
43055,Head of Government,Waldo Belmonte Pool,1939,1964,1999,4,Happy Amateur,High,M43034,x
43056,Head of Government,Julian Montellano Carrasco,1944,1964,1999,4,Political Protege,High,M43056,x
43057,Head of Government,Eusebio Ayala,1936,1964,1999,2,Ambitious Union Boss,High,M43040,x
43058,Head of Government,Gualberto Villarroel Lopez,1936,1964,1999,8,Old General,High,M43007,x
43059,Head of Government,Victor Paz Estenssorro,1936,1964,1999,2,Corporate Suit,High,M43042,x
43060,Head of Government,Guillermo Lora,1936,1964,1999,1,Happy Amateur,High,M43021,x
43061,Head of Government,Daniel Sanchez Bustamante,1936,1964,1999,0,Political Protege,High,M43023,x
43062,Head of Government,Enrique Pe?aranda del Castillo,1939,1964,1999,7,Flamboyant Tough Guy,High,BOL_enrique_penaranda,x
43063,Head of Government,Jorge Patinos,1943,1964,1999,7,Corporate Suit,High,M43063,x
