BRA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
34399,Head of State,Artur da Silva Bernardes,1936,1964,1999,6,Insignificant Layman,High,Kaiserreich Artur da Silva Bernardes,x
39999,Head of Government,Fernando de Melo Viana,1936,1964,1999,6,Backroom Backstabber,High,Kaiserreich Fernando de Melo Viana,X
34081,Foreign Minister,Otavio Mangabeira,1936,1964,1999,3,Great Compromiser,High,M34033,x
34107,Minister of Armament,Washington Luis Pereira,1936,1964,1999,6,Administrative Genius,Low,M34066,x
34116,Minister of Security,Mario de Pimentel Brandão,1936,1964,1999,3,Crooked Kleptocrat,High,M34080,x
34143,Head of Military Intelligence,Rodrigo Octavio,1936,1964,1999,5,Political Specialist,High,M34143,x
34153,Chief of Staff,Henrique Teixeira Lott,1936,1964,1999,2,School of Fire Support,Medium,M34027,x
34172,Chief of Army,Goes Monteiro,1936,1964,1999,6,Guns and Butter Doctrine,High,M34018,x
34180,Chief of Navy,Jorge Dodsworth Martins,1936,1964,1999,5,Base Control Doctrine,Medium,M34029,x
34193,Chief of Air Force,Mourão Filho,1936,1964,1999,8,Carpet Bombing Doctrine,Very High,M34050,x
,Replacements,,,,,,,,,x
34194,Head of State,Plinio Salgado,1936,1964,1999,9,powerhungry demagogue,High,kaiserreich Pliniosalgado,x
34195,Head of State,Miguel Reale,1950,1964,1999,9,Stern Imperialist,medium,BRA_Miguel_Reale,x
34196,Head of State,Euclides Figueiredo,1936,1964,1999,9,Autocratic Charmer,Medium,Euclides_Figueiredo,x
34197,Head of State,Getulio Vargas,1936,1964,1999,7,Autocratic Charmer,High,M34001,x
34198,Head of State,Eurico Gaspar Dutra,1936,1964,1999,7,Weary Stiffneck,High,M34011,x
34199,Head of State,Carlos de Lima Cavalcanti,1936,1964,1999,7,Ruthless Powermonger,Medium,BRA_Carlos_de_Lima_Cavalcanti,x
34200,Head of State,Washington Luis Pereira,1943,1964,1999,6,Insignificant Layman,High,M34066,x
34201,Head of State,Olímpio de Melo,1936,1964,1999,6,Weary Stiffneck,High,Kaiserreich Olímpio de Melo,X
34202,Head of State,Fernando de Melo Viana,1936,1964,1999,6,Barking Buffoon,High,Kaiserreich Fernando de Melo Viana,X
34203,Head of State,Eduardo Gomes,1937,1964,1999,5,Stern Imperialist,High,M34021,x
34204,Head of State,Júlio Prestes,1936,1964,1999,5,Pig-headed Isolationist,Medium,Julio_Prestes,x
34205,Head of State,Ernesto Dornelles,1943,1964,1999,4,Resigned Generalissimo,Medium,Ernesto_Dornelles,x
34206,Head of State,Borges de Medeiros,1936,1964,1999,4,Die-hard Reformer,Medium,Borges_de_Medeiros,x
34207,Head of State,Ildo Meneghetti,1936,1964,1999,3,Benevolent Gentleman,Medium,Ildo_Meneghetti,x
34208,Head of State,Luis Carlos Prestes,1936,1964,1999,2,reformist soldierHoS,High,BRA_Luis_Carlos_Prestes,x
34209,Head of State,Edgard Leuenroth,1936,1964,1999,2,Stern Imperialist,Medium,BRA_Edgard_Leuenroth,x
34210,Head of State,Lauro Reginaldo da Rocha,1948,1964,1999,1,Die-hard Reformer,Medium,BRA_Lauro_Reginaldo_da_Rocha,x
34211,Head of State,Minervino de Oliveira,1936,1964,1999,1,Benevolent Gentleman,Medium,BRA_Minervino_de_Oliveira,x
34212,Head of State,Astrojildo Pereira,1936,1964,1999,1,Popular Figurehead,High,Kaiserreich Astrojildo Pereira,x
34213,Head of Government,Gustavo Barroso,1936,1964,1999,9,Political Protege,medium,BRA_Gustavo_Barroso,x
34214,Head of Government,Plinio Salgado,1936,1964,1999,9,Backroom Backstabber,High,kaiserreich Pliniosalgado,x
34215,Head of Government,Euclides Figueiredo,1936,1964,1999,9,Old General,medium,Euclides_Figueiredo,x
34216,Head of Government,Monteiro Lobato,1945,1964,1999,8,Smiling Oilman,medium,BRA_Monteiro_Lobato,x
34217,Head of Government,Getulio Vargas,1936,1964,1999,7,Naive Optimist,High,M34001,x
34218,Head of Government,Altino Arantes,1936,1964,1999,7,Naive Optimist,Medium,Altino_Arantes,x
34219,Head of Government,João Pessoa,1936,1964,1999,7,Political Protege,medium,BRA_Joao_Pessoa,x
34220,Head of Government,Carlos de Lima Cavalcanti,1936,1964,1999,7,Flamboyant Tough Guy,Medium,BRA_Carlos_de_Lima_Cavalcanti,x
34221,Head of Government,Miguel Costa,1936,1964,1999,7,Old General,medium,BRA_Miguel_Costa,x
34222,Head of Government,Eurico Gaspar Dutra,1936,1964,1999,7,Old General,High,M34011,x
34223,Head of Government,Washington Luis Pereira,1943,1964,1999,6,Naive Optimist,High,M34066,x
34224,Head of Government,Artur da Silva Bernardes,1936,1964,1999,6,Corporate Suit,High,Kaiserreich Artur da Silva Bernardes,x
34225,Head of Government,Olímpio de Melo,1936,1964,1999,6,Happy Amateur,High,Kaiserreich Olímpio de Melo,X
34226,Head of Government,Eduardo Gomes,1937,1964,1999,5,Flamboyant Tough Guy,High,M34021,x
34227,Head of Government,Júlio Prestes,1936,1964,1999,5,Flamboyant Tough Guy,Medium,Julio_Prestes,x
34228,Head of Government,Prestes Maia,1936,1964,1999,5,Backroom Backstabber,Medium,Prestes_Maia,x
34229,Head of Government,Borges de Medeiros,1936,1964,1999,4,Silent Workhorse,Medium,Borges_de_Medeiros,x
34230,Head of Government,Ernâni do Amaral Peixoto,1936,1964,1999,3,Old Admiral,Medium,BRA_Ernani_do_Amaral_Peixoto,x
34231,Head of Government,Hélio Carlomagno,1936,1964,1999,3,Ambitious Union Boss,Medium,Helio_Carlomagno,x
34232,Head of Government,Luis Carlos Prestes,1936,1964,1999,2,reformist soldierHoG,High,BRA_Luis_Carlos_Prestes,x
34233,Head of Government,João da Costa Pimenta,1936,1964,1999,2,Ambitious Union Boss,Medium,BRA_Joao_da_Costa_Pimenta,x
34234,Head of Government,Isidoro Dias Lopes,1936,1964,1999,2,Old General,Medium,BRA_Isidoro_Dias_Lopes,x
34235,Head of Government,Astrojildo Pereira,1936,1964,1999,1,Ambitious Union Boss,High,Kaiserreich Astrojildo Pereira,x
34236,Head of Government,Lívio Xavier,1936,1964,1999,1,Naive Optimist,Medium,BRA_Livio_Xavier,x
34237,Foreign Minister,Belisário Penna,1936,1964,1999,9,Iron Fisted Brute,medium,BRA_Belisario_Penna,x
34238,Foreign Minister,Plinio Salgado,1936,1964,1999,9,Apologetic Clerk,Very High,kaiserreich Pliniosalgado,x
34239,Foreign Minister,Gustavo Barroso,1936,1964,1999,9,Biased Intellectual,medium,BRA_Gustavo_Barroso,x
34240,Foreign Minister,Luís da Câmara Cascudo,1936,1964,1999,8,Ideological Crusader,medium,BRA_Luis_da_Camara_Cascudo,x
34241,Foreign Minister,Pedro Leão Veloso,1944,1964,1999,7,Great Compromiser,Medium,M34077,x
34242,Foreign Minister,José Maria Whitaker,1936,1964,1999,7,Great Compromiser,Medium,Whitaker,x
34243,Foreign Minister,Augusto Frederico Schmidt,1946,1964,1999,7,Great Compromiser,medium,BRA_Augusto_Frederico_Schmidt,x
34244,Foreign Minister,Newton Cavalcanti,1944,1964,1999,7,General Staffer,Medium,M34047,x
34245,Foreign Minister,Raul Fernandes,1936,1964,1999,6,Great Compromiser,Medium,M34013,x
34246,Foreign Minister,Plínio Barreto,1936,1964,1999,6,Biased Intellectual,Medium,Barreto,x
34247,Foreign Minister,Afrânio de Mello Franco,1939,1964,1999,6,Great Compromiser,High,M34083,x
34248,Foreign Minister,Oswaldo Aranha,1938,1964,1999,6,Biased Intellectual,Medium,M34076,x
34249,Foreign Minister,Samuel Leão Gracíe,1946,1964,1999,6,Biased Intellectual,High,M34087,x
34250,Foreign Minister,Raul Fernandes,1947,1964,1999,6,Great Compromiser,High,M34013,x
34251,Foreign Minister,Joao Neves da Fontoura,1945,1964,1999,6,General Staffer,High,M34008,x
34252,Foreign Minister,Oscar Weinschenck,1936,1964,1999,6,The Cloak N Dagger Schemer,High,M34079,x
34253,Foreign Minister,José de Macedo Soares,1936,1964,1999,6,Iron Fisted Brute,Medium,M34003,x
34254,Foreign Minister,Acyr do Nascimento Paes,1943,1964,1999,5,Biased Intellectual,Low,M34084,x
34255,Foreign Minister,Mario de Pimentel Brandão,1937,1964,1999,3,The Cloak N Dagger Schemer,High,M34080,x
34256,Foreign Minister,Júlio de Mesquita Filho,1936,1964,1999,3,Biased Intellectual,Medium,Julio_de_Mesquita_Filho,x
34257,Foreign Minister,Benjamim Mota,1936,1964,1999,3,Apologetic Clerk,medium,unknown,x
34258,Foreign Minister,Ernâni do Amaral Peixoto,1936,1964,1999,3,Ideological Crusader,Medium,BRA_Ernani_do_Amaral_Peixoto,x
34259,Foreign Minister,Walter Só Jobim,1936,1964,1999,2,Iron Fisted Brute,Medium,Valter_So_Jobim,x
34260,Foreign Minister,Antônio Candeias Duarte,1936,1964,1999,2,The Cloak N Dagger Schemer,Medium,unknown,x
34261,Foreign Minister,Reinaldo Ramos,1936,1964,1999,2,General Staffer,Medium,Reinaldo_Ramos,x
34262,Foreign Minister,Isidoro Dias Lopes,1936,1964,1999,2,General Staffer,Medium,BRA_Isidoro_Dias_Lopes,x
34263,Foreign Minister,Heitor Ferreira Lima,1936,1964,1999,2,Iron Fisted Brute,medium,BRA_Heitor_Ferreira_Lima,x
34264,Foreign Minister,Patrícia Galvão,1950,1964,1999,2,Ideological Crusader,medium,BRA_Patricia_Galvao,x
34265,Foreign Minister,Avelino Fóscolo,1936,1964,1999,2,Great Compromiser,medium,BRA_Avelino_Foscolo,x
34266,Foreign Minister,Cristiano Cordeiro,1936,1964,1999,1,Great Compromiser,Medium,BRA_Cristiano_Cordeiro,x
34267,Foreign Minister,Artur Campagnolli,1936,1964,1999,1,Biased Intellectual,Medium,unknown,x
34268,Foreign Minister,Abílio de Nequete,1936,1964,1999,1,Ideological Crusader,Medium,BRA_Abilio_de_Nequete,x
34269,Minister of Armament,Gustavo Barroso,1937,1964,1999,9,Military Entrepreneur,Medium,M34044,x
34270,Minister of Armament,Euclides Figueiredo,1936,1964,1999,9,Infantry Proponent,medium,Euclides_Figueiredo,x
34271,Minister of Armament,Plinio Salgado,1936,1964,1999,9,military entrepreneur,medium,kaiserreich Pliniosalgado,x
34272,Minister of Armament,Raimundo Padilha,1940,1964,1999,8,Corrupt Kleptocrat,medium,BRA_Raimundo_Padilha,x
34273,Minister of Armament,Monteiro Lobato,1945,1964,1999,8,Resource Industrialist,medium,BRA_Monteiro_Lobato,x
34274,Minister of Armament,Getulio Vargas,1941,1964,1999,7,Administrative Genius,High,M34001,x
34275,Minister of Armament,Marcondes Salgado,1936,1964,1999,7,Military Entrepreneur,Medium,Marcondes_Salgado,x
34276,Minister of Armament,Antônio Ramos Caiado,1936,1964,1999,7,Corrupt Kleptocrat,medium,BRA_Antonio_Ramos_Caiado,x
34277,Minister of Armament,Café Filho,1936,1964,1999,6,Military Entrepreneur,Low,M34004,x
34278,Minister of Armament,Ciccillo Matarazzo,1936,1964,1999,6,Resource Industrialist,Medium,Ciccillo_Matarazzo,x
34279,Minister of Armament,José de Macedo Soares,1939,1964,1999,6,laissez-faire capitalist,Medium,M34003,x
34280,Minister of Armament,Elyseu da Fonseca Montarroyos,1945,1964,1999,6,Air Superiority Proponent,High,M34106,x
34281,Minister of Armament,Armando de Sales Oliveira,1936,1964,1999,6,Administrative Genius,Medium,Sales_De_Oliveira,x
34282,Minister of Armament,Afranio de Mello Franco,1936,1964,1999,6,Battle Fleet Proponent,High,M34083,x
34283,Minister of Armament,Gastão Vidigal,1945,1964,1999,6,Resource Industrialist,High,M34014,x
34284,Minister of Armament,Curt Johannpeter,1936,1964,1999,5,Administrative Genius,Medium,Curt_Johannpeter,x
34285,Minister of Armament,José Linhares Filho,1940,1964,1999,5,laissez-faire capitalist,High,M34104,x
34286,Minister of Armament,Eduardo Gomes,1943,1964,1999,5,Air to Ground Proponent,Medium,M34021,x
34287,Minister of Armament,José Antônio Flores da Cunha,1936,1964,1999,4,Infantry Proponent,Medium,Jose_Antonio_Flores_da_Cunha,x
34288,Minister of Armament,José Américo de Almeida,1937,1964,1999,3,Resource Industrialist,Medium,M34024,x
34289,Minister of Armament,José Augusto Martins,1936,1964,1999,3,Administrative Genius,Medium,Jose_Augusto_Martins,x
34290,Minister of Armament,Herculano de Carvalho e Silva,1936,1964,1999,3,Military Entrepreneur,Medium,BRA_Herculano_de_Carvalho_e_Silva,x
34291,Minister of Armament,Henrique Smith Bayma,1936,1964,1999,3,Military Entrepreneur,Medium,Henrique_Smith_Bayma,x
34292,Minister of Armament,Zenon de Almeida Budaszweksi,1936,1964,1999,2,Air Superiority Proponent,medium,BRA_Zenon_de_Almeida,x
34293,Minister of Armament,Mário Pedrosa,1941,1964,1999,2,Administrative Genius,medium,BRA_Mario_Pedrosa,x
34294,Minister of Armament,Manuel Cendón,1936,1964,1999,2,Military Entrepreneur,medium,BRA_Manuel_Cendon,x
34295,Minister of Armament,Luis Carlos Prestes,1945,1964,1999,2,Strategic Air Proponent,Very Low,BRA_Luis_Carlos_Prestes,x
34296,Minister of Armament,Honório de Freitas Guimarães,1936,1964,1999,2,Infantry Proponent,medium,unknown,x
34297,Minister of Armament,Elias Iltchenco,1936,1964,1999,1,Resource Industrialist,medium,BRA_Elias_Itchenco,x
34298,Minister of Armament,Hermogênio da Silva Fernandes,1936,1964,1999,1,Tank Proponent,medium,BRA_Hermogenio_da_Silva_Fernandes,x
34299,Minister of Security,Filinto Muller,1936,1964,1999,9,Prince of Terror,medium,M34006,x
34300,Minister of Security,Miguel Reale,1936,1964,1999,9,Prince of Terror,medium,BRA_Miguel_Reale,x
34301,Minister of Security,Belisário Penna,1936,1964,1999,9,Silent Lawyer,medium,BRA_Belisario_Penna,x
34302,Minister of Security,Euclides Figueiredo,1936,1964,1999,9,Man of the People,Medium,Euclides_Figueiredo,x
34303,Minister of Security,Gustavo Capanema,1936,1964,1999,8,Crime Fighter,medium,BRA_Gustavo_Capanema,x
34304,Minister of Security,Lourival Fontes,1939,1964,1999,7,Back Stabber,medium,BRA_Lourival_Fontes,x
34305,Minister of Security,Tasso da Silveira,1936,1964,1999,7,Silent Lawyer,medium,BRA_Tasso_da_Silveira,x
34306,Minister of Security,Pedro Leão Veloso,1937,1964,1999,7,Compassionate Gentleman,Medium,M34077,x
34307,Minister of Security,Anor Butler Maciel,1936,1964,1999,7,Silent Lawyer,Medium,Anor_Butler_Maciel,x
34308,Minister of Security,Oscar Weinschenck,1941,1964,1999,6,Silent Lawyer,High,M34079,x
34309,Minister of Security,Epitacio da Silva Pessoa,1945,1964,1999,6,Crime Fighter,Medium,M34128,x
34310,Minister of Security,Raul Fernandes,1943,1964,1999,6,Back Stabber,High,M34013,x
34311,Minister of Security,João Bonumá,1947,1964,1999,5,Crime Fighter,Medium,Joao_Bonuma,x
34312,Minister of Security,José Antônio Flores da Cunha,1936,1964,1999,4,Crime Fighter,Medium,Jose_Antonio_Flores_da_Cunha,x
34313,Minister of Security,Joaquim Maurício Cardoso,1936,1964,1999,4,Silent Lawyer,Medium,Joaquim_Mauricio_Cardoso,x
34314,Minister of Security,Marcondes Filho,1936,1964,1999,3,Crime Fighter,High,M34005,x
34315,Minister of Security,Pompílio Cylon Fernandes Rosa,1947,1964,1999,3,Silent Lawyer,Medium,Pompilio_Cilon_Fernandes_Rosa,x
34316,Minister of Security,Sebastião Nogueira de Lima,1936,1964,1999,3,Crime Fighter,Medium,Sebastiao_Nogueira_de_Lima,x
34317,Minister of Security,Borges de Medeiros,1936,1964,1999,3,Crime Fighter,Medium,Borges_de_Medeiros,x
34318,Minister of Security,Guilherme Guinlé,1939,1964,1999,3,Efficient Sociopath,High,M34118,x
