BRU,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
567001,Head of State,Ho Chi Minh,1936,1964,1999,1,Ruthless Powermonger,High,Ho_Chi_Minh,x
567002,Head of Government,Truong Tchin,1936,1964,1999,1,Backroom Backstabber,High,M542019,x
567003,Foreign Minister,Pham Van Dong,1936,1964,1999,1,Ideological Crusader,High,M542024,x
567004,Minister of Armament,Le Duan,1936,1964,1999,1,Military Entrepreneur,Medium,M542030,x
567005,Minister of Security,The Lu,1936,1964,1999,1,Silent Lawyer,Medium,M542035,x
567006,Head of Military Intelligence,Phan Huy Quat,1936,1964,1999,1,Political Specialist,Medium,M542039,x
567007,Chief of Staff,Vo Nguyen Giap,1936,1964,1999,1,School of Psychology,Medium,M542044,x
567008,Chief of Army,Ho Chi Minh,1936,1964,1999,1,Guns and Butter Doctrine,Medium,Ho_Chi_Minh,x
567009,Chief of Navy,Thrang Tun Doc,1936,1964,1999,1,Power Projection Doctrine,Medium,M542052,x
567010,Chief of Air Force,Nguyen Huu Tho,1936,1964,1999,1,Air Superiority Doctrine,Medium,M542055,x
567011,Head of State,Pol Pot,1950,1964,1999,0,Powerhungry Demagogue,High,M541014,x
567012,Head of State,Souphanou Vong,1936,1964,1999,2,Die-hard Reformer,High,M540012,x
567013,Head of State,H.M. Sisowath Monivong,1936,1964,1999,3,Benevolent Gentleman,High,M541001,x
567014,Head of Government,Khieu Samphan,1936,1964,1999,0,Smiling Oilman,High,M541022,x
567015,Head of Government,Khambulatom Oomau,1936,1964,1999,2,Happy Amateur,High,M540019,x
567016,Head of Government,H.R.H. Norodom Sihanouk,1936,1964,1999,3,Old Admiral,High,M541011,x
567017,Foreign Minister,Leng Sary,1936,1964,1999,0,The Cloak N Dagger Schemer,High,M541027,x
567018,Foreign Minister,Phomvihanh Kaysone,1936,1964,1999,2,Iron Fisted Brute,High,M540020,x
567019,Foreign Minister,Sisowath Monipong,1936,1964,1999,3,Great Compromiser,High,M541003,x
567020,Minister of Armament,Nuon Chea,1936,1964,1999,0,Corrupt Kleptocrat,Medium,M541033,x
567021,Minister of Armament,Boun Oum,1936,1964,1999,2,Infantry Proponent,High,M540010,x
567022,Minister of Armament,Sisowath Monireth,1936,1964,1999,3,Tank Proponent,Medium,M541004,x
567023,Minister of Security,Pol Pot,1950,1964,1999,0,Efficient Sociopath,Medium,M541014,x
567024,Minister of Security,Phomvihanh Kaysone,1936,1964,1999,2,Prince of Terror,Medium,M540029,x
567025,Minister of Security,Sisowath Youtevong,1936,1964,1999,3,Compassionate Gentleman,Medium,M541005,x
567026,Head of Military Intelligence,Khambulatom Oomau,1936,1964,1999,2,Technical Specialist,Medium,M540019,x
567027,Head of Military Intelligence,Son Ngoc Thanh,1936,1964,1999,3,Industrial Specialist,Medium,M541006,x
567028,Chief of Staff,Phichith Douangchai,1936,1964,1999,2,School of Defence,Medium,M540035,x
567029,Chief of Staff,Norodom Sihanouk,1936,1964,1999,3,School of Manoeuvre,Medium,M541044,x
567030,Chief of Army,Son Sen,1936,1964,1999,0,Guns and Butter Doctrine,Medium,M541051,x
567031,Chief of Army,Vang Pao,1936,1964,1999,2,Static Defence Doctrine,Medium,M540038,x
567032,Chief of Army,Sisowath Monireth,1936,1964,1999,3,Decisive Battle Doctrine,High,M541046,x
567033,Chief of Navy,You Hok Kry,1936,1964,1999,0,Base Control Doctrine,Medium,M541055,x
567034,Chief of Navy,H.R.H. Souphanou Vong,1936,1964,1999,2,Open Seas Doctrine,Medium,M540041,x
567035,Chief of Navy,Lon Nol,1936,1964,1999,3,Decisive Naval Battle Doctrine,Medium,M541035,x
56701936,Chief of Air Force,Vang Pao,1936,1964,1999,2,Army Aviation Doctrine,Medium,M540038,x
567037,Chief of Air Force,Chai Saing Yun,1936,1964,1999,3,Naval Aviation Doctrine,Medium,M541029,x
567039,Head of Military Intelligence,Le Thanh,1941,1964,1999,1,Industrial Specialist,Medium,M542040,x
567040,Chief of Army,Vo Nguyen Giap,1942,1964,1999,1,Elastic Defence Doctrine,Medium,M542048,x
567041,Chief of Staff,Van Tien Dung,1942,1964,1999,1,School of Fire Support,Medium,Van_Tien_Dung,x
