BUL,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
19002,Head of Government,Georgi Kioseivanov,1936,1964,1999,7,Backroom Backstabber,High,KRGeorgi,X
19003,Foreign Minister,Georgi Kioseivanov,1936,1964,1999,7,Biased Intellectual,High,KRGeorgi,X
19004,Minister of Armament,Kiril Gounev,1936,1964,1999,7,Administrative Genius,Medium,M19004,X
19005,Minister of Security,Georgi Sapov,1936,1964,1999,7,Crime Fighter,Low,M19005,X
19006,Head of Military Intelligence,Dimitar Peshev,1936,1964,1999,7,Dismal Enigma,Medium,M19006,X
19007,Chief of Staff,Hristo Lukov,1936,1964,1999,7,School of Defence,Low,M19007,X
19008,Chief of Army,Todor Georgiev,1936,1964,1999,7,Static Defence Doctrine,Medium,M19008,X
19009,Chief of Navy,Sava Ivanov,1936,1964,1999,7,Open Seas Doctrine,Medium,M19009,X
19010,Chief of Air Force,Vasil Boydev,1936,1964,1999,7,Air Superiority Doctrine,Medium,M19010,X
19042,Head of State,Kiril de Preslav,1943,1964,1999,8,Stern Imperialist,High,M19042,X
19043,Head of State,S.T.V. Boris III,1936,1964,1999,8,Tsar Unifier,High,KRBoris,X
19044,Head of State,Aleksandur Tsankov,1943,1964,1999,9,Barking Buffoon,High,M19021,X
19045,Head of State,S.T.V. Boris III,1936,1964,1999,5,Tsar Unifier,High,KRBoris,X
19046,Head of State,Kiril de Preslav,1943,1964,1999,5,Stern Imperialist,High,M19042,X
19047,Head of State,Nikola Petkov,1945,1964,1999,6,Die-hard Reformer,High,M19047,X
19048,Head of State,Kiril de Preslav,1944,1964,1999,3,Stern Imperialist,High,M19042,X
19050,Head of State,Georgi Dimitrov,1936,1964,1999,0,Powerhungry Demagogue,High,M19032,X
19051,Head of State,Vasil Kolarov,1945,1964,1999,0,Weary Stiffneck,High,M19031,X
19052,Head of Government,Bogdan Filov,1936,1964,1999,7,Political Protege,High,KRFilov,X
19053,Head of Government,Dobri Bojilov,1943,1964,1999,7,Corporate Suit,High,M19053,X
19054,Head of Government,Ivan Bagrianov,1944,1964,1999,7,Old General,High,M19054,X
19055,Head of Government,Aleksander Tsankov,1936,1964,1999,9,Backroom Backstabber,High,M19021,X
19056,Head of Government,Petur Gabrovski,1943,1964,1999,7,Naive Optimist,High,M19022,X
19057,Head of Government,Konstantin Muraviev,1939,1964,1999,5,Happy Amateur,High,M19012,X
19058,Head of Government,Nikola Petkov,1936,1964,1999,6,Flamboyant Tough Guy,High,M19047,X
19059,Head of Government,Kimon Georgiev,1944,1964,1999,2,Naive Optimist,High,M19059,X
19060,Head of Government,Georgi Dimitrov,1936,1964,1999,0,Political Protege,High,M19032,X
19061,Foreign Minister,Ivan Popov,1939,1964,1999,7,Biased Intellectual,Medium,M19061,X
19062,Foreign Minister,Aleksander Nikolaiev,1939,1964,1999,7,Ideological Crusader,Medium,M19062,X
19063,Foreign Minister,Bogdan Filov,1936,1964,1999,7,Biased Intellectual,Medium,KRFilov,X
19064,Foreign Minister,Dimitar Shishmanov,1943,1964,1999,7,The Cloak N Dagger Schemer,Medium,M19064,X
19065,Foreign Minister,Ivan Bagrianov,1944,1964,1999,7,Iron Fisted Brute,Medium,M19054,X
19066,Foreign Minister,Pyrvan Draganov,1944,1964,1999,8,General Staffer,Medium,M19066,X
19067,Foreign Minister,Aleksandur Tsankov,1939,1964,1999,8,Ideological Crusader,Medium,M19021,X
19068,Foreign Minister,Atanas Burov,1939,1964,1999,6,Great Compromiser,Low,M19068,X
19069,Foreign Minister,Georgi Brasov,1943,1964,1999,6,Biased Intellectual,Low,M19069,X
19070,Foreign Minister,Konstantin Muraviev,1944,1964,1999,6,Apologetic Clerk,Medium,M19012,X
19071,Foreign Minister,Nikola Petkov,1945,1964,1999,6,The Cloak N Dagger Schemer,Medium,M19047,X
19072,Foreign Minister,Petko Stainov,1944,1964,1999,2,Biased Intellectual,Medium,M19072,X
