BUR,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
563001,Head of State,H.R.H. Myat Paya Lat,1936,1964,1999,7,Stern Imperialist,High,BURMay,X
563042,Head of State,Maung Gyi,1936,1970,1999,7,Weary Stiffneck,Very High,BURMur,X
563002,Head of Government,U Chit Hlaing,1936,1964,1999,7,Flamboyant Tough Guy,High,BURChi,X
563003,Foreign Minister,Maung Gyi,1936,1964,1999,7,The Cloak N Dagger Schemer,High,BURMur,X
563004,Minister of Armament,Ba Maw,1936,1964,1999,7,Bank President,High,BURMaw,X
563005,Minister of Security,Sao San Tun,1936,1964,1999,7,Crime Fighter,High,BURSan,X
563006,Head of Military Intelligence,Saya Gyi U Ba Khin,1936,1964,1999,7,Dismal Enigma,High,BURGyi,X
563007,Chief of Staff,Saya San,1936,1964,1999,7,School of Defence,High,BURSay,X
563008,Chief of Army,Saya San,1936,1964,1999,7,Static Defence Doctrine,High,BURSay,X
563009,Chief of Navy,Sao Shwe Thaik,1936,1964,1999,7,Power Projection Doctrine,High,BURTha,X
563010,Chief of Air Force,Hmu Aung,1936,1964,1999,7,Air Superiority Doctrine,High,BURHmu,X
563011,Minister of Armament,Lim Chin Tsong,1936,1964,1999,7,Administrative Genius,High,BURLim,X
563012,Foreign Minister,San C. Po,1936,1964,1999,7,Great Compromiser,High,BURCpo,X
563013,Minister of Security,Saw Durmay,1936,1964,1999,7,Silent Lawyer,High,BURSaw,X
563014,Minister of Security,Thakin Kodaw Hmaing,1936,1964,1999,7,Man of the People,High,BURKod,X
563015,Foreign Minister,U Chit Hlaing,1936,1964,1999,7,Biased Intellectual,High,BURChi,X
563016,Chief of Army,Sao Kawng Kiao Intaleng,1936,1964,1999,7,Elastic Defence Doctrine,High,BURKaw,X
563017,Head of Military Intelligence,Sao Saimong,1939,1964,1999,7,Political Specialist,High,BURSai,X
563018,Chief of Staff,Sao Yang Wen Pin,1936,1964,1999,7,School of Psychology,High,BURWen,X
563019,Head of Military Intelligence,Sao Yang Wen Pin,1936,1964,1999,7,Logistics Specialist,High,BURWen,X
563020,Head of State,Ba Cho,1936,1964,1999,2,Barking Buffoon,High,BURBoc,X
563021,Head of Government,U Nu,1936,1964,1999,2,Ambitious Union Boss,High,BURUnu,X
563022,Foreign Minister,Aung San,1936,1964,1999,2,Ideological Crusader,High,BURAun,X
563023,Minister of Armament,Ba Win,1936,1964,1999,2,Resource Industrialist,High,BURWin,X
563024,Minister of Security,Thakin Mya,1936,1964,1999,1,Compassionate Gentleman,High,BURMayt,X
563025,Head of Military Intelligence,Abdul Razak,1936,1964,1999,2,Dismal Enigma,High,BURAbd,X
563026,Chief of Staff,Thakin Soe,1936,1964,1999,1,School of Manoeuvre,High,BURSoe,X
563027,Chief of Army,Than Tun,1936,1964,1999,1,Guns and Butter Doctrine,High,BURTun,X
563028,Chief of Navy,Sao Shwe Thaik,1936,1964,1999,7,Power Projection Doctrine,High,BURTha,X
563029,Chief of Air Force,Hmu Aung,1936,1964,1999,7,Air Superiority Doctrine,High,BURHmu,X
563030,Minister of Armament,Mahn Ba Khaing,1936,1964,1999,2,Military Entrepreneur,High,BURMah,X
563031,Head of Government,U Saw,1936,1964,1999,6,Backroom Backstabber,High,BURSaws,X
563032,Head of Government,U May Aung,1936,1964,1999,6,Silent Workhorse,High,BURUma,X
563033,Minister of Armament,U May Aung,1936,1964,1999,6,Resource Industrialist,High,BURUma,X
563034,Head of Government,U Ottoma,1936,1964,1999,2,Ambitious Union Boss,High,BUROtt,X
563035,Head of Government,Saw Ba U Gyi,1936,1964,1999,4,Naive Optimist,High,BURBau,X
563036,Foreign Minister,U Thant,1936,1964,1999,5,Great Compromiser,High,BURThant,X
563037,Minister of Armament,Bo Let Ya,1936,1964,1999,3,Military Entrepreneur,High,BURLet,X
563038,Minister of Security,Saw Hka Nan,1936,1964,1999,5,Man of the People,High,BURHka,X
563039,Head of State,Theippan Maung Wa,1936,1964,1999,3,Benevolent Gentleman,High,BURThei,X
563040,Minister of Security,Po Kya,1936,1964,1999,4,Man of the People,High,BURPok,X
563041,Head of Government,Pe Maung Tin,1936,1964,1999,3,Silent Workhorse,High,BURPem,X
