CHC,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
51001,Head of Government,Zhang Tianran,1920,1964,1999,9,Corporate Suit,High,Zhang Tianran,x
51002,Head of State,Zhang Tianran,1936,1964,1999,9,Die-Hard Reformer,High,Zhang Tianran,x
51003,Head of Government,Fang Zhimin,1936,1964,1999,9,Political Protege,High,Fang Zhimin,x
51004,Head of State,Fang Zhimin,1920,1964,1999,9,Popular Figurehead,High,Fang Zhimin,x
51005,Chief of Army,Fang Zhimin,1936,1964,1999,9,Static Defence Doctrine,High,Fang Zhimin,x
51006,Head of Government,Sun Suzhen,1920,1964,1999,9,Happy Amateur,High,Sun Suzhen,x
51007,Head of State,Sun Suzhen,1936,1964,1999,9,Die-hard Reformer,High,Sun Suzhen,x
51008,Head of State,Zhang Guotao,1936,1964,1999,9,Ruthless Powermonger,High,M51012,x
51009,Minister of Armament,Lin Bojiu,1936,1964,1999,9,Military Entrepreneur,High,M51004,x
51010,Minister of Security,Xie Juezai,1936,1964,1999,9,Man of the People,Medium,M51005,x
51012,Head of Military Intelligence,Li Kenong,1936,1964,1999,9,Logistics Specialist,Medium,M51006,x
51013,Chief of Army,Zhu De,1936,1964,1999,9,Guns and Butter Doctrine,Low,M51007,x
51015,Chief of Navy,Ziao Jingguang,1936,1964,1999,9,Open Seas Doctrine,Medium,M51009,x
51016,Chief of Air Force,Fang Zeyi,1936,1964,1999,9,Army Aviation Doctrine,Medium,M51010,x
51018,Head of State,Zhang Guotao,1937,1964,1999,9,Ruthless Powermonger,High,M51012,x
51019,Head of State,Lin Bojiu,1937,1964,1999,9,Die-hard Reformer,High,M51004,x
51023,Head of Government,Zhang Guotao,1937,1964,1999,9,Ambitious Union Boss,High,M51012,x
51024,Head of Government,Lin Bojiu,1937,1964,1999,9,Flamboyant Tough Guy,High,M51004,x
51025,Minister of Armament,Cao Qiuru,1939,1964,1999,9,Administrative Genius,High,M51023,x
51028,Minister of Armament,Guo Yunshen,1941,1964,1999,9,Air to Ground Proponent,High,M51024,x
51030,Minister of Armament,Wang Fengbo,1943,1964,1999,9,laissez-faire capitalist,High,M51025,x
51031,Minister of Armament,He Yuandang,1936,1964,1999,9,Resource Industrialist,High,M51026,x
51032,Minister of Security,Zhou Xing,1936,1964,1999,9,Crime Fighter,Medium,M51030,x
51033,Minister of Security,Lin Bojiu,1942,1964,1999,9,Compassionate Gentleman,High,M51004,x
51037,Minister of Security,Gao Xue,1944,1964,1999,9,Compassionate Gentleman,High,M51033,x
51038,Head of Military Intelligence,Zhou Enlai,1939,1964,1999,9,Technical Specialist,Medium,M51037,x
51039,Head of Military Intelligence,Deng Xiaoping,1936,1964,1999,9,Industrial Specialist,Medium,M51038,x
51040,Head of Military Intelligence,Wang Jiaxiang,1936,1964,1999,9,Dismal Enigma,High,M51003,x
51044,Head of Military Intelligence,Xie Juezai,1945,1964,1999,9,Political Specialist,Medium,M51005,x
51045,Chief of Staff,Xu Xiangqian,1936,1964,1999,9,School of Manoeuvre,Medium,M51044,x
51049,Chief of Staff,Chen Yi,1944,1964,1999,9,School of Psychology,Medium,M51045,x
51050,Chief of Army,Gao Gang,1940,1964,1999,9,Elastic Defence Doctrine,Low,M51049,x
51051,Chief of Army,Chen Yi,1943,1964,1999,9,Armoured Spearhead Doctrine,Medium,M51045,x
51052,Foreign Minister,Zhang Tianran,1936,1964,1999,9,Biased Intellectual,High,Zhang Tianran,x
51053,Foreign Minister,Sun Suzhen,1936,1964,1999,9,The Cloak N Dagger Schemer,High,Sun Suzhen,x
51054,Foreign Minister,Lin Bojiu,1936,1964,1999,9,Iron Fisted Brute,High,M51004,x
51055,Minister of Security,Wang Jiaxiang,1936,1964,1999,9,Prince of Terror,High,M51003,x
51056,Foreign Minister,Zhang Tianran,1936,1964,1999,9,Ideological Crusader,High,Zhang Tianran,x
51057,Foreign Minister,Sun Suzhen,1936,1964,1999,9,Great Compromiser,Medium,Sun Suzhen,x
51058,Head of Military Intelligence,Wu Leichuan,1936,1964,1999,9,Political Specialist,Very high,MCHCWuLei,x
51059,Chief of Staff,Lü Zhengcao,1936,1964,1999,9,School of Mass Combat,Medium,MCHCLuZheng,x
51060,Chief of Army,Fu Chen Sung,1936,1964,1999,9,Decisive Battle Doctrine,Medium,MCHCFuChen,x
51061,Minister of Security,Xiao Chang Ming,1936,1964,1999,9,Man of the People,Very high,MCHCChangming,x
51062,Chief of Army,Tang Juwu,1936,1964,1999,9,elastic defence doctrine,Medium,MCHCTangJuwu,x
51063,Head of State,H.D.B.X. Zhu Rongji,1947,1964,1999,9,son of heaven pretender,High,CHC_zhurongji,x
51064,Head of Government,Zhou Enlai,1947,1964,1999,9,pragmatic statesman,High,M51051,x
51065,Foreign Minister,Chen Yi,1937,1964,1999,9,Ideological Crusader,High,M51045,x
51066,Minister of Armament,Peng Dehuai,1937,1964,1999,9,Infantry Proponent,High,M51053,x
51067,Minister of Security,Luo Ruiqing,1937,1964,1999,9,Crime Fighter,High,CHC_luoruiqing,x
51068,Chief of Staff,Han Xianchu,1937,1964,1999,9,School of Defence,High,CHC_hanxianchu,x
51069,Foreign Minister,Pan Hua Ling,1936,1964,1999,9,Ideological Crusader,High,MCHCTji,x
51070,Foreign Minister,Chen Bo Ling,1936,1964,1999,9,Great Compromiser,Medium,CHCChe,x
51071,Minister of Security,Lao Qian Ren,1942,1964,1999,9,Crime Fighter,High,CHCRen,x
