CHI,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
183500,Head of State,Huang Xing,1936,1964,1999,7,Popular Figurehead,High,Huang Xing,X
183501,Head of Government,Sun Li-Gen,1936,1964,1999,7,Old General,High,Sun Li-Gen,X
183502,Foreign Minister,T. V. Soong,1936,1964,1999,7,Biased Intellectual,Medium,T. V. Soong,X
183503,Minister of Security,Dai Li,1936,1964,1999,7,Crime Fighter,Very High,Dai Li,X
183504,Head of Military Intelligence,Du Yuming,1936,1964,1999,7,Political Specialist,Very High,Du Yuming,X
183505,Minister of Armament,Xue Yue,1936,1964,1999,6,Military Entrepreneur,High,Xue Yue,X
183507,Chief of Army,Huang Shaohong,1936,1964,1999,7,Guns and Butter Doctrine,Medium,Huang Shaohong,X
183508,Chief of Navy,Chen Shaokuan,1936,1964,1999,6,Power Projection Doctrine,Medium,Chen Shaokuan,X
183509,Chief of Air Force,Sun Li-Gen,1936,1964,1999,7,Army Aviation Doctrine,Very High,Sun Li-Gen,X
52003,Foreign Minister,Chang Chun,1936,1964,1999,6,Great Compromiser,Very High,M52003,X
52004,Minister of Armament,Xue-Zhong Yu,1936,1964,1999,7,Air Superiority Proponent,High,CHIZhongyu,X
52005,Minister of Security,Chen Guofu,1936,1964,1999,7,Crooked Kleptocrat,Very High,M52005,X
52006,Head of Military Intelligence,Chen Lifu,1936,1964,1999,7,Political Specialist,Very High,M52006,X
52023,Head of State,Lin Sen,1936,1964,1999,6,Die-hard Reformer,High,M52001,X
52024,Head of State,T. V. Soong,1943,1964,1999,6,Autocratic Charmer,High,M52024,X
52026,Head of Government,Wang Chonghui,1936,1964,1999,4,Flamboyant Tough Guy,High,M52026,X
52029,Head of Government,T. V. Soong,1936,1964,1999,5,Political Protege,High,M52024,X
52031,Head of Government,Li Zongren,1936,1964,1999,7,Corporate Suit,High,M52031,X
52035,Foreign Minister,Lin Wei,1936,1964,1999,7,General Staffer,High,M52035,X
52036,Foreign Minister,Shen Zui,1940,1964,1999,7,Apologetic Clerk,Very High,M52036,X
52037,Foreign Minister,Chen Guofu,1941,1964,1999,7,Great Compromiser,Low,M52005,X
52038,Foreign Minister,Wang Shijie,1945,1964,1999,4,Iron Fisted Brute,Medium,M52038,X
52042,Foreign Minister,Alfred Sao-ke Sze,1938,1964,1999,6,Iron Fisted Brute,High,Alfred Sao-ke Sze,X
52043,Foreign Minister,Yang Luchang,1944,1964,1999,8,Great Compromiser,Medium,M52043,X
52046,Minister of Armament,Xu Yongchang,1938,1964,1999,7,Theoretical Scientist,High,M52046,X
52047,Minister of Armament,Huang Chenzuo,1939,1964,1999,7,Military Entrepreneur,High,M52047,X
52048,Minister of Armament,Yu Ta-wei,1950,1964,1999,6,Military Entrepreneur,High,Yu Ta-wei,X
52049,Minister of Armament,Chen Guofu,1940,1964,1999,7,Laissez-Faire Capitalist,Low,M52005,X
52050,Minister of Armament,Cai Wenzhi,1941,1964,1999,7,Tank Proponent,High,M52050,X
52051,Minister of Armament,He Guoguang,1942,1964,1999,7,Air to Ground Proponent,High,M52051,X
52052,Minister of Armament,Chen Shaokuan,1942,1964,1999,6,Battle Fleet Proponent,Medium,M52009,X
52053,Minister of Armament,Yu Feipeng,1942,1964,1999,7,Infantry Proponent,High,M52053,X
52054,Minister of Armament,Wang Shuming,1943,1964,1999,7,Air to Sea Proponent,High,M52054,X
52055,Minister of Armament,Chiang Ching-kuo,1945,1964,1999,7,Administrative Genius,High,M52055,X
52056,Minister of Armament,Du Jianshi,1946,1964,1999,7,Strategic Air Proponent,High,M52056,X
52057,Minister of Armament,Weng Wenhao,1939,1964,1999,6,Laissez-Faire Capitalist,Medium,M52057,X
52058,Minister of Armament,He Yingqin,1943,1964,1999,6,Infantry Proponent,Medium,M52058,X
52059,Minister of Armament,Chen Gongbo,1949,1964,1999,8,Laissez-Faire Capitalist,Medium,M52014,X
52060,Minister of Armament,Yang Luchang,1941,1964,1999,8,Resource Industrialist,Medium,M52043,X
52061,Minister of Armament,Chan Chak,1943,1964,1999,6,Submarine Proponent,High,M52061,X
52063,Foreign Minister,Fu Sinian,1936,1964,1999,6,The Cloak N Dagger Schemer,High,CHIFu,X
52064,Minister of Security,Walther Stennes,1950,1964,1999,7,Back Stabber,Very High,M52064,X
52065,Minister of Security,Wu Zhongxin,1938,1964,1999,7,Compassionate Gentleman,High,M52065,X
52066,Minister of Security,Huang Musong,1939,1964,1999,7,Efficient Sociopath,High,M52066,X
52067,Minister of Security,Gu Zhenglun,1940,1964,1999,7,Crime Fighter,Very High,M52067,X
52068,Minister of Security,Liu Fei,1941,1964,1999,7,Silent Lawyer,Medium,M52068,X
52069,Minister of Security,Chiang Ching-kuo,1943,1964,1999,7,Man of the People,Very High,M52055,X
52070,Minister of Security,Chen Lifu,1939,1964,1999,6,Back Stabber,Medium,M52006,X
52071,Minister of Security,Kong Xiangxi,1943,1964,1999,6,Man of the People,High,M52030,X
52072,Minister of Security,Kang Ze,1944,1964,1999,6,Prince of Terror,Medium,M52072,X
52073,Minister of Security,Cai Yuanpei,1945,1964,1999,6,Compassionate Gentleman,Medium,M52073,X
52074,Minister of Security,Ding Motun,1939,1964,1999,8,Crooked Kleptocrat,Medium,M52015,X
52075,Minister of Security,Wang Kemin,1941,1964,1999,8,Man of the People,Medium,M52012,X
52076,Minister of Security,Chan Hon-sam,1943,1964,1999,8,Prince of Terror,High,M52076,X
52077,Minister of Security,Chen Fake,1944,1964,1999,8,Efficient Sociopath,High,M52077,X
52079,Head of Military Intelligence,He Yaozu,1939,1964,1999,7,Industrial Specialist,Low,M52079,X
52080,Head of Military Intelligence,Mao Renfeng,1940,1964,1999,7,Logistics Specialist,Very High,M52080,X
52081,Head of Military Intelligence,Jiang Yiying,1944,1964,1999,7,Dismal Enigma,Very High,Jiang Yiying,X
52082,Head of Military Intelligence,Yang Xuancheng,1941,1964,1999,6,Naval Intelligence Specialist,Very High,M52082,X
52083,Head of Military Intelligence,Zheng Jiemin,1942,1964,1999,7,Technical Specialist,Very High,M52083,X
52084,Head of Military Intelligence,Sun Yu,1939,1964,1999,2,Logistics Specialist,High,CHISunyu,X
52085,Head of Military Intelligence,Li Shiqun,1939,1964,1999,8,Political Specialist,Medium,M52016,X
