CHL,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
44001,Head of State,Arturo Alessandri Palma,1936,1964,1999,4,Stern Imperialist,High,M44001,x
44002,Head of Government,Gustavo Ross Santa Maria,1936,1964,1999,4,Naive Optimist,High,M44002,x
44003,Foreign Minister,Miguel Cruchaga Tocornal,1936,1964,1999,4,Iron Fisted Brute,Medium,M44003,x
44004,Minister of Armament,Eduardo Hillman,1936,1964,1999,4,Resource Industrialist,High,M44004,x
44005,Minister of Security,Arturo Alessandri Palma,1936,1964,1999,4,Compassionate Gentleman,Medium,M44001,x
44006,Head of Military Intelligence,Julio Allard Pinto,1936,1964,1999,4,Naval Intelligence Specialist,Medium,M44006,x
44007,Chief of Staff,C.J. de la Motte,1936,1964,1999,4,School of Fire Support,Medium,M44007,x
44008,Chief of Army,E. Novoa Fuentes,1936,1964,1999,4,Static Defence Doctrine,Medium,M44008,x
44009,Chief of Navy,C.J. de la Motte,1936,1964,1999,4,Open Seas Doctrine,Medium,M44007,x
44010,Chief of Air Force,Dario Mujica Gamboa,1936,1964,1999,4,Air Superiority Doctrine,Medium,M44010,x
,Replacements,,,,,,,,,x
44011,Head of State,Luis Barros Borgoño,1936,1964,1999,4,Popular Figurehead,Medium,Luis Barros,x
44012,Head of State,Jorge Gonzalez von Mareés,1936,1964,1999,8,Autocratic Charmer,High,kaiserreich jorgegonzalezvonmarees,x
44013,Head of State,Pedro Aguirre Cerda,1938,1964,1999,3,Benevolent Gentleman,High,M44031,x
44014,Head of State,Miguel Cruchaga Tocornal,1938,1964,1999,4,Autocratic Charmer,Medium,M44003,x
44015,Head of State,Marmaduke Grove,1938,1964,1999,1,Barking Buffoon,High,M44021,x
44020,Head of State,Carlos Ibáñez del Campo,1938,1964,1999,6,Resigned Generalissimo,High,M44035,x
44021,Head of State,Carlos Ibáñez del Campo,1938,1964,1999,7,Resigned Generalissimo,High,M44035,x
44016,Head of State,Gustavo Ross Santa Maria,1938,1964,1999,6,Popular Figurehead,High,M44002,x
44017,Head of State,Jeronimo Mendez Arancíbia,1941,1964,1999,3,Stern Imperialist,High,M44157,x
44018,Head of State,Manuel Mora Miranda,1942,1964,1999,6,Insignificant Layman,High,M44045,x
44019,Head of State,Antonio J. Rios Morales,1942,1964,1999,3,Weary Stiffneck,High,M44032,x
44022,Head of State,Misael Galleguillos,1944,1964,1999,8,Insignificant Layman,High,M44012,x
44023,Head of State,Salvador Allende,1945,1964,1999,2,Die-hard Reformer,High,M44039,x
44024,Head of State,Alfredo Duhalde Vasquez,1946,1964,1999,3,Pig-headed Isolationist,High,M44159,x
44025,Head of State,Eduardo Cruz-Coke,1946,1964,1999,6,Stern Imperialist,High,kaiserreich ECC,x
44026,Head of State,Gabriel Gonzalez Videla,1946,1964,1999,3,Popular Figurehead,High,M44033,x
44027,Head of State,Arturo Matte Larraín,1952,1964,1999,4,Popular Figurehead,High,kaiserreich AML,x
44028,Head of Government,Emiliano Figueroa,1936,1964,1999,4,Silent Workhorse,Medium,Emiliano Figueroa,x
44029,Head of Government,Misael Galleguillos,1936,1964,1999,8,Ambitious Union Boss,High,M44012,x
44030,Head of Government,Miguel Cruchaga Tocornal,1938,1964,1999,4,Naive Optimist,Medium,M44003,x
44031,Head of Government,Pedro Aguirre Cerda,1938,1964,1999,3,Political Protege,High,M44031,x
44032,Head of Government,Arturo Alessandri Palma,1938,1964,1999,4,Smiling Oilman,High,M44001,x
44033,Head of Government,C.L. Blest Riffo,1938,1964,1999,1,Old Admiral,High,M44022,x
44034,Head of Government,Gustavo Ross Santa Maria,1938,1964,1999,6,Naive Optimist,High,M44002,x
44035,Head of Government,Jeronimo Mendez Arancíbia,1941,1964,1999,3,Silent Workhorse,High,M44157,x
44036,Head of Government,Manuel Mora Miranda,1942,1964,1999,6,Happy Amateur,High,M44045,x
44037,Head of Government,Carlos Ibáñez del Campo,1942,1964,1999,7,Old General,High,M44035,x
44038,Head of Government,Marmaduke Grove,1942,1964,1999,1,old airmarshal,High,M44021,x
44039,Head of Government,Antonio J. Rios Morales,1942,1964,1999,3,Flamboyant Tough Guy,High,M44032,x
44040,Head of Government,Salvador Allende,1945,1964,1999,2,Ambitious Union Boss,High,M44039,x
44041,Head of Government,Carlos Ibáñez del Campo,1946,1964,1999,6,Old General,High,M44035,x
44042,Head of Government,Alfredo Duhalde Vasquez,1946,1964,1999,3,Naive Optimist,High,M44159,x
44043,Head of Government,Gabriel Gonzalez Videla,1946,1964,1999,3,Backroom Backstabber,High,M44033,x
44044,Foreign Minister,Jorge Gonzalez von Mareés,1936,1964,1999,8,Ideological Crusader,Very High,kaiserreich jorgegonzalezvonmarees,x
44045,Foreign Minister,J.R.Guiterréz Allende,1936,1964,1999,4,Biased Intellectual,High,M44059,x
44046,Foreign Minister,Luis Arteaga Garcia,1938,1964,1999,4,The Cloak N Dagger Schemer,Medium,M44023,x
44047,Foreign Minister,Luis Arteaga Garcia,1938,1964,1999,1,The Cloak N Dagger Schemer,Medium,M44023,x
44048,Foreign Minister,Abraham Ortega Aguayo,1938,1964,1999,3,Iron Fisted Brute,Medium,M44051,x
44049,Foreign Minister,Carlos D. Soto,1938,1964,1999,6,The Cloak N Dagger Schemer,Medium,M44063,x
44050,Foreign Minister,Cristobál Saénz Cerda,1940,1964,1999,3,Apologetic Clerk,Medium,M44052,x
44051,Foreign Minister,Manuel Mora Miranda,1940,1964,1999,3,Great Compromiser,Medium,M44045,x
44052,Foreign Minister,Manuel Bianchi Gúndian,1940,1964,1999,3,Iron Fisted Brute,Medium,M44054,x
44053,Foreign Minister,Luis Alamos Barros,1941,1964,1999,3,Ideological Crusader,High,M44055,x
44054,Foreign Minister,Ernesto Barras Jarpa,1942,1964,1999,3,General Staffer,Medium,M44056,x
44055,Foreign Minister,J. Fernandez y Fernandéz,1942,1964,1999,3,The Cloak N Dagger Schemer,Medium,M44057,x
44056,Foreign Minister,Raúl Juliet Gómez,1945,1964,1999,3,Apologetic Clerk,Medium,M44058,x
44057,Foreign Minister,Miguel Cruchaga Tocornal,1942,1964,1999,7,Iron Fisted Brute,Medium,M44003,x
44058,Foreign Minister,Francisco O'Ryan Orrego,1942,1964,1999,6,General Staffer,Medium,M44062,x
44059,Foreign Minister,Luis Renard Valenzuela,1946,1964,1999,6,Apologetic Clerk,High,M44064,x
