COS,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
47001,Head of State,Romualdo Jímenez Oreamurio,1936,1964,1999,4,Ruthless Powermonger,High,M47001,x
47002,Head of Government,Leon Cortes Castro,1936,1964,1999,4,Political Protege,NA,M47002,x
47003,Foreign Minister,Raúl Gundían,1936,1964,1999,4,General Staffer,Medium,M47003,x
47004,Minister of Armament,Julio Acosta Garcia,1936,1964,1999,4,Military Entrepreneur,Medium,M47004,x
47005,Minister of Security,Victor Sanabria Martinéz,1936,1964,1999,4,Efficient Sociopath,Very High,M47005,x
47006,Head of Military Intelligence,Federico Tinoco,1936,1964,1999,4,Industrial Specialist,Medium,M47006,x
47007,Chief of Staff,Federico Tinoco,1936,1964,1999,4,School of Defence,Medium,M47006,x
47008,Chief of Army,Federico Tinoco,1936,1964,1999,4,Static Defence Doctrine,Medium,M47006,x
47009,Chief of Navy,Roberto Juarez Camposino,1936,1964,1999,4,Open Seas Doctrine,Medium,M47009,x
47010,Chief of Air Force,Don Arnaldo Zamora,1936,1964,1999,4,Army Aviation Doctrine,Medium,M47010,x
47031,Head of State,Otilio Ulate,1944,1964,1999,3,Benevolent Gentleman,High,M47031,x
47032,Head of State,Leon Cortes Castro,1936,1964,1999,4,Autocratic Charmer,High,M47002,x
47033,Head of State,Tobias Zúñiaga Montúfar,1940,1964,1999,4,Stern Imperialist,High,M47033,x
47034,Head of State,Alejandro de Castro Lopez,1944,1964,1999,4,Barking Buffoon,High,M47034,x
47035,Head of State,Otto Cortes Fernandez,1936,1964,1999,6,Insignificant Layman,High,M47035,x
47036,Head of State,Rafael Calderon Guardia,1940,1964,1999,6,Barking Buffoon,High,M47036,x
47037,Head of State,Teodoro Picado Michalski,1944,1964,1999,6,Resigned Generalissimo,High,M47037,x
47038,Head of State,Romualdo Pino Roja,1936,1964,1999,8,Resigned Generalissimo,High,M47011,x
47039,Head of State,Manuel Mora Valverde,1940,1964,1999,1,Insignificant Layman,High,M47021,x
47040,Head of State,Isalino de Silva Londres,1947,1964,1999,2,Autocratic Charmer,High,M47040,x
47041,Head of Government,Jose Figueres Ferrer,1944,1964,1999,3,Political Protege,High,M47041,x
47042,Head of Government,Tobias Zúñiaga Montúfar,1936,1964,1999,4,Ambitious Union Boss,High,M47033,x
47043,Head of Government,Alejandro de Castro Lopez,1944,1964,1999,4,Happy Amateur,High,M47034,x
47044,Head of Government,Adolfo Urribe Castro,1936,1964,1999,6,Smiling Oilman,High,M47044,x
47045,Head of Government,Teodoro Picado Michalski,1940,1964,1999,6,Old General,High,M47037,x
47046,Head of Government,Rafael Calderon Guardia,1944,1964,1999,6,Flamboyant Tough Guy,High,M47046,x
47047,Head of Government,Otto Cortes Fernandez,1944,1964,1999,6,Silent Workhorse,High,M47035,x
47048,Head of Government,Romualdo Pino Roja,1936,1964,1999,7,Old General,High,M47011,x
47049,Head of Government,Manuel Mora Valverde,1940,1964,1999,1,Happy Amateur,High,M47021,x
47050,Head of Government,Isalino de Silva Londres,1947,1964,1999,2,Political Protege,NA,M47040,x
47051,Foreign Minister,Otilio Ulate,1944,1964,1999,3,The Cloak N Dagger Schemer,Very High,M47031,x
47052,Foreign Minister,Luís Fernandéz Rodríguez,1947,1964,1999,3,Ideological Crusader,Medium,M47024,x
47053,Foreign Minister,Leon Cortes Castro,1936,1964,1999,4,The Cloak N Dagger Schemer,Medium,M47002,x
47054,Foreign Minister,Manuel F. Jímenez,1938,1964,1999,4,General Staffer,Medium,M47054,x
47055,Foreign Minister,Albert Echandi Montero,1939,1964,1999,4,Iron Fisted Brute,Medium,M47055,x
47056,Foreign Minister,Roberto Brenes Mesen,1940,1964,1999,4,Apologetic Clerk,Medium,M47056,x
47057,Foreign Minister,Tobias Zúñiaga Montúfar,1942,1964,1999,4,Biased Intellectual,High,M47033,x
47058,Foreign Minister,Chico Orlich Bolmarich,1944,1964,1999,4,Ideological Crusader,High,M47058,x
47059,Foreign Minister,Adolfo Urribe Castro,1936,1964,1999,6,Apologetic Clerk,Medium,M47044,x
47060,Foreign Minister,Rafael Calderon Guardia,1940,1964,1999,6,Biased Intellectual,Medium,M47036,x
47061,Foreign Minister,Julio Acosta Garcia,1942,1964,1999,6,Great Compromiser,Medium,M47004,x
