CRO,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
30001,Head of State,Ante Pavelic,1936,1964,1999,9,Ruthless Dictator,High,M30002,X
30002,Head of Government,Ante Pavelic,1936,1964,1999,9,Backroom Backstabber,High,M30002,X
30003,Foreign Minister,Milan Budak,1936,1964,1999,9,Iron Fisted Brute,Very High,M30003,X
30004,Minister of Armament,Dido Kvaternik,1936,1964,1999,9,Infantry Proponent,High,M30033,X
30005,Minister of Security,Mladen Lorkovic,1936,1964,1999,9,Crooked Kleptocrat,High,L44610,X
30006,Head of Military Intelligence,Adalbert Rogulja,1936,1964,1999,9,Dismal Enigma,Medium,M30006,X
30007,Chief of Staff,Slavko Kvaternik,1936,1964,1999,9,School of Mass Combat,High,L44608,X
30008,Chief of Army,Slavko Kvaternik,1936,1964,1999,9,Static Defence Doctrine,High,L44608,X
30009,Chief of Navy,Djuro Jakcin,1936,1964,1999,9,Indirect Approach Doctrine,High,CRO_KR_Djuro_Jakcin,X
30010,Chief of Air Force,Vladimir Kren,1936,1964,1999,9,Air Superiority Doctrine,Medium,M30010,X
30021,Head of State,Stjepan Radic,1936,1964,1999,6,Stern Imperialist,High,CRO-KR_Stjepan_Radic,X
30022,Head of State,Alojzije Stepinac,1936,1964,1999,7,Weary Stiffneck,High,CRO-KR_Alois_Stepinac,X
30023,Head of State,Vladko Macek,1936,1964,1999,6,Stern Imperialist,High,M30011,X
30024,Head of Government,Antun pl. Mihalovic,1936,1964,1999,7,Naive Optimist,High,M30022,X
30025,Head of Government,Vladko Macek,1936,1964,1999,6,Flamboyant Tough Guy,High,M30011,X
30026,Head of Government,Ivan Subasic,1936,1964,1999,6,Naive Optimist,High,M20014,X
30028,Foreign Minister,Mladen Lorkovic,1936,1964,1999,9,General Staffer,High,L44610,X
30029,Foreign Minister,Antun pl. Mihalovic,1936,1964,1999,7,Apologetic Clerk,High,M30022,X
30030,Foreign Minister,Juraj Krnjevic,1936,1964,1999,6,Ideological Crusader,High,CRO-KR_Juraj_Krnjevic,X
30031,Foreign Minister,Vladko Macek,1936,1964,1999,6,The Cloak N Dagger Schemer,High,M30011,X
30033,Minister of Armament,Ivan Andres,1936,1964,1999,6,Resource Industrialist,High,CRO-KR_Ivan_Andres,X
30035,Minister of Armament,Stanko Sverljuga,1936,1964,1999,7,Bank President,High,CRO-KR_Stanko_Sverljuga,X
30036,Minister of Armament,Ivan Krajac,1936,1964,1999,6,Laissez-Faire Capitalist,High,CRO-KR_Ivan_Krajac,X
30037,Minister of Security,Djuro Basaricek,1936,1964,1999,6,Compassionate Gentleman,High,CRO-KR_Djuro_Basaricek,X
30038,Minister of Security,Ivo Krbek,1936,1964,1999,6,Silent Lawyer,High,CRO-KR_Ivo_Krbek,X
30039,Minister of Security,Andrija Artukovic,1936,1964,1999,9,Efficient Sociopath,High,M30038,X
30040,Minister of Security,Vilko Begic,1936,1964,1999,8,Crime Fighter,High,M30004,X
30044,Head of Military Intelligence,Mladen Lorkovic,1936,1964,1999,9,Political Specialist,High,L44610,X
30045,Head of Military Intelligence,Vilko Begic,1936,1964,1999,8,Logistics Specialist,High,M30004,X
30048,Chief of Staff,Fedor Dragojlov,1936,1964,1999,7,School of Mass Combat,High,M30048,X
30049,Chief of Staff,Ivan Percevic,1936,1964,1999,9,School of Psychology,High,CRO-KR_Ivan_Percevic,X
30053,Chief of Army,Slavko Stancer,1936,1964,1999,8,Static Defence Doctrine,High,CRO-KR_Slavko_Stancer,X
30054,Chief of Army,Vilko Begic,1936,1964,1999,8,Decisive Battle Doctrine,High,M30004,X
30055,Chief of Army,Fedor Dragojlov,1936,1964,1999,7,Static Defence Doctrine,High,M30048,X
30061,Chief of Navy,Marijan Polic,1936,1964,1999,7,Base Control Doctrine,High,CRO-KR_Marijan_Polic,X
