CSA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
573001,Head of State,Norman Thomas,1936,1964,1999,2,Insignificant Layman,High,M6021,X
573002,Head of Government,William Z. Foster,1936,1964,1999,0,Totalist Chairman,High,M6055,X
573006,Foreign Minister,Sam Darcy,1936,1964,1999,0,Ideological Crusader,Low,M6073,X
573011,Minister of Armament,Elizabeth Gurley Flynn,1936,1964,1999,0,Battle Fleet Proponent,Very High,M6099,X
573017,Minister of Security,Raymond Charles Moley,1936,1964,1999,1,Prince of Terror,Low,M6116,X
573021,Head of Military Intelligence,Harry Haywood,1936,1964,1999,1,Dismal Enigma,High,M6026,X
573024,Chief of Army,Robert Merriman,1936,1964,1999,0,Armoured Spearhead Doctrine,High,M6028,X
573025,Chief of Air Force,John Abt,1936,1964,1999,1,Army Aviation Doctrine,Medium,M6029,X
573041,Chief of Staff,Hans Amlie,1936,1964,1999,0,School of Defence,High,M6027,X
573042,Chief of Navy,John Abt,1936,1964,1999,1,Base Control Doctrine,Medium,M6029,X
573003,Head of Government,James Cannon,1936,1964,1999,2,Smiling Oilman,High,M6056,X
573004,Head of Government,Joseph P. Lash,1936,1964,1999,1,Naive Optimist,High,M6024,X
573007,Foreign Minister,James Paul Warburg,1936,1964,1999,1,Ideological Crusader,High,M6023,X
573008,Foreign Minister,Robert Minor,1936,1964,1999,0,General Staffer,High,M6075,X
573009,Foreign Minister,Eugene Dennis,1936,1964,1999,1,Biased Intellectual,High,M6076,X
573010,Minister of Armament,Wyndham Mortimer,1936,1964,1999,2,Resource Industrialist,Low,M6098,X
573013,Minister of Armament,Lemart Harris,1936,1964,1999,2,Resource Industrialist,Very High,M6101,X
573014,Minister of Armament,Walther Reuther,1936,1964,1999,2,Resource Industrialist,Very High,M6102,X
573015,Minister of Security,William Aalto,1936,1964,1999,2,Back Stabber,Medium,M6114,X
