CXB,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
504001,Head of State,Ma Fuxiang,1936,1964,1999,7,Benevolent Gentleman,High,M750059,X
504002,Head of Government,Ma Hongkui,1936,1964,1999,7,Respected War Hero,High,M750054,X
504003,Foreign Minister,Ma Hongkui,1936,1964,1999,7,General Staffer,High,M750054,X
504004,Minister of Armament,Ma Shaowu,1936,1964,1999,7,Military Entrepreneur,High,M750062,X
504035,Head of Government,Ma Shaowu,1936,1970,1999,7,Backroom Backstabber,Very High,M750062,X
504005,Minister of Security,Ma Zhongying,1936,1964,1999,7,Crime Fighter,High,L153003,X
504006,Head of Military Intelligence,Ma Hongbin,1936,1964,1999,7,Political Specialist,High,M504006,X
504032,Head of State,Ma Hongbin,1936,1970,1999,7,Stern Imperialist,Very High,M504006,X
504033,Head of Government,Ma Hongbin,1936,1970,1999,7,Silent Workhorse,Very High,M504006,X
504007,Chief of Staff,Ma Zhongying,1936,1964,1999,7,School of Psychology,High,L153003,X
504008,Chief of Army,Ma Buqing,1936,1964,1999,7,Guns and Butter Doctrine,High,M750053,X
504009,Chief of Navy,Ma Bufang,1936,1964,1999,7,Indirect Approach Doctrine,High,M750052,X
504010,Chief of Air Force,Ma Bufang,1936,1964,1999,7,Army Aviation Doctrine,High,M750052,X
504011,Head of State,Ma Hongkui,1936,1964,1999,7,Barking Buffoon,High,M750054,X
504012,Head of Government,Ma Lin,1936,1964,1999,7,Old General,High,M750058,X
504013,Foreign Minister,Fang Jing,1936,1964,1999,7,Great Compromiser,High,L50075,X
504014,Minister of Armament,Zi Shen,1936,1964,1999,7,Corrupt Kleptocrat,High,M504004,X
504015,Minister of Security,Ma Shaowu,1936,1964,1999,7,Efficient Sociopath,High,M750062,X
504016,Minister of Security,Ma Jiyuan,1936,1964,1999,7,Man of the People,High,M750061,X
504017,Head of Military Intelligence,Ma Zhongying,1936,1964,1999,7,Logistics Specialist,High,L153003,X
504034,Head of Government,Ma Zhongying,1936,1970,1999,7,Old General,Very High,L153003,X
504018,Chief of Staff,Ma Buqing,1936,1964,1999,7,School of Defence,High,M750053,X
504019,Chief of Staff,Ma Fuxiang,1936,1964,1999,7,School of Mass Combat,High,M750059,X
504020,Chief of Army,Ma Jiyuan,1936,1964,1999,7,Elastic Defence Doctrine,High,M750061,X
504021,Chief of Army,Ma Zhongying,1936,1964,1999,7,Decisive Battle Doctrine,High,L153003,X
504022,Head of State,Ma Bufang,1936,1964,1999,8,Die-hard Reformer,High,M750053,X
504036,Head of Government,Ma Bufang,1936,1970,1999,8,Ambitious Union Boss,Very High,M750053,X
504023,Head of State,Hu Songshan,1936,1964,1999,6,Benevolent Gentleman,High,kai_husongshan,X
504024,Head of Government,Hu Songshan,1936,1964,1999,6,Spiritual Leader,High,kai_husongshan,X
504025,Head of State,Ma Zhanshan,1936,1964,1999,2,Syndicalist Demagogue,High,kai_mazhanshan,X
504026,Head of Government,Ma Zhanshan,1936,1964,1999,2,Corporate Suit,High,kai_mazhanshan,X
504027,Head of State,Wang Zi-Ping,1936,1964,1999,3,Die-hard Reformer,High,kai_wangziping,X
504028,Head of Government,Wang Zi-Ping,1936,1964,1999,3,Happy Amateur,High,kai_wangziping,X
504029,Head of State,Iasyr Shivaza,1936,1964,1999,1,Powerhungry Demagogue,High,kai_yasirshivaza,X
504030,Head of Government,Magaza Masanchi ,1936,1964,1999,1,Flamboyant Tough Guy,High,kai_masanchimagazy,X
504031,Foreign Minister,Iasyr Shivaza,1936,1964,1999,1,Great Compromiser,High,kai_yasirshivaza,X
