CYN,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
501001,Head of State,Long Yun,1936,1964,1999,8,Die-hard Reformer,High,M750056,x
501002,Head of Government,Long Yun,1936,1964,1999,8,Political Protege,High,M750056,x
501003,Foreign Minister,Zhou Zhirou,1936,1964,1999,8,Apologetic Clerk,High,M501003,x
501004,Minister of Armament,Liu Wenhui,1936,1964,1999,8,Battle Fleet Proponent,Medium,M501004,x
501005,Minister of Security,Ding Zhipan,1936,1964,1999,8,Crime Fighter,Medium,M501005,x
501006,Head of Military Intelligence,Mi Zaiming,1936,1964,1999,8,Political Specialist,Medium,M501006,x
501007,Chief of Staff,Long Yun,1936,1964,1999,8,School of Psychology,Medium,M750056,x
501008,Chief of Army,Long Yun,1936,1964,1999,8,Guns and Butter Doctrine,Medium,M750056,x
501009,Chief of Navy,Lu Han,1936,1964,1999,8,Open Seas Doctrine,Medium,M750055,x
501010,Chief of Air Force,Lu Han,1936,1964,1999,8,Carpet Bombing Doctrine,Medium,M750055,x
501011,Head of State,Tang Jiyao,1920,1934,1935,7,Die-hard Reformer,High,Tang Jiyao,x
501012,Head of Government,Tang Jiyao,1920,1934,1935,7,Old General,High,Tang Jiyao,x
501013,Head of State,Lu Han,1936,1964,1999,8,Resigned Generalissimo,Medium,M750055,x
501014,Head of Government,Lu Han,1936,1964,1999,8,Old General,Medium,M750055,x
501015,Head of State,Chen Geng,1936,1964,1999,4,Weary Stiffneck,Medium,CYN_geng,x
501016,Head of Government,Chen Geng,1936,1964,1999,4,Happy Amateur,Medium,CYN_geng,x
501017,Chief of Staff,Chen Geng,1936,1964,1999,4,School of Fire Support,Medium,CYN_geng,x
501018,Chief of Army,Chen Geng,1936,1964,1999,4,Static Defence Doctrine,Medium,CYN_geng,x
501019,Head of State,Hu Ruoyu,1936,1964,1999,6,Popular Figurehead,Medium,CYN_hu,x
501020,Head of Government,Hu Ruoyu,1936,1964,1999,6,Naive Optimist,Medium,CYN_hu,x
