CZE,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
24001,Head of State,Edouard Benes,1936,1964,1999,5,Pig-headed Isolationist,High,M24001,X
24003,Foreign Minister,Edouard Benes,1936,1964,1999,5,Biased Intellectual,High,M24001,X
24004,Minister of Armament,Josef Kalfus,1936,1964,1999,5,Resource Industrialist,High,M24004,X
24006,Head of Military Intelligence,Frantisek Machník,1936,1964,1999,5,Logistics Specialist,Very High,M24006,X
24007,Minister of Armament,Frantisek Machník,1936,1964,1999,5,Infantry Proponent,Very High,M24006,X
24008,Chief of Army,Ludvik Krejci,1936,1964,1999,5,Static Defence Doctrine,Medium,M24008,X
24009,Chief of Navy,Antonin Hasal,1936,1964,1999,5,Indirect Approach Doctrine,Medium,M24009,X
24010,Chief of Air Force,Karel Janousek,1936,1964,1999,5,Army Aviation Doctrine,Medium,M24010,X
24031,Head of State,Emil Hácha,1936,1964,1999,5,Insignificant Layman,High,M24031,X
24164,Chief of Staff,Radola Gajda,1936,1964,1999,9,School of Defence,High,M100000009,X
24034,Head of State,Jan Syrovy,1936,1964,1999,7,Resigned Generalissimo,High,M24034,X
24035,Head of State,Antonín Zápotocky,1943,1964,1999,1,Benevolent Gentleman,High,M100000000,X
24036,Head of State,Konrad Henlein,1936,1964,1999,9,Insignificant Layman,High,M24013,X
24037,Head of State,Johann Schwerin von Krosigk,1936,1964,1999,9,Benevolent Gentleman,High,M24037,X
24038,Head of State,Kurt Daluege,1936,1964,1999,9,Ruthless Powermonger,High,M24038,X
24039,Head of State,Karl Hermann Frank,1936,1964,1999,7,Powerhungry Demagogue,High,M24011,X
24040,Head of State,Alois Elias,1936,1964,1999,9,Resigned Generalissimo,High,M24040,X
24042,Head of State,Klement Gottwald,1936,1964,1999,0,Barking Buffoon,High,M24021,X
24044,Head of Government,Ján Srámek,1936,1964,1999,5,Ambitious Union Boss,High,M24044,X
24045,Head of Government,Jan Syrový,1936,1964,1999,6,Old General,High,M24034,X
24046,Head of Government,Rudolf Beran,1936,1964,1999,7,Political Protege,High,M24012,X
24047,Head of Government,Bedrich Homola,1936,1964,1999,6,Happy Amateur,High,M24047,X
24048,Head of Government,Karel Kalemcek,1936,1964,1999,9,Happy Amateur,High,M24048,X
24049,Head of Government,Alois Elias,1936,1964,1999,9,Old General,High,M24040,X
24050,Head of Government,Joseph Jezek,1936,1964,1999,9,Flamboyant Tough Guy,High,M24016,X
24053,Foreign Minister,Kamil Krofta,1936,1964,1999,5,Great Compromiser,High,M24053,X
24054,Foreign Minister,Frantisek Chvalkovsky,1936,1964,1999,5,Iron Fisted Brute,Very High,M24054,X
24055,Foreign Minister,Ján Masaryk,1936,1964,1999,5,Ideological Crusader,Very High,M24055,X
24056,Head of State,Antonín Novotny,1945,1964,1999,0,Ruthless Powermonger,Very High,M100000001,X
24057,Foreign Minister,Juraj Slávik,1936,1964,1999,6,Biased Intellectual,Medium,M24057,X
24058,Foreign Minister,Oldrich Otamír,1936,1964,1999,7,Apologetic Clerk,Medium,M24058,X
