EAF,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
550001,Head of State,Sir Philip Euan Mitchell,1936,1964,1999,5,Die-hard Reformer,High,M550001,X
550002,Head of Government,Sir John Hathorn Hall,1936,1964,1999,5,Flamboyant Tough Guy,High,M550002,X
550003,Foreign Minister,Robert Brooke-Popham,1936,1964,1999,5,General Staffer,High,L1051,X
550004,Minister of Armament,Henry Monck-Mason Moore,1936,1964,1999,5,Battle Fleet Proponent,Medium,M550004,X
550005,Minister of Security,Sir Harold McMichael,1936,1964,1999,5,Efficient Sociopath,Medium,M550005,X
550006,Head of Military Intelligence,Mark Young,1936,1964,1999,5,Industrial Specialist,Medium,M550006,X
550007,Chief of Staff,Henry Dundas Stevenson,1936,1964,1999,5,School of Defence,Medium,M550007,X
550008,Chief of Army,Robert Brooke-Popham,1936,1964,1999,5,Decisive Battle Doctrine,Medium,L1051,X
550009,Chief of Navy,William Demas Battershill,1936,1964,1999,5,Open Seas Doctrine,Medium,M550009,X
550010,Chief of Air Force,Charles Farquharson Dundas,1936,1964,1999,5,Air Superiority Doctrine,Medium,M550010,X
550014,Head of Government,Lord Josslyn Erroll,1936,1964,1999,7,Naive Optimist,High,M1051,X
550018,Foreign Minister,Henry G. Pilling,1941,1964,1999,5,Iron Fisted Brute,High,M550018,X
550021,Minister of Armament,Alexius de Laszlo,1936,1964,1999,7,Infantry Proponent,Medium,M550021,X
550023,Minister of Armament,Charles Farquharson Dundas,1940,1964,1999,5,Air Superiority Proponent,Medium,M550010,X
550024,Minister of Armament,Ronald Ngala,1936,1964,1999,3,Tank Proponent,Medium,M550024,X
550027,Minister of Security,Makhan Singh,1936,1964,1999,7,Crooked Kleptocrat,Medium,M550027,X
550028,Minister of Security,Ide DeLisle,1942,1964,1999,7,Back Stabber,Medium,M550028,X
550029,Minister of Security,Vincent Goncalves Glenday,1940,1964,1999,5,Crime Fighter,Medium,M550029,X
550032,Head of Military Intelligence,Charles Witherspoon,1936,1964,1999,7,Logistics Specialist,Medium,M550032,X
550036,Chief of Staff,Richard Carver,1936,1964,1999,7,School of Manoeuvre,Medium,L1069,X
550037,Chief of Staff,Jeremy J. Pierson,1941,1964,1999,5,School of Psychology,Medium,M550037,X
550040,Chief of Army,Peter Mills,1936,1964,1999,7,Guns and Butter Doctrine,Medium,M550040,X
550041,Chief of Army,Henry G. Pilling,1941,1964,1999,5,Static Defence Doctrine,Medium,M550018,X
550046,Chief of Navy,Edward Montford,1936,1964,1999,2,Decisive Naval Battle Doctrine,Medium,M550046,X
550047,Chief of Air Force,Makhan Singh,1936,1964,1999,7,Naval Aviation Doctrine,Medium,M550027,X
550048,Chief of Air Force,James Howe-Dobson,1941,1964,1999,5,Army Aviation Doctrine,Medium,M550048,X
550050,Chief of Air Force,Edward Montford,1936,1964,1999,2,Vertical Envelopment Doctrine,Very High,M550046,X
550051,Head of State,Tu Yueh-sen,1936,1964,1999,8,Ruthless Powermonger,Very High,kaiserreich Tu Yueh sen,X
550052,Head of Government,Tu Yueh-sen,1936,1964,1999,8,Flamboyant Tough Guy,Very High,kaiserreich Tu Yueh sen,X
550053,Minister of Armament,Tu Yueh-sen,1936,1964,1999,8,Corrupt Kleptocrat,Very High,kaiserreich Tu Yueh sen,X
550054,Minister of Security,Tu Yueh-sen,1936,1964,1999,8,Efficient Sociopath,Very High,kaiserreich Tu Yueh sen,X
550055,Minister of Security,Huang Jinrong,1936,1964,1999,8,Crime Fighter,Very High,kaiserreich HuangJinrong,X
550056,Head of Military Intelligence,Tu Yueh-sen,1936,1964,1999,8,Political Specialist,Very High,kaiserreich Tu Yueh sen,X
550057,Foreign Minister,Jiang Qing,1936,1964,1999,8,The Cloak N Dagger Schemer,Very High,kaiserreich jiangqing,X
