ENG,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
1002,Head of Government,Stanley Baldwin,1936,1964,1999,5,Backroom Backstabber,High,M1002,X
1003,Foreign Minister,Anthony Eden,1936,1964,1999,5,Ideological Crusader,Medium,M1003,X
1004,Minister of Armament,Oswald Mosley,1936,1964,1999,0,Resource Industrialist,High,kaiserreich mosley1,X
1005,Minister of Security,John Simon,1936,1964,1999,5,Crime Fighter,High,M1005,X
1006,Head of Military Intelligence,Hugh Sinclair,1936,1964,1999,5,Logistics Specialist,Very High,kaiserreich sinclair,X
1010,Chief of Air Force,Owen Boyd,1936,1964,1999,5,Air Superiority Doctrine,High,kaiserreich tboyd,X
1036,Head of State,Nye Bevan,1936,1964,1999,2,Pig-headed Isolationist,High,Kaiserreich Nye Bevan,X
1037,Head of Government,Neville Chamberlain,1936,1964,1999,5,Naive Optimist,High,M1004,X
1040,Head of Government,Clement Attlee,1937,1964,1999,4,Silent Workhorse,High,kaiserreich attlee,X
1042,Head of Government,Oswald Mosley,1936,1964,1999,1,Flamboyant Tough Guy,High,kaiserreich mosley1,X
1043,Head of Government,Harry Pollitt,1936,1964,1999,2,Ambitious Union Boss,High,kaiserreich pollittdesk,X
1046,Foreign Minister,John Selwyn Lloyd,1944,1964,1999,5,Biased Intellectual,High,M1046,X
1047,Foreign Minister,Ernest Bevin,1937,1964,1999,2,The Cloak N Dagger Schemer,High,kaiserreich bevin,X
1048,Foreign Minister,Herbert Morrison,1936,1964,1999,4,Biased Intellectual,High,kaiserreich morrison,X
1049,Foreign Minister,William Joyce,1936,1964,1999,0,General Staffer,Low,kaiserreich joyce,X
1050,Foreign Minister,Arthur Wellesley,1939,1964,1999,7,Great Compromiser,Low,M1050,X
1051,Foreign Minister,Josslyn Erroll,1936,1964,1999,7,The Cloak N Dagger Schemer,Medium,M1051,X
