ETH,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
65001,Head of State,Haile Selassie I,1936,1964,1999,7,Stern Imperialist,High,M65001,X
65002,Head of Government,Bedjironde Tekle Hawariate,1936,1964,1999,7,Happy Amateur,High,M65002,X
65003,Foreign Minister,Herouy Wolde Selassie,1936,1964,1999,7,General Staffer,Very High,M65003,X
65004,Minister of Armament,Herouy Wolde Selassie,1936,1964,1999,7,Military Entrepreneur,Very High,M65003,X
65005,Minister of Security,Bedjironde Tekle Hawariate,1936,1964,1999,7,Crime Fighter,Very High,M65002,X
65006,Head of Military Intelligence,Haile Selassie I,1936,1964,1999,7,Logistics Specialist,Very High,M65001,X
65007,Chief of Staff,Ras Mulugueta,1936,1964,1999,7,School of Defence,Very High,M65007,X
65008,Chief of Army,Desta Damtew,1936,1964,1999,7,Guns and Butter Doctrine,Very High,M65008,X
65009,Chief of Navy,Ras Seyum,1936,1964,1999,8,Indirect Approach Doctrine,Very High,M65009,X
65010,Chief of Air Force,John Robinson,1936,1964,1999,7,Vertical Envelopment Doctrine,Medium,M65010,X
65032,Head of State,Lij Johannes,1936,1964,1999,8,Insignificant Layman,High,M65011,X
65034,Head of State,Ras Imru Haile Selassie,1936,1964,1999,6,Benevolent Gentleman,High,M65021,X
65036,Head of Government,Makonnen Endelkatchew,1941,1964,1999,7,Political Protege,High,M65036,X
65039,Head of Government,Ras Imru Haile Selassie,1936,1964,1999,6,Corporate Suit,High,M65021,X
65040,Head of Government,Blatta Zawde Belaineh,1941,1964,1999,6,Silent Workhorse,High,M65024,X
65042,Foreign Minister,Makonnen Endelkatchew,1941,1964,1999,7,Great Compromiser,High,M65036,X
65043,Foreign Minister,Aklilu Habtewold,1943,1964,1999,7,Biased Intellectual,Very High,M65043,X
65044,Foreign Minister,Mered Azmatch Asfa Wossen,1945,1964,1999,7,The Cloak N Dagger Schemer,High,M65044,X
65047,Foreign Minister,Ras Sega,1936,1964,1999,6,Biased Intellectual,Medium,M65023,X
65048,Foreign Minister,Dedja Zinatch Nadeon,1941,1964,1999,6,Iron Fisted Brute,Medium,M65029,X
65049,Foreign Minister,Tsehafe Taezaz,1943,1964,1999,6,Ideological Crusader,Very High,M65049,X
65050,Minister of Armament,Pierre Linant de Bellefonds,1937,1964,1999,7,Administrative Genius,Very High,M65050,X
65052,Minister of Armament,Tsehafe Taezaz,1945,1964,1999,7,Air Superiority Proponent,Very High,M65049,X
65055,Minister of Armament,Blatta Zawde Belaineh,1936,1964,1999,6,Resource Industrialist,Medium,M65024,X
65056,Minister of Armament,Wagshum Wosen Hailu,1941,1964,1999,6,Tank Proponent,Medium,M65056,X
65058,Minister of Security,Aklilu Habtewold,1941,1964,1999,7,Efficient Sociopath,Very High,M65058,X
65059,Minister of Security,Deajaz Gabremariam,1945,1964,1999,7,Compassionate Gentleman,Very High,M65059,X
65062,Minister of Security,Ras Gugsa Arya,1936,1964,1999,6,Compassionate Gentleman,Medium,M65025,X
65063,Minister of Security,Ato Fassika,1941,1964,1999,6,Prince of Terror,Medium,M65063,X
65065,Head of Military Intelligence,Fikre Selasse Katama,1941,1964,1999,7,Logistics Specialist,Very High,M65065,X
65066,Head of Military Intelligence,Tamrat Yigezu,1945,1964,1999,7,Dismal Enigma,Very High,M65066,X
65069,Head of Military Intelligence,Ras Imru Haile Selassie,1936,1964,1999,6,Political Specialist,Medium,M65021,X
65070,Head of Military Intelligence,Lij Araya Abebe,1941,1964,1999,6,Industrial Specialist,Medium,M65070,X
65071,Chief of Staff,Hapte Mikael Agafari,1937,1964,1999,7,School of Psychology,Very High,M65071,X
65072,Chief of Staff,Haile Wolde Rufe,1945,1964,1999,7,School of Mass Combat,Very High,M65072,X
65074,Chief of Staff,Woldemeskal Tariku,1936,1964,1999,6,School of Defence,Medium,M65027,X
65075,Chief of Staff,Abanefso Balcha,1941,1964,1999,6,School of Mass Combat,Medium,M65075,X
65077,Chief of Army,Haile Abba Mersa,1941,1964,1999,7,Decisive Battle Doctrine,Very High,M65077,X
65078,Chief of Army,Lij Abiye Abebe,1945,1964,1999,7,Armoured Spearhead Doctrine,High,M65078,X
65081,Chief of Army,Woldemeskal Tariku,1936,1964,1999,6,Guns and Butter Doctrine,Medium,M65027,X
65082,Chief of Army,Ras Kassa,1941,1964,1999,8,Static Defence Doctrine,Medium,M65018,X
65083,Chief of Army,Lij Abiye Abebe,1945,1964,1999,6,Armoured Spearhead Doctrine,High,M65078,X
65084,Chief of Navy,Wondossen Kassa,1937,1964,1999,7,Open Seas Doctrine,Medium,M65084,X
65087,Chief of Navy,Dedja Zinatch Nadeon,1936,1964,1999,6,Power Projection Doctrine,Medium,M65029,X
65089,Chief of Air Force,Mesfin Sileshi,1939,1964,1999,7,Carpet Bombing Doctrine,Medium,M65089,X
65092,Chief of Air Force,Gabriel Zawde Gilaneh,1936,1964,1999,6,Army Aviation Doctrine,Medium,M65030,X
65093,Head of State,Menelek III,1936,1964,1999,6,Insignificant Layman,High,M65012,X
65094,Foreign Minister,Ras Hailu Tekle Haimanot,1936,1964,1999,8,Iron Fisted Brute,Medium,M65013,X
65095,Minister of Armament,Ras Hailu Tekle Haimanot,1936,1964,1999,8,Corrupt Kleptocrat,Medium,M65013,X
65096,Minister of Security,Lij Asrate,1936,1964,1999,8,Silent Lawyer,Medium,M65061,X
65097,Head of Military Intelligence,Haile Selassie Gugsa,1936,1964,1999,8,Political Specialist,Medium,M65012,X
65099,Chief of Air Force,Fitauri Zawde Gobena,1936,1964,1999,8,Air Superiority Doctrine,Medium,M65020,X
65100,Head of Government,Haile Selassie Gugsa,1936,1964,1999,8,Naive Optimist,High,M65012,X
65101,Chief of Staff,Balcha Safo,1936,1964,1999,3,School of Mass Combat,Medium,ETH_balcha_safo,X
65102,Chief of Army,Balcha Safo,1936,1964,1999,3,Guns and Butter Doctrine,Medium,ETH_balcha_safo,X
65103,Chief of Air Force,Mishka Babitchef,1936,1964,1999,5,Vertical Envelopment Doctrine,Medium,ETH_mishka_babitchef,X
65104,Minister of Armament,Tessema Eshete,1936,1964,1999,5,Corrupt Kleptocrat,Medium,ETH_tessema_eshete,X
65105,Foreign Minister,Blantangeta Hiruy Wolde Selassie,1936,1964,1999,6,Great Compromiser,Medium,ETH_blantangeta,X
65106,Chief of Staff,Afework Wolde Semayit,1936,1964,1999,3,School of Defence,Medium,ETH_semayit,X
65107,Chief of Army,Afework Wolde Semayit,1936,1964,1999,3,Elastic Defence Doctrine,Medium,ETH_semayit,X
