FRA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
2001,Head of State,Albert Lebrun,1936,1964,1999,4,Barking Buffoon,High,M2001,X
2002,Head of Government,Albert Sarraut,1936,1964,1999,4,Happy Amateur,High,M2002,X
2003,Foreign Minister,Pierre Etienne Flandin,1936,1964,1999,4,Ideological Crusader,Low,M2003,X
2004,Minister of Armament,Vincent Auriol,1936,1964,1999,2,Administrative Genius,High,M2004,X
2005,Minister of Security,Marx Dormoy,1936,1964,1999,4,Compassionate Gentleman,Medium,M2005,X
2006,Head of Military Intelligence,Joseph Paganon,1936,1964,1999,4,Political Specialist,Medium,M2006,X
2007,Chief of Staff,Maurice Gamelin,1936,1964,1999,3,School of Fire Support,Very High,M2007,X
2008,Chief of Army,Maurice Gamelin,1936,1964,1999,3,Static Defence Doctrine,Very High,M2007,X
2009,Chief of Navy,François Darlan,1960,1964,1999,4,Open Seas Doctrine,High,M2009,X
2010,Chief of Air Force,Victor Denain,1936,1964,1999,4,Carpet Bombing Doctrine,Medium,M2010,X
2022,Head of State,Vincent Auriol,1946,1964,1999,2,Benevolent Gentleman,High,M2004,X
2023,Head of State,Daniel Mayer,1944,1964,1999,2,Weary Stiffneck,High,M2023,X
2030,Head of State,Maurice Thorez,1936,1964,1999,0,Powerhungry Demagogue,High,M2011,X
2031,Head of State,Charles de Gaulle,1940,1964,1999,6,Resigned Generalissimo,High,M2027,X
2032,Head of State,Jean de Bourbon,1938,1964,1999,7,Benevolent Gentleman,High,M2032,X
2033,Head of Government,Léon Blum,1936,1964,1999,2,Naive Optimist,High,M2033,X
2034,Head of Government,Felix Gouin,1940,1964,1999,3,Smiling Oilman,High,M2034,X
2035,Head of Government,Paul Ramadier,1946,1964,1999,2,Ambitious Union Boss,Very High,M2035,X
2036,Head of Government,Camille Chautemps,1937,1964,1999,4,Silent Workhorse,High,M2036,X
2037,Head of Government,Edouard Daladier,1938,1964,1999,3,Naive Optimist,High,M2037,X
2038,Head of Government,Paul Reynaud,1940,1964,1999,4,Political Protege,High,M2038,X
2039,Head of Government,Georges Bidault,1946,1964,1999,5,Old General,High,M2039,X
2040,Head of Government,Pierre Laval,1936,1964,1999,6,Flamboyant Tough Guy,High,M2040,X
2041,Head of Government,André Marie,1938,1964,1999,6,Happy Amateur,High,M2041,X
2042,Head of Government,Edouard Herriot,1940,1964,1999,6,Naive Optimist,High,M2042,X
2043,Head of Government,Antoine Henri Queuille,1941,1964,1999,6,Corporate Suit,High,M2043,X
2044,Head of Government,Jacques Duclos,1936,1964,1999,0,Backroom Backstabber,High,M2012,X
2045,Head of Government,Marcel Cachin,1936,1964,1999,0,Silent Workhorse,High,M2017,X
2046,Head of Government,Charles de Gaulle,1940,1964,1999,6,Old General,High,M2027,X
2047,Head of Government,Jean-Marie Lattre de Tassigny,1938,1964,1999,6,Old General,High,M2047,X
2049,Foreign Minister,Joseph Paul Boncour,1936,1964,1999,1,Ideological Crusader,Medium,M2049,X
2050,Foreign Minister,Pierre Comert,1936,1964,1999,0,The Cloak N Dagger Schemer,Medium,M2050,X
2051,Foreign Minister,Léon Blum,1936,1964,1999,2,Great Compromiser,Very High,M2033,X
2052,Foreign Minister,Yvon Delbos,1936,1964,1999,4,Biased Intellectual,Medium,M2048,X
2053,Foreign Minister,Georges Bonnet,1938,1964,1999,4,Iron Fisted Brute,Medium,M2053,X
2054,Foreign Minister,Edouard Daladier,1939,1964,1999,3,Great Compromiser,High,M2037,X
2055,Foreign Minister,Paul Reynaud,1940,1964,1999,4,Ideological Crusader,Undying,M2038,X
2056,Foreign Minister,George Bidault,1941,1964,1999,5,General Staffer,High,M2039,X
2057,Foreign Minister,Pierre Laval,1938,1964,1999,0,Great Compromiser,Undying,M2040,X
2058,Foreign Minister,Antoine Henri Queuille,1941,1964,1999,6,Iron Fisted Brute,High,M2043,X
2059,Foreign Minister,René Charron,1944,1964,1999,6,Apologetic Clerk,Medium,M2059,X
2060,Foreign Minister,Pierre Henri Watier,1947,1964,1999,6,Biased Intellectual,Medium,M2060,X
2061,Foreign Minister,René Lucien Massigli,1943,1964,1999,6,The Cloak N Dagger Schemer,High,M2061,X
2062,Foreign Minister,Marcel Cachin,1936,1964,1999,0,Biased Intellectual,Very High,M2017,X
2063,Foreign Minister,Marcel Gitton,1936,1964,1999,0,Apologetic Clerk,Medium,M2020,X
2064,Foreign Minister,Laurent Casenove,1937,1964,1999,1,Great Compromiser,Medium,M2064,X
2065,Foreign Minister,Jacques Duclos,1936,1964,1999,0,Ideological Crusader,Very High,M2012,X
2066,Foreign Minister,Maurice Bourges-Maunoroy,1938,1964,1999,7,General Staffer,High,M2066,X
2068,Minister of Armament,Edouard Daladier,1937,1964,1999,3,Laissez-Faire Capitalist,Low,M2037,X
2069,Minister of Armament,Louis Barthou,1936,1964,1999,3,Military Entrepreneur,Medium,M2069,X
2070,Minister of Armament,Léon Jouhaux,1936,1964,1999,1,Planned Economy Proponent,Medium,kaiserreich leonjouhaux,X
2071,Minister of Armament,Guy Mollet,1936,1964,1999,1,Bank President,Very High,M2071,X
2283,Head of Government,Guy Mollet,1950,1970,1999,1,Happy Amateur,Very High,M2071,X
2072,Minister of Armament,André Le Troquer,1947,1964,1999,3,Resource Industrialist,Medium,M2072,X
2073,Minister of Armament,Raoul Dautry,1936,1964,1999,4,Theoretical Scientist,High,M2073,X
2074,Minister of Armament,Louis Loucheur,1937,1964,1999,4,Air to Ground Proponent,Medium,M2074,X
2075,Minister of Armament,Albert Sarraut,1938,1964,1999,4,Laissez-Faire Capitalist,Low,M2002,X
2076,Minister of Armament,Marcel Hoden,1939,1964,1999,4,Air Superiority Proponent,Medium,M2076,X
2077,Minister of Armament,Charles de Gaulle,1940,1964,1999,6,Tank Proponent,High,M2027,X
2078,Minister of Armament,Georges Bonnet,1941,1964,1999,4,Resource Industrialist,Medium,M2053,X
2079,Minister of Armament,Jean Fabry,1936,1964,1999,6,Resource Industrialist,Medium,M2079,X
2080,Minister of Armament,Joseph Louis Avenol,1937,1964,1999,6,Battle Fleet Proponent,Medium,M2080,X
2081,Minister of Armament,Marie Emile Fayolle,1938,1964,1999,6,Infantry Proponent,Medium,M2081,X
2082,Minister of Armament,Edouard Herriot,1939,1964,1999,5,Laissez-Faire Capitalist,Medium,M2042,X
2083,Minister of Armament,Paul Marchandeau,1941,1964,1999,6,Administrative Genius,Medium,M2083,X
2084,Minister of Armament,André Marie,1941,1964,1999,6,Air Superiority Proponent,Medium,M2041,X
2085,Minister of Armament,Antoine Henri Queuille,1942,1964,1999,6,Air to Ground Proponent,High,M2043,X
2086,Minister of Armament,Louis Armand,1944,1964,1999,6,Tank Proponent,Medium,M2086,X
2087,Minister of Armament,Jules Romains,1947,1964,1999,6,Submarine Proponent,Medium,M2087,X
2088,Minister of Armament,Robert Schumann,1940,1964,1999,5,Administrative Genius,Medium,M2088,X
2089,Minister of Armament,Edmond Michelet,1944,1964,1999,6,Laissez-Faire Capitalist,Medium,M2089,X
2090,Minister of Armament,René Pleven,1945,1964,1999,5,Resource Industrialist,High,M2090,X
2091,Minister of Armament,Georges Lévy,1936,1964,1999,0,Administrative Genius,Medium,M2014,X
2092,Minister of Armament,Laurent Casenove,1937,1964,1999,1,Theoretical Scientist,Medium,M2064,X
2093,Minister of Armament,Jean Jérôme,1936,1964,1999,0,Planned Economy Proponent,Medium,M2093,X
2094,Minister of Armament,Benoît Frachon,1936,1964,1999,1,Industrialiser,Very High,kaiserreich benoitfrachon,X
2095,Minister of Armament,Auguste Lecoeur,1936,1964,1999,0,Military Entrepreneur,Medium,M2095,X
2096,Minister of Armament,Daniel Renoult,1936,1964,1999,1,Construction Magnate,Medium,M2096,X
2097,Minister of Armament,Jacques de Guillebon,1938,1964,1999,7,Resource Industrialist,Medium,M2097,X
2098,Minister of Security,Pierre Auguste Chardigny,1936,1964,1999,3,Prince of Terror,Low,M2098,X
2099,Minister of Security,Julien Luchaire,1936,1964,1999,1,Efficient Sociopath,Medium,M2099,X
2100,Minister of Security,Adrien Tixier,1936,1964,1999,1,Compassionate Gentleman,Very High,M2100,X
2101,Minister of Security,Henri Bonnet,1936,1964,1999,1,Back Stabber,Medium,M2101,X
2102,Minister of Security,Paul Ramadier,1941,1964,1999,2,Crime Fighter,High,M2035,X
2103,Minister of Security,Albert Lebrun,1946,1964,1999,3,Silent Lawyer,Medium,M2001,X
2104,Minister of Security,Jules Moch,1947,1964,1999,3,Man of the People,High,M2104,X
2105,Minister of Security,Pierre Pené,1936,1964,1999,4,Silent Lawyer,Medium,M2105,X
2106,Minister of Security,Arthur Fontaine,1937,1964,1999,4,Efficient Sociopath,Medium,M2106,X
2107,Minister of Security,Henri Roy,1938,1964,1999,4,Man of the People,Medium,M2107,X
2108,Minister of Security,Louis-Georges Mandel,1940,1964,1999,4,Crime Fighter,Low,M2108,X
2109,Minister of Security,Jean Maillet,1947,1964,1999,4,Back Stabber,High,M2109,X
2110,Minister of Security,Joseph Paganon,1936,1964,1999,6,Silent Lawyer,Medium,M2006,X
2111,Minister of Security,Gaston Alexandre Clauzel,1938,1964,1999,6,Man of the People,High,M2111,X
2112,Minister of Security,René Nicolau,1941,1964,1999,6,Compassionate Gentleman,High,M2112,X
2113,Minister of Security,André Marie,1947,1964,1999,6,Prince of Terror,Medium,M2041,X
2114,Minister of Security,Camille Chautemps,1940,1964,1999,6,Man of the People,Medium,M2036,X
2115,Minister of Security,Robert Schumann,1944,1964,1999,5,Crime Fighter,Medium,M2088,X
2116,Minister of Security,André Le Troquer,1943,1964,1999,3,Compassionate Gentleman,Medium,M2072,X
2117,Minister of Security,Lucien Midol,1936,1964,1999,0,Crime Fighter,High,M2015,X
2118,Minister of Security,Claudine Chomat,1937,1964,1999,0,Health and Safety,Very High,M2118,X
2119,Minister of Security,Henri Gourdeaux,1936,1964,1999,1,Silent Lawyer,High,M2119,X
2120,Minister of Security,Jean-Marie Clamamus,1940,1964,1999,0,Man of the People,Medium,M2120,X
2121,Minister of Security,Maurice Thorez,1936,1964,1999,0,Prince of Terror,Very High,M2011,X
2122,Minister of Security,Eugene Dunoyer de Segonzac,1938,1964,1999,7,Compassionate Gentleman,Very High,M2122,X
2123,Head of Military Intelligence,Roger Salengro,1936,1964,1999,1,Industrial Specialist,Medium,M2123,X
2124,Head of Military Intelligence,Felix Gouin,1936,1964,1999,2,Technical Specialist,Medium,M2034,X
2125,Head of Military Intelligence,Daniel Mayer,1936,1964,1999,2,Logistics Specialist,Medium,M2023,X
