GLD,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
551001,Head of State,Karol Olbracht Habsburg,1936,1964,1999,6,Stern Imperialist,High,kaiserreich karlalbrechtvH,x
551002,Head of Government,Alfred Potocki,1936,1964,1999,7,Political Protege,Medium,kaiserreich apotocki,x
551003,Foreign Minister,Maurycy Zamoyski,1936,1964,1999,7,Biased Intellectual,Medium,kaiserreich M_zamoyski,x
551004,Minister of Armament,Adam Krzyzanowski,1936,1964,1999,7,laissez-faire capitalist,High,kaiserreich akrzyzankowski,x
551005,Minister of Security,Franciszek Salezy Potocki,1936,1964,1999,7,Man of the People,Medium,kaiserreich fpotocki,x
551006,Head of Military Intelligence,Ottokar Brzoza-Brzezina,1936,1964,1999,8,Logistics Specialist,Medium,kaiserreich ottokar brzoza-brzezina,x
551007,Chief of Staff,Aleksander Litwinowicz,1936,1964,1999,7,School of Psychology,Medium,kaiserreich alitwinowicz,x
551008,Chief of Army,Jozef Haller von Hallenburg,1936,1964,1999,8,Guns and Butter Doctrine,High,hallenburg,x
551009,Chief of Navy,Karol Trzasko-Durski,1936,1964,1999,7,Decisive Naval Battle Doctrine,Medium,kaiserreich ktrzaskodurski,x
551010,Head of State,Ignacy Daszynski,1936,1964,1999,3,Die-hard Reformer,High,kaiserreich daszynski,x
551011,Head of State,Alfred Potocki,1936,1964,1999,7,Popular Figurehead,Medium,kaiserreich apotocki,x
551012,Head of State,Julian Ignacy Nowak,1936,1964,1999,6,Popular Figurehead,Medium,Kaiserreich julian nowak,x
551020,Head of Government,Jan Stapinski,1936,1964,1999,4,Flamboyant Tough Guy,High,Kaiserreich Stapinski,x
551021,Head of Government,Julian Ignacy Nowak,1936,1964,1999,6,Naive Optimist,Medium,Kaiserreich julian nowak,x
551022,Head of Government,Ignacy Daszynski,1936,1964,1999,3,Ambitious Union Boss,Very high,kaiserreich daszynski,x
551023,Head of Government,Wincenty Witos,1936,1964,1999,4,Ambitious Union Boss,Medium,Witos,x
551024,Head of Government,Jedrzej Moraczewski,1936,1964,1999,3,Naive Optimist,High,kaiserreich moraczewski,x
551025,Head of Government,Hieronim Tarnowski,1936,1964,1999,7,Happy Amateur,Medium,kaiserreich htarnowski,x
551030,Foreign Minister,Adam Prochnik,1936,1964,1999,3,iron fisted brute,Low,M13070,x
551031,Foreign Minister,Ignacy Daszynski,1936,1964,1999,3,Great Compromiser,Medium,kaiserreich daszynski,x
551032,Foreign Minister,Fryderyk Zoll,1936,1964,1999,6,Biased Intellectual,Medium,kaiserreich fzoll,x
551033,Foreign Minister,Wladyslaw Kiernik,1936,1964,1999,4,Apologetic Clerk,Medium,kaiserreich kiernik,x
551034,Foreign Minister,Jerzy Potocki,1936,1964,1999,7,Biased Intellectual,Medium,kaiserreich jpotocki,x
551035,Foreign Minister,Edward Raczynski,1936,1964,1999,6,Great Compromiser,Medium,M13059,x
551040,Minister of Armament,Boleslaw Drobner,1936,1964,1999,2,Corrupt Kleptocrat,High,kaiserreich drobner,x
551042,Minister of Armament,Eugeniusz Kwiatkowski,1936,1964,1999,7,Administrative Genius,High,M13052,x
551043,Minister of Armament,Michal Rola-Zymierski,1936,1964,1999,2,Tank Proponent,Medium,M13122,x
551044,Minister of Armament,Kazimierz Bartel,1936,1964,1999,4,Infantry Proponent,Medium,M13105,x
551045,Minister of Armament,Herman Liebermann,1936,1964,1999,3,Infantry Proponent,High,M13027,x
551050,Minister of Security,Jan Stapinski,1936,1964,1999,4,Efficient Sociopath,Medium,kaiserreich Stapinski,x
551051,Minister of Security,Jakub Bojko,1936,1964,1999,4,Man of the People,Medium,kaiserreich bojko,x
551052,Minister of Security,Michal Rostworowski,1936,1964,1999,6,Crime Fighter,Medium,kaiserreich mrostoworowski,x
551053,Minister of Security,Maciej Rataj,1936,1964,1999,4,Silent Lawyer,Medium,rataj,x
551054,Minister of Security,Jedrzej Moraczewski,1936,1964,1999,3,Compassionate Gentleman,Medium,kaiserreich moraczewski,x
551055,Minister of Security,Kazimierz Kumaniecki,1936,1964,1999,6,Silent Lawyer,Medium,kaiserriech kkumaniecki,x
551056,Minister of Security,Zygmunt Zulawski,1936,1964,1999,3,Efficient Sociopath,Medium,kaiserreich zzulawski,x
551057,Minister of Security,Metropolitan Andrey Sheptytsky,1936,1964,1999,6,Man of the People,Medium,kaiserreich asheptytsky,x
551060,Head of Military Intelligence,Henryk Sucharski,1936,1964,1999,6,Dismal Enigma,Very high,kaiserreich sucharski,x
551061,Head of Military Intelligence,Boleslaw Drobner,1936,1964,1999,2,Industrial Specialist,High,kaiserreich drobner,x
551065,Chief of Staff,Michal Rola-Zymierski,1936,1964,1999,2,School of Mass Combat,Medium,M13122,x
551066,Chief of Staff,Kazimierz Switalski,1936,1964,1999,7,School of Manoeuvre,Medium,M13102,x
551067,Chief of Staff,Herman Lieberman,1936,1964,1999,3,School of Psychology,Medium,M13027,x
551070,Chief of Army,Michal Rola-Zymierski,1936,1964,1999,2,Armoured Spearhead Doctrine,Medium,M13122,x
551071,Chief of Army,Kazimierz Switalski,1936,1964,1999,7,Decisive Battle Doctrine,Medium,M13102,x
551076,Chief of Air Force,Wladyslaw Kalkus,1936,1964,1999,7,Air Superiority Doctrine,Medium,M13136,x
551077,Chief of Navy,Tadeusz Morgenstern-Podjazd,1936,1964,1999,3,Open Seas Doctrine,Medium,kaiserreich tmorgensternpodjazd,x
551078,Foreign Minister,Julian Ignacy Nowak,1936,1964,1999,6,Great Compromiser,High,Kaiserreich julian nowak,x
551079,Minister of Security,Wincenty Witos,1936,1964,1999,4,Silent Lawyer,Medium,Witos,x
551080,Minister of Security,Herman Lieberman,1936,1964,1999,3,Compassionate Gentleman,Medium,M13027,x
551081,Head of State,Hieronim Tarnowski,1936,1964,1999,7,Popular Figurehead,Medium,kaiserreich htarnowski,x
551082,Head of State,S.K.u.K.M. Otto I von Habsburg,1936,1964,1999,7,young kaiser,High,kaiserreich ottoivh,x
551083,Head of State,Vasily Vavrik,1936,1964,1999,7,Popular Figurehead,High,GldVavrik,x
551084,Head of Government,Vasily Vavrik,1936,1964,1999,7,Flamboyant Tough Guy,High,GldVavrik,x
