GUA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
46001,Head of State,Jose Manuel Fortuny,1936,1964,1999,1,Die-hard Reformer,Medium,kaiserreich fortuny,x
46002,Head of Government,Víctor Manuel Gutiérrez,1936,1964,1999,1,Ambitious Union Boss,Medium,kaiserreich gutierrez,x
46003,Foreign Minister,Laura H. de Salazar,1936,1964,1999,2,Iron Fisted Brute,Medium,M77023,x
46004,Minister of Armament,Franco Hernandez Ávila,1936,1964,1999,1,Resource Industrialist,Medium,M77025,x
46005,Minister of Security,Augustín Farabundo Martí,1936,1964,1999,1,Man of the People,Medium,kaiserreich farabundo,x
46006,Head of Military Intelligence,Adrian Recinos,1936,1964,1999,2,Technical Specialist,Medium,M46016,x
46007,Chief of Staff,Augustín Farabundo Martí,1936,1964,1999,1,School of Fire Support,Medium,kaiserreich farabundo,x
46008,Chief of Army,Salvador Cayetano Carpio,1936,1964,1999,1,Guns and Butter Doctrine,Medium,kaiserreich cayetano,x
46009,Chief of Navy,Jorge Torriello Garrido,1936,1964,1999,2,Power Projection Doctrine,High,M46011,x
46010,Chief of Air Force,Francisco Javier Arana,1936,1964,1999,2,Vertical Envelopment Doctrine,Very High,M46027,x
,Replacements,,,,,,,,,x
46011,Head of State,Augustín Farabundo Martí,1936,1964,1999,1,Weary Stiffneck,High,M77021,x
46013,Head of State,Andrés Ignacio Menéndez,1936,1964,1999,3,Benevolent Gentleman,High,M77011,x
46014,Head of State,Romualdo Jímenez Oreamurio,1936,1964,1999,2,Ruthless Powermonger,High,M47001,x
46015,Head of State,Luis Cardenal,1936,1964,1999,1,Weary Stiffneck,High,M48021,x
46016,Head of State,Manuel Mora Valverde,1940,1964,1999,1,Insignificant Layman,High,M47021,x
46017,Head of State,Jacopo Arbenz Guzman,1944,1964,1999,2,Popular Figurehead,High,M46021,x
46018,Head of State,Otilio Ulate,1944,1964,1999,3,Benevolent Gentleman,High,M47031,x
46019,Head of State,Juan Arevalo Bermejo,1945,1964,1999,3,Die-hard Reformer,High,M46022,x
46020,Head of State,Isalino de Silva Londres,1947,1964,1999,2,Autocratic Charmer,High,M47040,x
46021,Head of Government,Luis Cardenal,1936,1964,1999,1,Flamboyant Tough Guy,High,M48021,x
46022,Head of Government,Jose Maria Cuellar,1936,1964,1999,1,Naive Optimist,High,M77022,x
46023,Head of Government,Francisco Javier Arana,1936,1964,1999,2,Naive Optimist,High,M46027,x
46024,Head of Government,Jose Figueres Ferrer,1936,1964,1999,3,Political Protege,High,M47041,x
46025,Head of Government,Guillermo Cuadra,1936,1964,1999,3,Ambitious Union Boss,High,M48012,x
46026,Head of Government,Manuel Mora Valverde,1940,1964,1999,1,Happy Amateur,High,M47021,x
46027,Head of Government,Andrés Ignacio Menéndez,1944,1964,1999,3,Naive Optimist,High,M77011,x
46028,Head of Government,Juan Arevalo Bermejo,1945,1964,1999,1,Backroom Backstabber,High,M46022,x
46029,Head of Government,Manuel Orellana,1945,1964,1999,3,Smiling Oilman,High,M46012,x
46030,Head of Government,Isalino de Silva Londres,1947,1964,1999,2,Political Protege,NA,M47040,x
46031,Foreign Minister,Luis Cardenal,1936,1964,1999,1,Ideological Crusader,Very High,M48021,x
46032,Foreign Minister,Julio Enrique Ávila,1936,1964,1999,3,Iron Fisted Brute,Medium,M77038,x
46033,Foreign Minister,Manuel Mora Valverde,1940,1964,1999,1,The Cloak N Dagger Schemer,Medium,M47021,x
46034,Foreign Minister,Carlos Argumedo Salazar,1944,1964,1999,2,The Cloak N Dagger Schemer,Medium,M46035,x
46035,Foreign Minister,Otilio Ulate,1944,1964,1999,3,The Cloak N Dagger Schemer,Very High,M47031,x
46036,Foreign Minister,Jorge Torriello Garrido,1945,1964,1999,3,General Staffer,Medium,M46011,x
46037,Foreign Minister,Enrique Muñoz Meany,1946,1964,1999,3,Biased Intellectual,Medium,M46037,x
46038,Foreign Minister,Luís Fernandéz Rodríguez,1947,1964,1999,3,Ideological Crusader,Medium,M47024,x
46039,Foreign Minister,Enrique Díaz Toledo,1947,1964,1999,2,Apologetic Clerk,Medium,M47066,x
46040,Foreign Minister,Franco Amerigo Paz,1948,1964,1999,7,Iron Fisted Brute,Medium,M77067,x
46041,Minister of Armament,Teophilo S. Grálles,1936,1964,1999,0,Strategic Air Proponent,Medium,M48024,x
46042,Minister of Armament,Luís Fernandéz Rodríguez,1936,1964,1999,1,Air to Ground Proponent,Medium,M47024,x
46043,Minister of Armament,Juan Arevalo Bermejo,1936,1964,1999,2,Resource Industrialist,Medium,M46022,x
46044,Minister of Armament,Jacopo Arbenz Guzman,1936,1964,1999,3,Infantry Proponent,Medium,M46021,x
46045,Minister of Armament,Julio Herrera,1945,1964,1999,2,Resource Industrialist,Medium,M46045,x
46046,Minister of Armament,Diego A. Castro Arigon,1946,1964,1999,3,Administrative Genius,Medium,M46044,x
46047,Minister of Armament,Ignacio Mendéz Alino,1947,1964,1999,2,Corrupt Kleptocrat,High,M47014,x
46048,Minister of Armament,Jose Figueres Ferrer,1944,1964,1999,3,Administrative Genius,Medium,M47041,x
46049,Minister of Armament,Calufa Fallas Sinaja,1947,1964,1999,3,Submarine Proponent,High,M47068,x
46050,Minister of Security,Franco Hernandez Ávila,1936,1964,1999,1,Compassionate Gentleman,Medium,M77025,x
46051,Minister of Security,Guillermo Cuadra,1936,1964,1999,3,Crime Fighter,High,M48012,x
46052,Minister of Security,Juan Y. Masquez,1936,1964,1999,2,Efficient Sociopath,Medium,M48025,x
46053,Minister of Security,Isalino de Silva Londres,1940,1964,1999,2,Crime Fighter,Low,M47040,x
46054,Minister of Security,Calufa Fallas Sinaja,1944,1964,1999,3,Silent Lawyer,Medium,M47068,x
46055,Minister of Security,Manuel Orellana,1944,1964,1999,2,Crime Fighter,Medium,M46012,x
46056,Minister of Security,Manuel Valladares,1945,1964,1999,3,Silent Lawyer,Medium,M46015,x
46057,Minister of Security,Carmen Lyra,1947,1964,1999,2,Prince of Terror,Low,M47025,x
46058,Minister of Security,Jose Figueres Ferrer,1947,1964,1999,3,Man of the People,High,M47041,x
46059,Head of Military Intelligence,Jose Figueres Ferrer,1936,1964,1999,3,Political Specialist,Medium,M47041,x
46060,Head of Military Intelligence,Juan Pablo Esquerra,1936,1964,1999,2,Dismal Enigma,Medium,M48026,x
46061,Head of Military Intelligence,Hugo Montés Ramirez,1940,1964,1999,1,Logistics Specialist,Medium,M47100,x
