HOL,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
8001,Head of State,H.K.H. Wilhelmina,1936,1964,1999,6,Stern Imperialist,High,M8001,x
8002,Head of Government,Hendricus Colijn,1936,1964,1999,5,Silent Workhorse,High,M8002,x
8003,Foreign Minister,Frans B. van Blokland,1936,1964,1999,6,Ideological Crusader,Low,M8003,x
8004,Minister of Armament,Pieter Oud,1936,1964,1999,5,Submarine Proponent,Medium,M8004,x
8005,Minister of Security,Josephus H.H. van Schaik,1936,1964,1999,5,Silent Lawyer,High,M8005,x
8006,Head of Military Intelligence,Johan W. van Oorschot,1936,1964,1999,6,Dismal Enigma,Very High,M8006,x
8007,Chief of Staff,Adriaan Dijxhoorn,1936,1964,1999,6,School of Defence,Very High,M8007,x
8008,Chief of Army,Izaak Reynders,1936,1964,1999,6,Static Defence Doctrine,Very High,M8008,x
8009,Chief of Navy,Johannes Furstner,1936,1964,1999,5,Indirect Approach Doctrine,High,M8009,x
8010,Chief of Air Force,Marius Raaijmakers,1936,1964,1999,5,Air Superiority Doctrine,High,M8010,x
8037,Head of State,H.K.H. Wilhelmina,1936,1964,1999,7,Stern Imperialist,High,M8001,x
8038,Head of State,Anton Mussert,1937,1964,1999,9,Barking Buffoon,High,M8011,x
8040,Head of State,Benjamin Boers,1936,1964,1999,0,Insignificant Layman,High,M8040,x
8041,Head of State,Jan Dieters,1940,1964,1999,0,Autocratic Charmer,High,M8041,x
8042,Head of State,Paul de Groot,1943,1964,1999,0,Ruthless Powermonger,High,M8021,x
8043,Head of Government,Johan Albarda,1936,1964,1999,3,Happy Amateur,High,M8043,x
8044,Head of Government,Louis Beel,1946,1964,1999,5,Smiling Oilman,High,M8044,x
8046,Head of Government,Pieter Gerbrandy,1939,1964,1999,5,Flamboyant Tough Guy,High,M8046,x
8047,Head of Government,Willem Schermerhorn,1945,1964,1999,5,Naive Optimist,High,M8047,x
8048,Head of Government,Andries Dirk de Graaf,1937,1964,1999,6,Happy Amateur,High,M8048,x
8049,Head of Government,Dirk Jan de Geer,1939,1964,1999,6,Political Protege,High,M8049,x
8050,Head of Government,Jan de Quay,1940,1964,1999,6,Happy Amateur,High,M8050,x
8051,Head of Government,Meinout Rost van Tonningen,1937,1964,1999,9,Backroom Backstabber,High,M8012,x
8052,Head of Government,Anton Mussert,1940,1964,1999,9,Ambitious Union Boss,High,M8011,x
