HUN,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
21001,Head of State,Miklós Horthy de Nagybánya,1936,1964,1999,8,Resigned Generalissimo,High,M21001,x
21002,Head of Government,Gyula Gömbös de Jakfa,1936,1964,1999,8,Flamboyant Tough Guy,High,M21002,x
21003,Foreign Minister,Kálmán Kánya,1936,1964,1999,8,Great Compromiser,Medium,M21003,x
21004,Minister of Armament,Tihamér Fabinyi,1936,1964,1999,8,Military Entrepreneur,Medium,M21004,x
21005,Minister of Security,Miklós Kozma,1936,1964,1999,8,Prince of Terror,Medium,M21005,x
21006,Head of Military Intelligence,Gyula Gömbös de Jakfa,1936,1964,1999,8,Political Specialist,High,M21002,x
21007,Chief of Staff,Gustáv Henneyey,1936,1964,1999,8,School of Mass Combat,High,M21007,x
21008,Chief of Army,István Shvoy,1936,1964,1999,8,Decisive Battle Doctrine,Medium,M21008,x
21009,Chief of Navy,Miklós Horthy de Nagybánya,1936,1964,1999,8,Decisive Naval Battle Doctrine,Medium,M21001,x
21010,Chief of Air Force,László Tomor,1936,1964,1999,8,Air Superiority Doctrine,Medium,M21010,x
21041,Head of State,Ferenc Szálasi,1936,1964,1999,9,Powerhungry Demagogue,High,M21021,x
21042,Head of State,Miklós Horthy de Nagybánya,1936,1964,1999,9,Resigned Generalissimo,High,M21001,x
21044,Head of State,S.K.u.K.M. Otto I von Habsburg,1936,1964,1999,7,Young Kaiser,High,kaiserreich ottoivh,x
21045,Head of State,Károly Peyer,1936,1964,1999,3,Insignificant Layman,High,M21045,x
21046,Head of State,Zoltán Tildy,1936,1964,1999,6,Autocratic Charmer,High,M21011,x
21047,Head of State,Zoltán Tildy,1936,1964,1999,0,Autocratic Charmer,High,M21011,x
21048,Head of State,Béla Zsedényi,1936,1964,1999,0,Stern Imperialist,High,M21031,x
21049,Head of State,Lászó Rajk,1936,1964,1999,0,Autocratic Charmer,High,M21035,x
21050,Head of State,Mátyás Rákosi,1936,1964,1999,0,Powerhungry Demagogue,High,M21032,x
21051,Head of Government,Döme Sztójay,1936,1964,1999,9,Happy Amateur,High,M21051,x
21052,Head of Government,Jenö Rácz,1936,1964,1999,9,Political Protege,High,M21022,x
21053,Head of Government,K. Darányi de Pusztaszentgyörgyi,1936,1964,1999,8,Smiling Oilman,High,M21053,x
21054,Head of Government,Béla Imrédy de Omoravia,1936,1964,1999,8,Corporate Suit,High,M21024,x
21055,Head of Government,Pál Teleki de Szek,1936,1964,1999,8,Naive Optimist,High,M21055,x
21056,Head of Government,László Bárdossy,1936,1964,1999,8,Silent Workhorse,High,M21056,x
21057,Head of Government,M. Kállay de Nagy-Kalló,1936,1964,1999,8,Happy Amateur,High,M21057,x
21058,Head of Government,Géza Lakatos,1936,1964,1999,8,Old General,High,M21058,x
21059,Head of Government,Béla Miklós de Dalnók,1936,1964,1999,7,Corporate Suit,High,M21059,x
21060,Head of Government,Karoly Barthá von Dálnokfalva,1936,1964,1999,7,Old General,High,M21060,x
21061,Head of Government,Arpád Szakasits,1936,1964,1999,3,Happy Amateur,High,M21061,x
21062,Head of Government,Zoltán Tildy,1936,1964,1999,6,Silent Workhorse,High,M21011,x
21063,Head of Government,Ferenc Nagy,1936,1964,1999,6,Happy Amateur,High,M21012,x
21064,Head of Government,László Rajk,1936,1964,1999,0,Flamboyant Tough Guy,High,M21035,x
21065,Head of Government,Mátyas Rákosi,1936,1964,1999,0,Backroom Backstabber,High,M21032,x
21066,Foreign Minister,Döme Sztójay,1936,1964,1999,9,Ideological Crusader,Medium,M21051,x
