IDC,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
543001,Head of State,H.M. Bao Dai,1936,1964,1999,4,Weary Stiffneck,High,M542001,x
543002,Head of Government,Ngo Dinh Diem,1936,1964,1999,4,Political Protege,High,M542018,x
543003,Foreign Minister,Tong Doc Phuong,1936,1964,1999,4,Apologetic Clerk,High,M542003,x
543004,Minister of Armament,Nguyen Van Tam,1936,1964,1999,4,Resource Industrialist,Medium,M542004,x
543005,Minister of Security,Ho Dac Trung,1936,1964,1999,4,Man of the People,Medium,M542005,x
543006,Head of Military Intelligence,Tran Gia Thoai,1936,1964,1999,4,Naval Intelligence Specialist,Medium,M542032,x
543007,Chief of Staff,Le Quan,1936,1964,1999,4,School of Fire Support,Medium,M542042,x
543008,Chief of Army,Duong Van Minh,1936,1964,1999,4,Armoured Spearhead Doctrine,Medium,M542046,x
543009,Chief of Navy,Nguyen Van Thinh,1936,1964,1999,4,Indirect Approach Doctrine,Medium,M542025,x
543010,Chief of Air Force,Nguyen Van Xuan,1936,1964,1999,4,Carpet Bombing Doctrine,High,M542023,x
543011,Head of State,Pol Pot,1936,1964,1999,0,Powerhungry Demagogue,High,M541014,x
543012,Head of State,Ho Chi Minh,1936,1964,1999,1,Ruthless Powermonger,High,M542012,x
543013,Head of State,H.R.H. Souphanou Vong,1936,1964,1999,2,Die-hard Reformer,High,M540012,x
543014,Head of State,H.M. Sisowath Monivong,1936,1964,1999,3,Benevolent Gentleman,High,M541001,x
543015,Head of State,Norodom Suramarit,1936,1964,1999,5,Barking Buffoon,High,M541012,x
543016,Head of State,H.M. Sasiavong Vong,1936,1964,1999,6,Pig-headed Isolationist,High,M540001,x
543017,Head of State,Sisowath Monipong,1936,1964,1999,7,Popular Figurehead,High,M541003,x
543018,Head of State,H.R.H. Khai Dinh,1936,1964,1999,8,Stern Imperialist,High,M542011,x
543019,Head of State,H.R.H. Savang Vatana,1936,1964,1999,9,Autocratic Charmer,High,M540011,x
543020,Head of Government,Khieu Samphan,1936,1964,1999,0,Smiling Oilman,High,M541022,x
543021,Head of Government,Truong Tchin,1936,1964,1999,1,Backroom Backstabber,High,M542019,x
543022,Head of Government,Khambulatom Oomau,1936,1964,1999,2,Happy Amateur,High,M540019,x
543023,Head of Government,H.R.H. Norodom Sihanouk,1936,1964,1999,3,Old Admiral,High,M541011,x
543024,Head of Government,Son Sann,1936,1964,1999,5,Silent Workhorse,High,M541020,x
543025,Head of Government,H.R.H. Phaya Khammao,1936,1964,1999,6,Corporate Suit,High,M540003,x
543026,Head of Government,Sisowath Sirik Matak,1936,1964,1999,7,Naive Optimist,High,M541021,x
543027,Head of Government,Ngo Dinh Diem,1936,1964,1999,8,Flamboyant Tough Guy,High,M542018,x
543028,Head of Government,Phetsarath Mahaouphatat,1936,1964,1999,9,Old General,High,M540008,x
543029,Foreign Minister,Leng Sary,1936,1964,1999,0,The Cloak N Dagger Schemer,High,M541027,x
543030,Foreign Minister,Pham Van Dong,1936,1964,1999,1,Ideological Crusader,High,M542024,x
543031,Foreign Minister,Phomvihanh Kaysone,1936,1964,1999,2,Iron Fisted Brute,High,M540020,x
543032,Foreign Minister,Sisowath Monipong,1936,1964,1999,3,Great Compromiser,High,M541003,x
543033,Foreign Minister,Phan Sina,1936,1964,1999,5,Biased Intellectual,High,M541025,x
543034,Foreign Minister,Sasorith Kataydon,1936,1964,1999,6,The Cloak N Dagger Schemer,High,M540021,x
543035,Foreign Minister,Krisan Cheda,1936,1964,1999,7,General Staffer,High,M541026,x
543036,Foreign Minister,Nguyen Van Xuan,1936,1964,1999,8,Ideological Crusader,High,M542023,x
543037,Foreign Minister,H.R.H. Boun Oum,1936,1964,1999,9,Iron Fisted Brute,High,M540010,x
543038,Minister of Armament,Nuon Chea,1936,1964,1999,0,Corrupt Kleptocrat,Medium,M541033,x
543039,Minister of Armament,Le Duan,1936,1964,1999,1,Military Entrepreneur,Medium,M542030,x
543040,Minister of Armament,H.R.H. Boun Oum,1936,1964,1999,2,Infantry Proponent,High,M540010,x
543041,Minister of Armament,Sisowath Monireth,1936,1964,1999,3,Tank Proponent,Medium,M541004,x
543042,Minister of Armament,Sam An,1936,1964,1999,5,Battle Fleet Proponent,Medium,M541031,x
543043,Minister of Armament,H.R.H. Souvanna Rath,1936,1964,1999,6,laissez-faire capitalist,High,M540009,x
543044,Minister of Armament,Norodom Phanouvong,1936,1964,1999,7,Submarine Proponent,Medium,M541032,x
543045,Minister of Armament,Le Van Hoac,1936,1964,1999,8,Theoretical Scientist,Medium,M542027,x
543046,Minister of Armament,H.R.H. Souvanna Rath,1936,1964,1999,9,Administrative Genius,Medium,M540009,x
543047,Minister of Security,Pol Pot,1936,1964,1999,0,Efficient Sociopath,Medium,M541014,x
543048,Minister of Security,The Lu,1936,1964,1999,1,Silent Lawyer,Medium,M542035,x
543049,Minister of Security,Phomvihanh Kaysone,1936,1964,1999,2,Prince of Terror,Medium,M540029,x
543050,Minister of Security,Sisowath Youtevong,1936,1964,1999,3,Compassionate Gentleman,Medium,M541005,x
543051,Minister of Security,Sisowath Monirak,1936,1964,1999,5,Crime Fighter,High,M541023,x
543052,Minister of Security,Aphay Khou,1936,1964,1999,6,Crooked Kleptocrat,Medium,M540034,x
543053,Minister of Security,Sakiwat Phirun,1936,1964,1999,7,Efficient Sociopath,Medium,M541037,x
543054,Minister of Security,Ngo Dinh Nhu,1936,1964,1999,8,Silent Lawyer,Medium,M542033,x
543055,Minister of Security,Phetsarath Mahaouphatat,1936,1964,1999,9,Prince of Terror,Medium,M540008,x
543056,Head of Military Intelligence,Tea Banh,1936,1964,1999,0,Dismal Enigma,Medium,M541043,x
543057,Head of Military Intelligence,Phan Huy Quat,1936,1964,1999,1,Political Specialist,Medium,M542039,x
543058,Head of Military Intelligence,Khambulatom Oomau,1936,1964,1999,2,Technical Specialist,Medium,M540019,x
543059,Head of Military Intelligence,Son Ngoc Thanh,1936,1964,1999,3,Industrial Specialist,Medium,M541006,x
543060,Head of Military Intelligence,Hy Weng,1936,1964,1999,5,Dismal Enigma,Medium,M541041,x
543061,Head of Military Intelligence,Savang Vong,1936,1964,1999,6,Political Specialist,Medium,M540037,x
543062,Head of Military Intelligence,Sisowath Youtevong,1936,1964,1999,7,Technical Specialist,Medium,M541005,x
543063,Head of Military Intelligence,Pham Toc Quia,1936,1964,1999,8,Industrial Specialist,Medium,M542038,x
543064,Head of Military Intelligence,Phousannani Kone,1936,1964,1999,9,Naval Intelligence Specialist,Medium,M540031,x
543065,Chief of Staff,Kieng Vang,1936,1964,1999,0,School of Mass Combat,Medium,M541047,x
543066,Chief of Staff,Vo Nguyen Giap,1936,1964,1999,1,School of Psychology,Medium,M542044,x
543067,Chief of Staff,Phichith Douangchai,1936,1964,1999,2,School of Defence,Medium,M540035,x
543068,Chief of Staff,Norodom Sihanouk,1936,1964,1999,3,School of Manoeuvre,Medium,M541044,x
543069,Chief of Staff,Chhun Lim,1936,1964,1999,5,School of Mass Combat,Medium,M541045,x
543070,Chief of Staff,H.R.H. Souphanou Vong,1936,1964,1999,6,School of Psychology,Medium,M540041,x
543071,Chief of Staff,Sisowath Monireth,1936,1964,1999,7,School of Defence,Medium,M541046,x
543072,Chief of Staff,Nguyen Huu Coo,1936,1964,1999,8,School of Manoeuvre,Medium,M542043,x
543073,Chief of Staff,Aphay Khou,1936,1964,1999,9,School of Fire Support,Medium,M540034,x
543074,Chief of Army,Son Sen,1936,1964,1999,0,Guns and Butter Doctrine,Medium,M541051,x
543075,Chief of Army,Ho Chi Minh,1936,1964,1999,1,Elastic Defence Doctrine,Medium,M542047,x
543076,Chief of Army,Vang Pao,1936,1964,1999,2,Static Defence Doctrine,Medium,M540038,x
543077,Chief of Army,Sisowath Monireth,1936,1964,1999,3,Decisive Battle Doctrine,High,M541046,x
543078,Chief of Army,Sisowath Watchayavong,1936,1964,1999,5,Guns and Butter Doctrine,Medium,M541049,x
543079,Chief of Army,Phetsarath Mahaouphatat,1936,1964,1999,6,Elastic Defence Doctrine,Medium,M540008,x
543080,Chief of Army,Lon Nol,1936,1964,1999,7,Static Defence Doctrine,Medium,M541035,x
543081,Chief of Army,Duong Van Minh,1936,1964,1999,8,Decisive Battle Doctrine,Medium,M542046,x
543082,Chief of Army,Savang Vong,1936,1964,1999,9,Armoured Spearhead Doctrine,Medium,M540037,x
543083,Chief of Navy,You Hok Kry,1936,1964,1999,0,Base Control Doctrine,Medium,M541055,x
543084,Chief of Navy,Thrang Tun Doc,1936,1964,1999,1,Power Projection Doctrine,Medium,M542052,x
543085,Chief of Navy,H.R.H. Souphanou Vong,1936,1964,1999,2,Open Seas Doctrine,Medium,M540041,x
543086,Chief of Navy,Lon Nol,1936,1964,1999,3,Decisive Naval Battle Doctrine,Medium,M541035,x
543087,Chief of Navy,Hy Weng,1936,1964,1999,5,Base Control Doctrine,Medium,M541041,x
543088,Chief of Navy,H.R.H. Souvanna Rath,1936,1964,1999,6,Power Projection Doctrine,Medium,M540009,x
543089,Chief of Navy,Norodom Sihanouk,1936,1964,1999,7,Open Seas Doctrine,Medium,M541054,x
543090,Chief of Navy,Ho Tan Quyen,1936,1964,1999,8,Decisive Naval Battle Doctrine,Medium,M542051,x
543091,Chief of Navy,Aphay Khou,1936,1964,1999,9,Indirect Approach Doctrine,Medium,M540034,x
543092,Chief of Air Force,Proum Sokha,1936,1964,1999,0,Vertical Envelopment Doctrine,Medium,M541059,x
543093,Chief of Air Force,Nguyen Huu Tho,1936,1964,1999,1,Air Superiority Doctrine,Medium,M542055,x
543094,Chief of Air Force,Vang Pao,1936,1964,1999,2,Army Aviation Doctrine,Medium,M540038,x
543095,Chief of Air Force,Chai Saing Yun,1936,1964,1999,3,Naval Aviation Doctrine,Medium,M541029,x
543096,Chief of Air Force,Sisowath Youtevong,1936,1964,1999,5,Vertical Envelopment Doctrine,High,M541005,x
