IND,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
59001,Head of State,Osman Ali Khan,1936,1964,1999,8,Powerhungry Demagogue,High,INDOsm,X
59002,Head of Government,Council of Princes,1936,1964,1999,7,The Gun-Salute Legislature,High,INDPri,X
59003,Foreign Minister,Maharaja Kishen Pershad,1936,1964,1999,7,Great Compromiser,High,INDKis,X
59004,Minister of Armament,Mokshagundam Visveswaraiah,1936,1964,1999,7,Construction Magnate,High,INDMok,X
59005,Minister of Security,Albion Rajkumar Banerjee,1936,1964,1999,7,Silent Lawyer,Very High,INDAlb,X
59006,Head of Military Intelligence,Nawab Nisar Ahmed Khan,1936,1964,1999,7,Political Specialist,High,INDNis,X
59007,Chief of Staff,Osman Ali Khan,1936,1964,1999,7,School of Fire Support,High,INDOsm,X
59008,Chief of Army,Nawab Khwaja Habibullah Bahadur,1936,1964,1999,7,Static Defence Doctrine,High,INDHab,X
59009,Chief of Navy,Mir Ahmed Ali,1936,1964,1999,7,Power Projection Doctrine,Medium,INDMir,X
59010,Chief of Air Force,Mir Yousuf Ali Khan,1936,1964,1999,7,Naval Aviation Doctrine,High,INDYou,X
59011,Head of State,Krishna Raja Wadiyar IV,1960,1964,1999,6,Benevolent Gentleman,High,INDKri,X
59012,Head of State,Jayachamarajendra Wadiyar,1960,1964,1999,6,Popular Figurehead,High,INDJay,X
59013,Head of Government,Mirza Muhammad Ismail,1936,1964,1999,6,Silent Workhorse,High,INDMirz,X
59014,Head of Government,Krushna Chandra Gajapati,1936,1964,1999,7,Respected War Hero,High,INDKru,X
59015,Foreign Minister,Muhammad Ahmad Said Khan Chhatari,1936,1964,1999,7,General Staffer,High,INDMuh,X
59016,Foreign Minister,Chithira Thirunal Balarama Varma,1936,1964,1999,7,Apologetic Clerk,High,INDChi,X
59017,Foreign Minister,Krushna Chandra Gajapati,1936,1964,1999,7,Ideological Crusader,High,INDKru,X
59018,Foreign Minister,Mirza Muhammad Ismail,1936,1964,1999,7,Biased Intellectual,High,INDMirz,X
59019,Minister of Armament,Akbar Hydari,1936,1964,1999,6,Keynesian Economy,High,INDAkb,X
59020,Minister of Armament,George Jivajirao Scindia,1936,1964,1999,7,Military Entrepreneur,High,INDGeo,X
59021,Minister of Armament,Aga Khan III,1936,1964,1999,7,Laissez-Faire Capitalist,High,INDAga,X
59022,Minister of Security,T. Raghavaiah,1936,1964,1999,7,Efficient Sociopath,Very High,INDRag,X
59023,Minister of Security,Sayyid Wasif Ali Mirza Khan Bahadur,1936,1964,1999,7,Compassionate Gentleman,Very High,INDSay,X
59024,Minister of Security,Syed Kasim Razvi,1936,1964,1999,7,Prince of Terror,Very High,INDKas,X
59025,Minister of Security,Nawab Muhammad Habibullah,1936,1964,1999,7,Back Stabber,Very High,INDHabi,X
59026,Head of Military Intelligence,Rajendrasinhji Jadeja,1936,1964,1999,6,Logistics Specialist,High,INDRaj,X
59027,Head of Military Intelligence,Azam Jah of Berar,1936,1964,1999,8,Dismal Enigma,High,INDAza,X
59028,Head of Military Intelligence,Krishna Raja Wadiyar IV,1936,1964,1999,7,Technical Specialist,High,INDKri,X
59029,Chief of Staff,Rajendrasinhji Jadeja,1936,1964,1999,6,School of Manoeuvre,High,INDRaj,X
59030,Chief of Staff,Kodandera Madappa Cariappa,1936,1964,1999,7,School of Defence,High,INDKod,X
59031,Chief of Staff,Muhammad Ahmad Said Khan Chhatari,1936,1964,1999,7,School of Psychology,High,INDMuh,X
59032,Chief of Army,Kodendera Subayya Thimayya,1936,1964,1999,7,Static Defence Doctrine,High,INDThi,X
59033,Chief of Army,Azam Jah of Berar,1936,1964,1999,7,Decisive Battle Doctrine,High,INDAza,X
59034,Chief of Air Force,H.K Patel,1936,1964,1999,7,Air Superiority Doctrine,High,INDPat,X
59035,Chief of Air Force,Abdul Naeem Aziz,1936,1964,1999,6,Army Aviation Doctrine,High,INDAzi,X
59036,Chief of Air Force,Syed Abbas Hussain,1936,1964,1999,6,Carpet Bombing Doctrine,High,INDAbb,X
59037,Chief of Air Force,Alexander Joseph Sathyanathan,1936,1964,1999,7,Air Superiority Doctrine,High,INDAle,X
59038,Chief of Air Force,Jagdish Chandra Varma,1936,1964,1999,6,Vertical Envelopment Doctrine,High,INDVar,X
59039,Chief of Air Force,Hrushikesh Moolgavkar,1936,1964,1999,6,Air Superiority Doctrine,High,INDMoo,X
59040,Chief of Air Force,Aspy Merwan Engineer,1936,1964,1999,7,Army Aviation Doctrine,High,INDAsp,X
59041,Chief of Navy,D. N. Mukerji,1936,1964,1999,7,Base Control Doctrine,High,INDMuk,X
59042,Chief of Navy,Adhar Kumar Chatterjee,1936,1964,1999,7,Indirect Approach Doctrine,High,INDCha,X
59043,Chief of Navy,Ram Dass Katari,1936,1964,1999,7,Indirect Approach Doctrine,High,INDRam,X
59044,Chief of Army,Rajaram II of Kolhapur,1936,1964,1999,7,Elastic Defence Doctrine,High,INDRajaram,X
59045,Chief of Army,Bir Bikram Kishore Debbarman,1936,1964,1999,7,Decisive Battle Doctrine,High,INDBik,X
59046,Minister of Security,Burgula Ramakrishna Rao,1936,1964,1999,4,Man of the People,Very High,INDBur,X
59047,Chief of Staff,Syed Ahmed El Edroos,1936,1964,1999,8,School of Fire Support,High,INDEdr,X
59048,Minister of Security,Nawab Deen Yar Jung Bahadur,1936,1964,1999,7,Crime Fighter,Very High,INDDee,X
59049,Minister of Security,Raja Bahadur Venkatarama Reddy,1936,1964,1999,7,Man of the People,Very High,INDVen,X
59050,Head of Military Intelligence,Azizul Haque,1936,1964,1999,7,Political Specialist,High,INDHaq,X
59051,Head of Government,Osman Ali Khan,1960,1964,1999,8,Flamboyant Tough Guy,High,INDOsm,X
59052,Head of Government,Akbar Hydari,1936,1964,1999,6,Corporate Suit,High,INDAkb,X
59053,Minister of Armament,Nawab Mir Alam Ali Khan,1936,1964,1999,6,Administrative Genius,High,INDAla,X
59054,Chief of Army,Nawab Subhan Ali Khan,1936,1964,1999,7,Armoured Spearhead Doctrine,High,INDSub,X
59055,Chief of Staff,Nawab Subhan Ali Khan,1936,1964,1999,7,School of Mass Combat,High,INDSub,X
59056,Chief of Army,Nawab Hashim Nawaz Jung,1936,1964,1999,7,Armoured Spearhead Doctrine,High,INDNaw,X
59057,Head of Government,Nawab Fazal Nawaz Jung Bahadur,1936,1964,1999,6,Smiling Oilman,High,INDFaz,X
59058,Minister of Armament,Nawab Fazal Nawaz Jung Bahadur,1936,1964,1999,6,Balanced Budget Economy,High,INDFaz,X
59059,Foreign Minister,Kazi Zainul Abedin,1936,1964,1999,6,Great Compromiser,High,INDKaz,X
59060,Head of Government,Madapati Hanumantha Rao,1936,1964,1999,5,Naive Optimist,High,INDMad,X
59061,Minister of Armament,Muhammad Raziuddin Siddiqui,1939,1964,1999,6,Laissez-Faire Capitalist,High,INDRaz,X
59062,Chief of Air Force,Shri Krishna Chandra Welingkar,1936,1964,1999,6,Air Superiority Doctrine,High,INDWel,X
59063,Minister of Security,Harilal Jekisundas Kania,1936,1964,1999,6,Back Stabber,Very High,INDJek,X
59064,Head of Military Intelligence,Vijayasinhrao Fatehsinhrao Bhonsle,1936,1964,1999,7,Dismal Enigma,High,INDFat,X
59065,Foreign Minister,Shri Khwaja Moin ud-din Khan,1936,1964,1999,5,Great Compromiser,High,INDKwh,X
59066,Chief of Air Force,Yeshwantrao Martandrao Mukne,1936,1964,1999,6,Carpet Bombing Doctrine,High,INDYes,X
59067,Head of Government,Krishna Raja Wadiyar IV,1936,1964,1999,7,Flamboyant Tough Guy,High,INDKri,X
59068,Head of Government,Jayachamarajendra Wadiyar,1936,1964,1999,7,Naive Optimist,High,INDJay,X
59069,Head of Government,Chithira Thirunal Balarama Varma,1936,1964,1999,6,Ambitious Union Boss,High,INDChi,X
59070,Head of Government,Rajaram II of Kolhapur,1936,1964,1999,7,Old General,High,INDRajaram,X
59071,Chief of Staff,Rao Raja Kalyan Singh Bahadur,1936,1964,1999,6,School of Defence,High,INDKal,X
59072,Chief of Army,Nawab Sidi Mohamad Haidar Khan,1936,1964,1999,7,Guns and Butter Doctrine,High,INDSid,X
59073,Minister of Security,M. Patanjali Sastri,1936,1964,1999,7,Crime Fighter,High,U35Pat,X
59074,Head of Military Intelligence,Annepu Parasuramdas Patro,1936,1964,1999,7,Political Specialist,High,U35Ann,X
59075,Foreign Minister,C.S. Ranga Iyer,1936,1964,1999,6,Great Compromiser,High,U35CSR,X
59076,Foreign Minister,S. Rm. M. Annamalai Chettiar,1936,1964,1999,7,Biased Intellectual,High,U35Uhm,X
