KUR,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
548001,Head of State,Seyid Riza Dershimi,1936,1964,1999,7,Pig-headed Isolationist,High,M548001,x
548002,Head of Government,Sayed Mehmed Celaleddin,1936,1964,1999,7,Silent Workhorse,High,M548002,x
548003,Foreign Minister,Demir Cabrial,1936,1964,1999,7,Iron Fisted Brute,High,M548003,x
548004,Minister of Armament,Mehmed Emin Pasha,1936,1964,1999,7,laissez-faire capitalist,Medium,M548004,x
548005,Minister of Security,Abdulmecid Zörlü,1936,1964,1999,7,Crime Fighter,Medium,M548005,x
548006,Head of Military Intelligence,Cancin Üruisamoglu,1936,1964,1999,7,Technical Specialist,Medium,M548006,x
548007,Chief of Staff,Sarkis Demirkol,1936,1964,1999,7,School of Psychology,Medium,M548007,x
548008,Chief of Army,Hazhir Öcalan,1936,1964,1999,7,Guns and Butter Doctrine,Medium,M548008,x
548009,Chief of Navy,Erden Zafavi,1936,1964,1999,7,Open Seas Doctrine,Medium,M548009,x
548010,Chief of Air Force,Sarkis Demirkol,1936,1964,1999,7,Naval Aviation Doctrine,Medium,M548007,x
548011,Head of State,Qazi Mohammed,1936,1964,1999,4,Autocratic Charmer,High,M548011,x
548012,Head of State,Mustapha Barzani,1936,1964,1999,2,Die-hard Reformer,High,M548012,x
548013,Head of Government,Sayfi Qazi,1936,1964,1999,4,Naive Optimist,High,M548013,x
548014,Head of Government,Cami Teimourian,1936,1964,1999,2,Ambitious Union Boss,High,M548014,x
548015,Foreign Minister,Sadri Qazi,1936,1964,1999,4,Ideological Crusader,High,M548015,x
548016,Foreign Minister,Arbil R. Ghassemlou,1936,1964,1999,2,Great Compromiser,High,M548016,x
548017,Minister of Armament,Nuri Dersimi,1936,1964,1999,4,Tank Proponent,Medium,M548017,x
548018,Minister of Armament,Khalil Zada,1936,1964,1999,2,Infantry Proponent,Medium,M548018,x
548019,Minister of Security,Werner Best,1942,1964,1999,7,Prince of Terror,Medium,M548019,x
548020,Minister of Security,Jaa'far Na'imi,1936,1964,1999,4,Compassionate Gentleman,Medium,M548020,x
548021,Minister of Security,Fikret Raif,1936,1964,1999,2,Back Stabber,Medium,M548021,x
548022,Minister of Security,Mahmad Kazimi,1942,1964,1999,2,Man of the People,Medium,M548022,x
548023,Head of Military Intelligence,sir Ernest Milford,1936,1964,1999,4,Political Specialist,Medium,M548023,x
548024,Head of Military Intelligence,Osman Lukhman,1936,1964,1999,2,Logistics Specialist,Medium,M548024,x
548025,Chief of Staff,Bala Yigit,1936,1964,1999,4,School of Mass Combat,Medium,M548025,x
548026,Chief of Staff,Gholamhassan Roohizadegan,1936,1964,1999,2,School of Fire Support,Medium,M548026,x
548027,Chief of Army,Devrim Tanju,1936,1964,1999,4,Static Defence Doctrine,Medium,M548027,x
548028,Chief of Army,Mustapha Barzani,1936,1964,1999,2,Elastic Defence Doctrine,Medium,M548028,x
548029,Chief of Navy,Ohmed Aqiqat,1936,1964,1999,4,Indirect Approach Doctrine,Medium,M548029,x
548030,Chief of Navy,Hasbi Killic,1936,1964,1999,2,Base Control Doctrine,Medium,M548030,x
548031,Chief of Air Force,Abbas Za'irpur,1936,1964,1999,4,Carpet Bombing Doctrine,Medium,M548031,x
548032,Chief of Air Force,Borna Vardad,1936,1964,1999,2,Army Aviation Doctrine,Medium,M548032,x
548033,Head of State,Mahmud Barzanji I,1936,1964,1999,5,Pig-headed Isolationist,High,mahmud_barzanji,x
548034,Chief of Staff,Mustafa Pasha Yamolki,1936,1964,1999,5,School of Fire Support,High,MustafaPashaYamolki,x
548035,Foreign Minister,Jaladat Ali Badirkhan,1936,1964,1999,5,Great Compromiser,High,JaladatAliBadirkhan,x
548036,Head of Government,Sheikh Ahmad Barzani,1936,1964,1999,3,Silent Workhorse,High,sheikh_Ahmad_Barzani,x
548037,Head of State,Sarkis Demirkol,1936,1964,1999,7,Resigned Generalissimo,Medium,M548007,x
548038,Head of Government,Hazhir Öcalan,1936,1964,1999,7,Old General,Medium,M548008,x
