KYG,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
521001,Head of State,Igor P. Donyak,1936,1964,1999,1,Stern Imperialist,High,M521001,X
521002,Head of Government,Nikolai Bogolyubhov,1936,1964,1999,1,Corporate Suit,High,M521002,X
521003,Foreign Minister,Maksim Ammosov,1936,1964,1999,1,Ideological Crusader,High,M521003,X
521004,Minister of Armament,Kalina Amankulova,1936,1964,1999,1,Administrative Genius,Medium,M521004,X
521005,Minister of Security,Turabej Kuletov,1936,1964,1999,1,Man of the People,Medium,M521005,X
521006,Head of Military Intelligence,Igor N. Barakhov,1936,1964,1999,1,Political Specialist,Medium,M521006,X
521007,Chief of Staff,Karun Dushebaev,1936,1964,1999,1,School of Psychology,Medium,M521007,X
521008,Chief of Army,Nazhe Dudin,1936,1964,1999,7,Elastic Defence Doctrine,Medium,M526040,X
521009,Chief of Navy,Egor Rall,1936,1964,1999,1,Power Projection Doctrine,Medium,L10438,X
521010,Chief of Air Force,Tryfil Sokolov,1936,1964,1999,1,Air Superiority Doctrine,Medium,M521010,X
521011,Head of State,Ivan F. Sokolov,1936,1964,1999,3,Pig-headed Isolationist,High,M521011,X
521012,Head of State,Baten Dzhumabayev,1936,1964,1999,5,Autocratic Charmer,High,M521012,X
521013,Head of State,Kazym Tynystanov,1936,1964,1999,7,Ruthless Powermonger,High,M521013,X
521014,Head of Government,Maksim Rebrov,1936,1964,1999,3,Flamboyant Tough Guy,High,M521014,X
521015,Head of Government,Andrej V. Sokolov,1936,1964,1999,5,Happy Amateur,High,M521015,X
521016,Head of Government,Zeki Validov,1936,1964,1999,7,Smiling Oilman,High,M521016,X
521017,Foreign Minister,Abdukadyr Urazbekov,1936,1964,1999,1,General Staffer,High,M521017,X
521018,Foreign Minister,Yosip Abdrokhmanov,1936,1964,1999,1,Great Compromiser,High,M521018,X
521019,Foreign Minister,Nachum Sokolov,1936,1964,1999,3,Biased Intellectual,High,M521019,X
521020,Foreign Minister,Gulzat Everstov,1936,1964,1999,3,Apologetic Clerk,High,M521020,X
521021,Foreign Minister,Nazira Dauletova,1936,1964,1999,5,Apologetic Clerk,High,M521021,X
521022,Foreign Minister,Mukhtar Dzhangalin,1936,1964,1999,7,Great Compromiser,High,M521022,X
521023,Foreign Minister,Vassil Dyankonov,1936,1964,1999,7,Iron Fisted Brute,High,M521023,X
521024,Minister of Armament,Abdulzhatir Jildizbek,1936,1964,1999,1,Infantry Proponent,Medium,M521024,X
521025,Minister of Armament,Sultankul Shamurzin,1936,1964,1999,1,Air to Ground Proponent,Medium,M521025,X
521026,Minister of Armament,Alik Bakytuul,1936,1964,1999,3,Tank Proponent,Medium,M521026,X
521027,Minister of Armament,Yurij Mitrpoliskiyi,1936,1964,1999,3,Theoretical Scientist,Medium,M521027,X
521028,Minister of Armament,Viktor Glushkov,1936,1964,1999,5,Theoretical Scientist,Medium,M521028,X
521029,Minister of Armament,Sultan Bakytbek,1936,1964,1999,7,Air to Ground Proponent,Medium,M521029,X
521030,Minister of Armament,Adilet Rustamov,1936,1964,1999,7,Corrupt Kleptocrat,Medium,M521030,X
521031,Minister of Security,Aleksiyi Vagov,1936,1964,1999,1,Efficient Sociopath,Medium,M521031,X
521032,Minister of Security,Bayali Isakaiev,1936,1964,1999,1,Crime Fighter,Medium,M521032,X
521033,Minister of Security,Boris Shapurchirnikov,1936,1964,1999,3,Silent Lawyer,Medium,M521033,X
521034,Minister of Security,Rozhira Tshugel,1936,1964,1999,3,Back Stabber,Medium,M521034,X
521035,Minister of Security,Jelena Shemeleva,1936,1964,1999,5,Prince of Terror,Medium,M521035,X
521036,Minister of Security,Murat Salikhov,1936,1964,1999,7,Back Stabber,Medium,M521036,X
521037,Minister of Security,Iban Pryadezhnikov,1936,1964,1999,7,Prince of Terror,Medium,M521037,X
521038,Head of Military Intelligence,Mikhail Us,1936,1964,1999,1,Industrial Specialist,Medium,M521038,X
521039,Head of Military Intelligence,Azamat Cholponbek,1936,1964,1999,3,Logistics Specialist,Medium,M521039,X
521040,Head of Military Intelligence,Ibrahim Validov,1936,1964,1999,5,Technical Specialist,Medium,M521040,X
521041,Head of Military Intelligence,Jyrgaluul Adilet,1936,1964,1999,5,Logistics Specialist,Medium,M521041,X
521042,Head of Military Intelligence,Maryam Tugambajeva,1936,1964,1999,7,Political Specialist,Medium,M521042,X
521043,Head of Military Intelligence,Aziz Mirul,1936,1964,1999,7,Technical Specialist,Medium,M521043,X
521044,Chief of Staff,Isamil Abuzyarov,1936,1964,1999,1,School of Manoeuvre,Medium,M521044,X
521045,Chief of Staff,Ivan Rednikov,1936,1964,1999,3,School of Manoeuvre,Medium,M521045,X
521046,Chief of Staff,Yagur Baranov,1936,1964,1999,5,School of Mass Combat,Medium,M521046,X
521048,Chief of Army,Malagoza Tahabayev,1936,1964,1999,1,Static Defence Doctrine,Medium,M521048,X
521049,Chief of Army,Baktit Goryashenko,1936,1964,1999,3,Armoured Spearhead Doctrine,Medium,M521049,X
521050,Chief of Army,Evgennij Sokolov,1936,1964,1999,5,Elastic Defence Doctrine,Medium,M521050,X
521051,Chief of Army,Uraz Dzshandosov,1936,1964,1999,7,Decisive Battle Doctrine,Medium,M521051,X
521052,Chief of Navy,Asmaly Toluboyev,1936,1964,1999,1,Base Control Doctrine,Medium,M521052,X
521053,Chief of Navy,Gilnara Popov,1936,1964,1999,3,Decisive Naval Battle Doctrine,Medium,M521053,X
521054,Chief of Navy,Kuban Bakuulbek,1936,1964,1999,5,Base Control Doctrine,Medium,M521054,X
521055,Chief of Navy,Mihai Dratsenko,1936,1964,1999,7,Indirect Approach Doctrine,Medium,L500120,X
521056,Chief of Air Force,Mikhail Us,1936,1964,1999,1,Naval Aviation Doctrine,Medium,M521038,X
521058,Chief of Air Force,Pavel Shamaev,1936,1964,1999,5,Army Aviation Doctrine,Medium,M521058,X
521059,Chief of Air Force,Ismael Petrikov,1936,1964,1999,7,Army Aviation Doctrine,Medium,M525043,X
521060,Head of State,Polvoniz Yusopov,1936,1964,1999,7,Weary Stiffneck,High,M526012,X
521061,Head of Government,Abdurahim Martemyanov,1936,1964,1999,7,Silent Workhorse,High,M526014,X
521062,Foreign Minister,Alisher Ivanov,1936,1964,1999,7,Great Compromiser,High,M526019,X
521063,Minister of Armament,Babur Ipatiev,1936,1964,1999,7,Air Superiority Proponent,Medium,M526024,X
521064,Minister of Armament,Bahauddin Gorchakov,1936,1964,1999,7,Military Entrepreneur,Medium,M526025,X
521065,Minister of Security,Mammaduli Dinnei,1936,1964,1999,7,Silent Lawyer,Medium,M526030,X
521066,Head of Military Intelligence,Hamza Dobrynin,1936,1964,1999,7,Logistics Specialist,Medium,M526035,X
521067,Chief of Staff,Babur Ipatiev,1936,1964,1999,7,School of Manoeuvre,Medium,M526038,X
521069,Chief of Navy,Salim Ibadinov,1936,1964,1999,7,Open Seas Doctrine,Medium,M526042,X
521070,Chief of Air Force,Babur Ipatiev,1936,1964,1999,7,Air Superiority Doctrine,Medium,M526038,X
521071,Head of State,Mohammed Alim Khan,1936,1964,1999,8,Popular Figurehead,Very High,kaiserreich alimkhan,X
521072,Head of Government,Ibrahim Bek,1936,1964,1999,8,Old General,Very High,Kaiserreich_ibragimbekm,X
521073,Chief of Staff,Ibrahim Bek,1936,1964,1999,8,School of Manoeuvre,Very High,Kaiserreich_ibragimbekm,X
521074,Head of State,Shahmurad Alim Khan,1940,1964,1999,8,Powerhungry Demagogue,Very High,KYG_shahmurad_alim_khan,X
521075,Chief of Staff,Shahmurad Alim Khan,1940,1964,1999,8,School of Psychology,Very High,KYG_shahmurad_alim_khan,X
521076,Chief of Army,Shahmurad Alim Khan,1940,1964,1999,8,Armoured Spearhead Doctrine,Very High,KYG_shahmurad_alim_khan,X
521077,Head of State,Ibrahim Bek,1936,1964,1999,8,Ruthless Powermonger,Very High,Kaiserreich_ibragimbekm,X
521078,Head of State,Ishan Babakhan,1936,1964,1999,9,Stern Imperialist,Very High,KYG_ishan_babakhan,X
521079,Head of Government,Ishan Babakhan,1936,1964,1999,9,Naive Optimist,Very High,KYG_ishan_babakhan,X
521080,Minister of Security,Ishan Babakhan,1936,1964,1999,9,Prince of Terror,Very High,KYG_ishan_babakhan,X
521081,Minister of Armament,Abdurrauf Fitrat,1936,1964,1999,3,Military Entrepreneur,Very High,kai_abudfitrat,X
521082,Head of State,Abdurrauf Fitrat,1936,1964,1999,3,Pig-headed Isolationist,Very High,kai_abudfitrat,X
521083,Chief of Army,Isfandiyar Jurgi Bahadur Khan,1936,1964,1999,7,Elastic Defence Doctrine,Very High,kai_isfbhd,X
521084,Minister of Security,Kush-Beggi,1936,1970,1999,8,Man of the People,Very High,KYG_Beggi,X
