LAO,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
540001,Head of State,H.M. Sasiavong Vong,1936,1964,1999,4,Pig-headed Isolationist,High,M540001,x
540002,Head of Government,Eugene H.R. Eutrope,1936,1964,1999,4,Political Protege,High,M540002,x
540003,Foreign Minister,H.R.H. Phaya Khammao,1936,1964,1999,4,Great Compromiser,High,M540003,x
540004,Minister of Armament,Jacques Mouchel-Blaisot,1936,1964,1999,4,Resource Industrialist,Medium,M540004,x
540005,Minister of Security,Jacques Renouvin,1936,1964,1999,4,Compassionate Gentleman,Medium,M540005,x
540006,Head of Military Intelligence,Louis A.M. Brasey,1936,1964,1999,4,Dismal Enigma,Medium,M540006,x
540007,Chief of Staff,Adrien A.M. Roques,1936,1964,1999,4,School of Defence,Medium,M540007,x
540008,Chief of Army,Phetsarath Mahaouphatat,1936,1964,1999,4,Static Defence Doctrine,Medium,M540008,x
540009,Chief of Navy,H.R.H. Souvanna Rath,1936,1964,1999,4,Decisive Naval Battle Doctrine,Medium,M540009,x
540010,Chief of Air Force,H.R.H. Boun Oum,1936,1964,1999,4,Army Aviation Doctrine,Medium,M540010,x
540011,Head of State,H.R.H. Savang Vatana,1936,1964,1999,7,Autocratic Charmer,High,M540011,x
540012,Head of State,H.R.H. Souphanou Vong,1936,1964,1999,0,Die-hard Reformer,High,M540012,x
540013,Head of Government,Adrien A.M. Roques,1940,1964,1999,4,Old General,High,M540007,x
540014,Head of Government,Louis A.M. Brasey,1941,1964,1999,4,Ambitious Union Boss,High,M540006,x
540015,Head of Government,H.R.H. Phaya Khammao,1945,1964,1999,4,Corporate Suit,High,M540003,x
540016,Head of Government,H.R.H. Boun Oum,1946,1964,1999,4,old airmarshal,High,M540010,x
540017,Head of Government,H.R.H. Souvanna Rath,1947,1964,1999,4,Flamboyant Tough Guy,High,M540009,x
540018,Head of Government,Phetsarath Mahaouphatat,1936,1964,1999,7,Old General,High,M540008,x
540019,Head of Government,Khambulatom Oomau,1936,1964,1999,0,Happy Amateur,High,M540019,x
540020,Head of Government,Phomvihanh Kaysone,1945,1964,1999,0,Backroom Backstabber,High,M540020,x
540021,Foreign Minister,Sasorith Kataydon,1942,1964,1999,4,The Cloak N Dagger Schemer,High,M540021,x
540022,Foreign Minister,H.R.H. Boun Oum,1936,1964,1999,7,General Staffer,High,M540010,x
540023,Foreign Minister,Pierre Brossolette,1936,1964,1999,1,Iron Fisted Brute,High,M540023,x
540024,Minister of Armament,Leon Martinaud-Déplat,1942,1964,1999,4,Tank Proponent,Medium,M540024,x
540025,Minister of Armament,H.R.H. Souvanna Rath,1936,1964,1999,7,laissez-faire capitalist,Medium,M540009,x
540026,Minister of Armament,Jules Muracciole,1936,1964,1999,0,Infantry Proponent,Medium,M540026,x
540027,Minister of Security,Jacques Lecompte-Boinet,1942,1964,1999,4,Back Stabber,Medium,M540027,x
540028,Minister of Security,Phetsarath Mahaouphatat,1936,1964,1999,7,Silent Lawyer,Medium,M540008,x
540029,Minister of Security,Phomvihanh Kaysone,1936,1964,1999,0,Efficient Sociopath,Medium,M540029,x
540030,Head of Military Intelligence,Louis Mairet,1942,1964,1999,4,Logistics Specialist,Medium,M540030,x
540031,Head of Military Intelligence,Phousannani Kone,1936,1964,1999,7,Political Specialist,Medium,M540031,x
540032,Head of Military Intelligence,Khambulatom Oomau,1936,1964,1999,0,Technical Specialist,Medium,M540019,x
540033,Chief of Staff,Roger Sinaud,1942,1964,1999,4,School of Mass Combat,Medium,M540033,x
540034,Chief of Staff,Aphay Khou,1936,1964,1999,7,School of Manoeuvre,Medium,M540034,x
540035,Chief of Staff,Phichith Douangchai,1936,1964,1999,0,School of Psychology,Medium,M540035,x
540036,Chief of Army,Henri Adeline,1943,1964,1999,4,Elastic Defence Doctrine,Medium,M540036,x
540037,Chief of Army,Savang Vong,1936,1964,1999,7,Armoured Spearhead Doctrine,Medium,M540037,x
540038,Chief of Army,Vang Pao,1936,1964,1999,0,Guns and Butter Doctrine,Medium,M540038,x
540039,Chief of Navy,Maurice Bayrou,1943,1964,1999,4,Base Control Doctrine,Medium,M540039,x
540040,Chief of Navy,Aphay Khou,1936,1964,1999,7,Power Projection Doctrine,Medium,M540034,x
540041,Chief of Navy,H.R.H. Souphanou Vong,1936,1964,1999,0,Open Seas Doctrine,Medium,M540041,x
540042,Chief of Air Force,Pierre de Maismont,1942,1964,1999,4,Carpet Bombing Doctrine,Medium,M540042,x
540043,Chief of Air Force,Sourith Sasorith,1936,1964,1999,7,Air Superiority Doctrine,Medium,M540043,x
540044,Chief of Air Force,Vang Pao,1936,1964,1999,0,Vertical Envelopment Doctrine,Medium,M540038,x
540045,Head of State,Under German administration,1963,1964,1999,7,Weary Stiffneck,High,kai_gercoladmi,x
540046,Head of State,Under German administration,1963,1964,1999,6,Weary Stiffneck,High,kai_gercoladmi,x
