LAT,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
,Replacements,,,,,,,,,X
27001,Head of State,S.M. Adolf Friedrich I,1936,1964,1999,8,German Aristocrat,High,kaiserreich adolffriedrich,X
27002,Head of Government,Andrievs Niedra,1936,1964,1999,8,Political Protege,High,Kaiserreich Andrievs Niedra,X
27003,Foreign Minister,Alfred Rosenberg,1936,1964,1999,9,Biased Intellectual,High,Kaiserreich Alfred Rosenberg,X
27004,Minister of Armament,Heinrich Freiherr von Stackelberg,1936,1964,1999,8,Administrative Genius,High,Kaiserreich von Stackelberg,X
27005,Minister of Security,Kurt Georg Andersen,1936,1964,1999,7,Crime Fighter,High,Kaiserreich Kurt Andersen,X
27006,Head of Military Intelligence,Walter Zapp,1936,1964,1999,7,Technical Specialist,High,Kaiserreich Walter Zapp,X
27007,Chief of Staff,Rüdiger von der Goltz,1936,1964,1999,8,School of Psychology,High,Kaiserreich von der Goltz,X
27008,Chief of Army,Johan Laidoner,1936,1964,1999,7,Static Defence Doctrine,Medium,M26008,X
27009,Chief of Navy,Alexander von Salza,1936,1964,1999,8,Decisive Naval Battle Doctrine,High,Kaiserreich von Salza,X
27010,Chief of Air Force,Bruno Loerzer,1936,1964,1999,8,Army Aviation Doctrine,High,Kaiserreich Bruno Loerzer,X
27087,Chief of Air Force,Piotr Skut,1936,1970,1999,8,Air Superiority Doctrine,High,Kaiserreich Skut,X
27011,Head of Government,Oskars Dankers,1941,1964,1999,9,Happy Amateur,High,M27039,X
27012,Head of Government,Paul Schiemann,1936,1964,1999,6,Silent Workhorse,High,Kaiserreich Paul Schiemann,X
27013,Head of Government,Otto Tief,1937,1964,1999,5,Happy Amateur,High,M26038,X
27014,Head of State,Reinhard Heydrich,1936,1964,1999,9,Ruthless Powermonger,Very High,M244,X
27015,Head of Government,Reinhard Heydrich,1936,1964,1999,9,Political Protege,Very High,M244,X
27016,Head of Government,Rüdiger von der Goltz,1936,1964,1999,8,Old General,High,Kaiserreich von der Goltz,X
27017,Head of Government,Jüri Uluots,1936,1964,1999,5,Smiling Oilman,High,M26032,X
27018,Head of Government,Reinhold K. Zariñs,1940,1964,1999,6,Political Protege,High,M27012,X
27019,Foreign Minister,Viktor von Marnitz,1936,1964,1999,7,General Staffer,Medium,Kaiserreich von Marnitz,X
27021,Foreign Minister,Paul Schiemann,1936,1964,1999,6,Great Compromiser,High,Kaiserreich Paul Schiemann,X
27022,Minister of Armament,Konstantin Päts,1939,1964,1999,7,Administrative Genius,Medium,M26001,X
27023,Minister of Armament,Alfred Vendt,1936,1964,1999,8,Military Entrepreneur,Medium,M26014,X
27024,Minister of Armament,Peter von Weymarn,1936,1964,1999,6,Theoretical Scientist,High,Kaiserreich von Weymarn,X
27025,Minister of Armament,Leo Sepp,1936,1964,1999,5,Resource Industrialist,Medium,M26056,X
27026,Minister of Armament,Gerhard Krull,1936,1964,1999,7,Laissez-Faire Capitalist,High,Kaiserreich Gerhard Krull,X
27027,Minister of Armament,Alexander von Salzar,1936,1964,1999,8,Battle Fleet Proponent,High,Kaiserreich von Salza,X
27028,Minister of Armament,Hugo Pärtelpoeg,1940,1964,1999,5,Laissez-Faire Capitalist,Medium,M26057,X
27029,Minister of Armament,Edgars Andersons,1945,1964,1999,6,Military Entrepreneur,Medium,M27014,X
27030,Minister of Security,Reinhard Heydrich,1936,1964,1999,9,Prince of Terror,Very High,M244,X
27031,Minister of Security,Johannes Klesment,1936,1964,1999,5,Compassionate Gentleman,Medium,M26067,X
27032,Minister of Security,Julius Seljamaa,1938,1964,1999,7,Prince of Terror,Medium,M26003,X
27033,Minister of Security,Karl Sigismund Litzmann,1938,1964,1999,8,Back Stabber,Low,M26035,X
27034,Minister of Security,Carl Immanuel Hesse,1936,1964,1999,6,Man of the People,High,Kaiserreich Carl Immanuel Hesse,X
27035,Minister of Security,August Jürima,1939,1964,1999,5,Crooked Kleptocrat,Medium,M26066,X
27036,Head of Military Intelligence,Wessel von Loringhoven,1936,1964,1999,7,Dismal Enigma,High,Kaiserreich von Loringhoven,X
