LIT,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
28001,Head of State,J.K.D. Mindaugaas III,1936,1964,1999,8,german aristocrat,High,kaiserreich mindaugasiii,x
28002,Head of Government,Juozas Tubelis,1936,1964,1999,8,Political Protege,High,M28002,x
28003,Foreign Minister,Stasys Lozoraitis,1936,1964,1999,8,Ideological Crusader,Medium,M28003,x
28004,Minister of Armament,Valdemaras Vytautas-Carneckis,1936,1964,1999,8,Military Entrepreneur,Medium,M28004,x
28005,Minister of Security,Antanas Smetona,1936,1964,1999,8,Compassionate Gentleman,Medium,M28001,x
28006,Head of Military Intelligence,Dovas Zaunius,1936,1964,1999,8,Political Specialist,Medium,M28006,x
28007,Chief of Staff,Jonas Galvydis-Bykauskas,1936,1964,1999,8,School of Defence,Medium,M28007,x
28008,Chief of Army,Stasys Rastikis,1936,1964,1999,8,Elastic Defence Doctrine,Medium,M28008,x
28009,Chief of Navy,Garnis Dirmantas,1936,1964,1999,8,Open Seas Doctrine,Medium,M28009,x
28010,Chief of Air Force,Antanas Gustaitis,1936,1964,1999,8,Army Aviation Doctrine,Medium,M28010,x
28031,Head of State,Augustinas Voldemaras,1936,1964,1999,9,Powerhungry Demagogue,High,M28031,x
28032,Head of State,Kazys Skirpa,1940,1964,1999,9,Insignificant Layman,High,M28032,x
28033,Head of State,Theodor von Renteln,1941,1964,1999,9,Resigned Generalissimo,High,M28033,x
28035,Head of State,Antanas Smetona,1940,1964,1999,7,Benevolent Gentleman,High,M28001,x
28036,Head of State,Jonas Zemaitis,1945,1964,1999,7,Autocratic Charmer,High,M28036,x
28037,Head of State,Jupozas Maciusnas,1936,1964,1999,6,Benevolent Gentleman,High,M28011,x
28038,Head of State,Juozas Ambrazevicius,1941,1964,1999,6,Insignificant Layman,High,M28020,x
28039,Head of State,Anatolijus Kairys,1945,1964,1999,6,Die-hard Reformer,High,M28019,x
28040,Head of State,Justas Paleckis,1938,1964,1999,0,Insignificant Layman,High,M28021,x
28041,Head of State,Antanas Snieckus,1945,1964,1999,0,Die-hard Reformer,High,M28041,x
28042,Head of Government,Pranciskus Misiunas,1938,1964,1999,9,Happy Amateur,High,M28042,x
28043,Head of Government,Petras Kubiliunas,1940,1964,1999,9,Silent Workhorse,High,M28043,x
28044,Head of Government,Vladas Mironas,1938,1964,1999,8,Naive Optimist,High,M28044,x
28045,Head of Government,Jonas Cernius,1939,1964,1999,8,Ambitious Union Boss,High,M28014,x
28046,Head of Government,Antanas Merkys,1939,1964,1999,8,Smiling Oilman,High,M28035,x
28047,Head of Government,Dovas Zaunius,1940,1964,1999,7,Happy Amateur,High,M28006,x
28048,Head of Government,Kazimiera Zilenskiene,1945,1964,1999,7,Flamboyant Tough Guy,High,M28048,x
28049,Head of Government,J.K.D. Mindaugas III,1938,1964,1999,8,Backroom Backstabber,High,kaiserreich mindaugasiii,x
28050,Head of Government,Juozas Ambrazevicius,1936,1964,1999,6,Corporate Suit,High,M28020,x
28051,Head of Government,Stasys Lozoraitis,1945,1964,1999,6,Happy Amateur,High,M28003,x
28052,Head of Government,Justas Paleckis,1936,1964,1999,3,Smiling Oilman,High,M28021,x
28053,Head of Government,Vincas Kreve-Mickevicius,1940,1964,1999,0,Political Protege,High,M28053,x
28054,Head of Government,Antanas Snieckus,1945,1964,1999,0,Old Admiral,High,M28041,x
28055,Foreign Minister,Petras Domarkas,1938,1964,1999,9,Biased Intellectual,Medium,M28055,x
28056,Foreign Minister,Azuolas Kuschat,1940,1964,1999,9,Apologetic Clerk,Medium,M28056,x
28057,Foreign Minister,Petras Kubiliunas,1941,1964,1999,9,Ideological Crusader,Medium,M28043,x
28058,Foreign Minister,Juozas Urbsys,1938,1964,1999,8,Ideological Crusader,Medium,M28058,x
28059,Foreign Minister,Ernestas Galvanauskas,1940,1964,1999,7,Apologetic Clerk,Medium,M28059,x
28060,Foreign Minister,Antanas Merkys,1941,1964,1999,7,Ideological Crusader,Medium,M28035,x
28061,Foreign Minister,Karolis Vinewicius,1945,1964,1999,7,Iron Fisted Brute,Medium,M28061,x
28062,Foreign Minister,Giedrius Grigas,1938,1964,1999,6,Biased Intellectual,Medium,M28062,x
28063,Foreign Minister,Jonas Vailokaitis,1940,1964,1999,6,Great Compromiser,Medium,M28063,x
28064,Foreign Minister,Stasys Lozoraitis,1945,1964,1999,6,Apologetic Clerk,Medium,M28003,x
28065,Foreign Minister,Justas Paleckis,1938,1964,1999,0,Ideological Crusader,Medium,M28021,x
28066,Foreign Minister,Vincas Kreve-Mickevicius,1940,1964,1999,0,Biased Intellectual,Medium,M28053,x
28067,Foreign Minister,Karolis Didziulis-Grosmanas,1941,1964,1999,0,The Cloak N Dagger Schemer,Medium,M28067,x
28068,Foreign Minister,Mecislovas Gedvilas,1945,1964,1999,0,Apologetic Clerk,Medium,M28024,x
28069,Minister of Armament,Augustinas Voldemaras,1938,1964,1999,9,Resource Industrialist,Medium,M28031,x
28070,Minister of Armament,Vincentas Latozaitis,1940,1964,1999,9,Strategic Air Proponent,Medium,M28070,x
28071,Minister of Armament,Petras Plechavicius,1941,1964,1999,9,Military Entrepreneur,Medium,M28071,x
28072,Minister of Armament,Vladas Jurgutis,1936,1964,1999,8,Resource Industrialist,Medium,M28072,x
28073,Minister of Armament,Antanas Smetona,1939,1964,1999,8,Air to Ground Proponent,Medium,M28001,x
28074,Minister of Armament,Jonas Cernius,1940,1964,1999,7,Battle Fleet Proponent,Medium,M28014,x
28075,Minister of Armament,Aras Abrutis,1945,1964,1999,7,Administrative Genius,Medium,M28075,x
28076,Minister of Armament,Juozas Purickis,1936,1964,1999,6,Administrative Genius,Medium,M28076,x
28077,Minister of Armament,Leonas Bistras,1941,1964,1999,6,laissez-faire capitalist,Medium,M28077,x
28078,Minister of Armament,Gintare Klumbyte,1945,1964,1999,6,Corrupt Kleptocrat,Medium,M28078,x
28079,Minister of Armament,Vytautas Martinaitis,1938,1964,1999,0,Submarine Proponent,Medium,M28079,x
28080,Minister of Armament,Mecislovas Gedvilas,1940,1964,1999,0,Theoretical Scientist,Medium,M28024,x
28081,Minister of Armament,Icikas Meskupas-Adomas,1941,1964,1999,0,Corrupt Kleptocrat,Medium,M28081,x
28082,Minister of Armament,Antanas Sanirka,1945,1964,1999,0,Air to Sea Proponent,Medium,M28082,x
28083,Minister of Security,Kazys Skirpa,1938,1964,1999,9,Prince of Terror,Medium,M28032,x
28084,Minister of Security,Wilhelm Kube,1941,1964,1999,9,Man of the People,Medium,M28084,x
28085,Minister of Security,Mykolas Slezevicius,1938,1964,1999,8,Prince of Terror,Medium,M28085,x
28086,Minister of Security,Vladas Mironas,1939,1964,1999,8,Efficient Sociopath,High,M28044,x
28087,Minister of Security,Valdemaras Vytautas-Carneckis,1939,1964,1999,8,Crime Fighter,Medium,M28004,x
28088,Minister of Security,Jurgis Vintelaichus,1940,1964,1999,7,Crooked Kleptocrat,Medium,M28088,x
28089,Minister of Security,Jonas Endrasius,1941,1964,1999,7,Back Stabber,Medium,M28089,x
28090,Minister of Security,Mecislovas Reinys,1945,1964,1999,7,Efficient Sociopath,Medium,M28090,x
28091,Minister of Security,Pranas Dovydaitis,1936,1964,1999,6,Silent Lawyer,Medium,M28091,x
28092,Minister of Security,Linas Brodovskis,1940,1964,1999,6,Efficient Sociopath,Medium,M28015,x
28093,Minister of Security,Mykolas Filipavicius,1945,1964,1999,6,Compassionate Gentleman,Medium,M28093,x
28094,Minister of Security,Domas Rocius,1938,1964,1999,0,Efficient Sociopath,Medium,M28094,x
28095,Minister of Security,Povilas Pakarklis,1940,1964,1999,0,Silent Lawyer,Medium,M28025,x
28096,Minister of Security,Antanas Snieckus,1941,1964,1999,0,Crime Fighter,Medium,M28041,x
28097,Minister of Security,Juozas Kupcinkas,1945,1964,1999,0,Compassionate Gentleman,Medium,M28097,x
28098,Minister of Security,Jurgis Terleckas,1946,1964,1999,0,Prince of Terror,Medium,M28098,x
28099,Head of Military Intelligence,Pranciskis Misiunas,1938,1964,1999,9,Logistics Specialist,Medium,M28042,x
28100,Head of Military Intelligence,Theodor von Renteln,1941,1964,1999,9,Dismal Enigma,High,M28033,x
28101,Head of Military Intelligence,Juozas Tubelis,1936,1964,1999,8,Logistics Specialist,Medium,M28002,x
28102,Head of Military Intelligence,Juozas Baltakis,1936,1964,1999,8,Political Specialist,Medium,M28102,x
28103,Head of Military Intelligence,Franciskus Ivinskis,1940,1964,1999,7,Logistics Specialist,High,M28103,x
28104,Head of Military Intelligence,Kazimiera Zilenskiene,1941,1964,1999,7,Industrial Specialist,High,M28048,x
28105,Head of Military Intelligence,Juozas Alsauskas,1945,1964,1999,7,Naval Intelligence Specialist,High,M28105,x
28106,Head of Military Intelligence,Juozas Maciunas,1936,1964,1999,6,Political Specialist,Medium,M28011,x
28107,Head of Military Intelligence,Jurgis Saulys,1941,1964,1999,6,Technical Specialist,Medium,M28107,x
28108,Head of Military Intelligence,Antanas Ceponis,1945,1964,1999,6,Dismal Enigma,Medium,M28108,x
28109,Head of Military Intelligence,Vincentas Leskys,1938,1964,1999,0,Industrial Specialist,Medium,M28109,x
28110,Head of Military Intelligence,Vytautas Ambrazas,1940,1964,1999,0,Political Specialist,Medium,M28110,x
28111,Head of Military Intelligence,Chaimas Aizenas,1941,1964,1999,0,Dismal Enigma,Medium,M28111,x
28112,Head of Military Intelligence,Pranas Zibertas,1945,1964,1999,0,Technical Specialist,Medium,M28026,x
28113,Chief of Staff,Petras Kubiliunas,1938,1964,1999,9,School of Mass Combat,Medium,M28043,x
28114,Chief of Staff,Jonas Cernius,1936,1964,1999,8,School of Manoeuvre,High,M28014,x
28115,Chief of Staff,Stasys Rastikis,1938,1964,1999,8,School of Fire Support,Medium,M28008,x
28117,Chief of Staff,Jonas Zemaitis,1945,1964,1999,7,School of Psychology,High,M28036,x
28118,Chief of Staff,Juoza Barzda-Bradauskas,1938,1964,1999,6,School of Psychology,Medium,M28017,x
