LUX,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
66001,Head of State,H.R.H. Charlotte,1936,1964,1999,6,Popular Figurehead,High,M66001,x
66002,Head of Government,Joseph Bech,1936,1964,1999,6,Naive Optimist,High,M66002,x
66003,Foreign Minister,Joseph Bech,1936,1964,1999,6,Ideological Crusader,Very High,M66002,x
66004,Minister of Armament,Pierre Dupong,1936,1964,1999,6,laissez-faire capitalist,Very High,M66004,x
66005,Minister of Security,Norbert Dumont,1936,1964,1999,6,Crime Fighter,Very High,M66005,x
66006,Head of Military Intelligence,Nicholas Marque,1936,1964,1999,6,Industrial Specialist,Very High,M66006,x
66007,Chief of Staff,Pierre Dupong,1936,1964,1999,6,School of Defence,Very High,M66004,x
66008,Chief of Army,Emile Speller,1936,1964,1999,6,Static Defence Doctrine,Very High,M66008,x
66009,Chief of Navy,Emile Speller,1936,1964,1999,6,Open Seas Doctrine,Very High,M66008,x
66010,Chief of Air Force,Nicholas Diedrich,1936,1964,1999,6,Army Aviation Doctrine,Very High,M66010,x
66034,Head of State,Alexander von Falkenhausen,1940,1964,1999,8,Resigned Generalissimo,High,M66034,x
66035,Head of State,Guillaume Soisson,1945,1964,1999,7,Popular Figurehead,High,M66016,x
66036,Head of State,Paul Medinger,1936,1964,1999,1,Pig-headed Isolationist,High,M66021,x
66037,Head of State,Martin Karp,1945,1964,1999,2,Die-hard Reformer,High,M66024,x
66038,Head of Government,Pierre Dupong,1937,1964,1999,6,Silent Workhorse,High,M66004,x
66039,Head of Government,René Blum,1936,1964,1999,3,Ambitious Union Boss,High,M66039,x
66040,Head of Government,Damian Kratzenberg,1936,1964,1999,8,Corporate Suit,High,M66011,x
66041,Head of Government,Guillaume Soisson,1945,1964,1999,7,Happy Amateur,High,M66016,x
66042,Head of Government,Paul Medinger,1936,1964,1999,1,Ambitious Union Boss,High,M66021,x
66043,Head of Government,Martin Karp,1945,1964,1999,2,Corporate Suit,High,M66024,x
66045,Foreign Minister,Pierre Krier,1936,1964,1999,3,Apologetic Clerk,High,M66045,x
66046,Foreign Minister,René Blum,1939,1964,1999,3,Iron Fisted Brute,High,M66039,x
66047,Foreign Minister,Damian Kratzenberg,1936,1964,1999,8,Biased Intellectual,Low,M66011,x
66048,Foreign Minister,Henri Ahnen,1945,1964,1999,7,Iron Fisted Brute,Medium,M66015,x
66049,Foreign Minister,Paul Medinger,1936,1964,1999,1,Biased Intellectual,Medium,M66021,x
66050,Foreign Minister,Francois Schammel,1945,1964,1999,2,General Staffer,Very High,M66050,x
66052,Minister of Armament,Jules Keiffer,1944,1964,1999,6,Military Entrepreneur,Medium,M66052,x
66053,Minister of Armament,Auguste Oster,1945,1964,1999,6,Administrative Genius,High,M66053,x
66054,Minister of Armament,Pierre Krier,1936,1964,1999,3,Resource Industrialist,High,M66045,x
66055,Minister of Armament,Alex Federspiel,1940,1964,1999,3,Infantry Proponent,Medium,M66055,x
66056,Minister of Armament,Gustave Farver,1936,1964,1999,8,Tank Proponent,Medium,M66014,x
66057,Minister of Armament,Philip Hoffmann,1945,1964,1999,7,Theoretical Scientist,Medium,M66057,x
66058,Minister of Armament,Martin Karp,1936,1964,1999,1,Infantry Proponent,Medium,M66024,x
66059,Minister of Armament,Jean Pierre Kauder,1945,1964,1999,2,Military Entrepreneur,Medium,M66025,x
66060,Minister of Security,Nicolas Braunshausen,1936,1964,1999,6,Back Stabber,High,M66060,x
66061,Minister of Security,Etienne Schmit,1937,1964,1999,6,Silent Lawyer,High,M66061,x
66062,Minister of Security,Joseph Bech,1938,1964,1999,6,Compassionate Gentleman,Very High,M66002,x
66063,Minister of Security,Robert Als,1944,1964,1999,6,Crime Fighter,High,M66063,x
66064,Minister of Security,Victor Bodson,1946,1964,1999,6,Man of the People,High,M66064,x
66065,Minister of Security,René Blum,1936,1964,1999,3,Crime Fighter,Very High,M66039,x
66066,Minister of Security,Joseph Goedert,1944,1964,1999,3,Compassionate Gentleman,Medium,M66066,x
66067,Minister of Security,Henri Ahnen,1936,1964,1999,8,Compassionate Gentleman,Medium,M66015,x
66069,Minister of Security,Jean Pierre Kauder,1936,1964,1999,1,Man of the People,Medium,M66025,x
66070,Minister of Security,Michel Hansen,1945,1964,1999,2,Efficient Sociopath,High,M66070,x
66072,Head of Military Intelligence,Edmond Klein,1940,1964,1999,6,Dismal Enigma,Very High,M66072,x
66073,Head of Military Intelligence,Joseph Tockert,1936,1964,1999,3,Technical Specialist,Very High,M66073,x
66074,Head of Military Intelligence,Francois Schammel,1944,1964,1999,3,Logistics Specialist,Very High,M66050,x
66075,Head of Military Intelligence,Charles Becker,1945,1964,1999,3,Political Specialist,Very High,M66075,x
66076,Head of Military Intelligence,Guillaume Soisson,1936,1964,1999,8,Logistics Specialist,Medium,M66016,x
