MEN,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
822000,Head of State,Liang Hongzhi,1936,1964,1999,8,Ruthless Powermonger,High,Liang_Hongzhi,x
822001,Head of Government,Liang Hongzhi,1936,1964,1999,8,Flamboyant Tough Guy,High,Liang_Hongzhi,x
822002,Head of State,Wang Jingwei,1936,1964,1999,6,Ruthless Powermonger,High,Wang_jinwej,x
822003,Head of Government,Wang Jingwei,1936,1964,1999,6,Backroom Backstabber,High,Wang_jinwej,x
822004,Head of State,Chen Gongbo,1936,1964,1999,7,Weary Stiffneck,Medium,Chen_Gongbo,x
822005,Head of Government,Chen Gongbo,1936,1964,1999,7,Happy Amateur,Medium,Chen_Gongbo,x
822006,Minister of Armament,Zhou Fohai,1936,1964,1999,8,laissez-faire capitalist,Medium,Zhou_Fohai,x
822007,Chief of Army,Wu Peifu,1936,1964,1999,8,Decisive Battle Doctrine,Medium,Wu_Peifu,x
822008,Head of State,Wu Peifu,1936,1964,1999,8,Resigned Generalissimo,Medium,Wu_Peifu,x
822009,Chief of Army,Wang Buching,1936,1964,1999,8,Static Defence Doctrine,Medium,Wang_Buching,x
822010,Foreign Minister,Kamataro Honda,1936,1964,1999,8,General Staffer,Medium,m,x
822011,Chief of Staff,Noboyuki Abe,1960,1964,1999,8,School of Psychology,Medium,M5035,x
822012,Chief of Army,Teiichi Suzuki,1960,1964,1999,8,Guns and Butter Doctrine,Medium,Teichi_Suzuki,x
822013,Chief of Air Force,Teiichi Suzuki,1960,1964,1999,8,Air Superiority Doctrine,Medium,Teichi_Suzuki,x
822014,Minister of Armament,Kaya Okinori,1936,1964,1999,8,Administrative Genius,Medium,KayaOkinori,x
822015,Foreign Minister,Chu Minyi,1936,1964,1999,8,Biased Intellectual,Medium,Chu_Minyi,x
822016,Minister of Security,Tao Liang,1936,1964,1999,8,Man of the People,Medium,tantaoliang,x
822017,Head of Military Intelligence,Wang Zihui,1936,1964,1999,8,Political Specialist,Medium,WangZihui,x
822018,Chief of Navy,Ren Yuandao,1936,1964,1999,8,Open Seas Doctrine,High,M52019,x
822019,Head of State,Alexander von Falkenhausen,1960,1964,1999,7,Resigned generalissimo,High,L50304,x
822020,Chief of Navy,Otto Ciliax,1960,1964,1999,7,Indirect Approach Doctrine,High,Kaiserreich_Ciliax,x
