MEX,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
36000,Head of State,Emiliano Zapata,1936,1964,1999,1,Syndicalist Demagogue,High,Zapata,x
36001,Head of Government,Emiliano Zapata,1936,1964,1999,1,reformist soldierHoG,High,Zapata,x
36002,Foreign Minister,Francisco Castillo Najera,1936,1954,1999,2,General Staffer,Medium,M36051,x
36003,Minister of Armament,Luis Cabrera,1936,1954,1999,1,Industrialiser,Medium,MEX_CabreraLobato,x
36004,Minister of Security,Pancho Villa,1936,1964,1999,2,Man of the People,High,Arambula,x
36005,Head of Military Intelligence,Plutarco Elias Calles,1936,1964,1999,0,Political Specialist,High,Calles,x
36006,Chief of Staff,Manuel Palafox,1936,1959,1999,1,School of Fire Support,Low,M36026,x
36007,Chief of Army,Plutarco Elias Calles,1936,1964,1999,0,Static Defence Doctrine,High,Calles,x
36008,Chief of Navy,Heriberto Jara Corona,1936,1964,1999,1,Base Control Doctrine,High,Corona,x
36009,Chief of Air Force,Gustavo Salinas Camiña,1936,1964,1999,2,Naval Aviation Doctrine,Medium,M36010,x
,Replacements,,,,,,,,,x
36010,Head of State,Jose Antonio Urquiza,1940,1964,1999,9,Ruthless Dictator,Medium,MEX_Urquiza,x
36011,Head of State,Aquiles Elorduy García,1940,1964,1999,8,Autocratic Charmer,Medium,MEX_Elorduy,x
36012,Head of State,Francisco R. Serrano,1936,1961,1999,7,Resigned Generalissimo,Medium,M36057,x
36013,Head of State,Efrain Gonzalez Luna,1940,1964,1999,7,powerhungry demagogue,Medium,MEX_Luna,x
36014,Head of State,Juan Andreu Almazan,1945,1964,1999,7,Popular Figurehead,High,M36014,x
36015,Head of State,Pablo González Garza,1936,1964,1999,7,Resigned Generalissimo,Medium,MEX_Pablo,x
36016,Head of State,Adolfo de la Huerta,1936,1955,1999,6,reformist soldierHoS,High,MEX_Huerta,x
36017,Head of State,Luis Bustamante Benitez,1946,1964,1999,6,Powerhungry Demagogue,High,M36035,x
36018,Head of State,Manuel M. Marquez,1940,1964,1999,6,Insignificant Layman,High,M36034,x
36019,Head of State,Manuel Gomez Morin,1936,1964,1999,5,Weary Stiffneck,High,M36034,x
36020,Head of State,José Vasconcelos,1936,1959,1999,4,Die-Hard Reformer,High,MEX_Vasconcelos,x
36021,Head of State,Lazaro Cardenas,1936,1964,1999,3,Autocratic Charmer,High,M36001,x
36022,Head of State,Manuel Avila Camacho,1940,1955,1999,3,Benevolent Gentleman,High,M36032,x
36023,Head of State,Miguel Aleman Valdes,1946,1964,1999,3,Autocratic Charmer,High,M36033,x
36024,Head of State,Pancho Villa,1936,1964,1999,2,Die-hard Reformer,High,Arambula,x
36025,Head of State,Vicente Lombardo Toledano,1936,1964,1999,1,Popular Figurehead,High,Toledano,x
36026,Head of State,Procopio Herrera,1946,1964,1999,1,Die-hard Reformer,High,M36025,x
36027,Head of State,Plutarco Elias Calles,1936,1964,1999,0,totalist president,High,Calles,x
36028,Head of State,Heriberto Jara Corona,1936,1964,1999,0,Die-hard Reformer,High,Corona,x
36029,Head of Government,Jesus Guisa y Acevedo,1940,1964,1999,9,Flamboyant Tough Guy,High,MEX_Guisa,x
36030,Head of Government,Luis G. Quintana,1940,1964,1999,8,Political Protege,High,M36012,x
36031,Head of Government,Enrique Goroztieta Velarde,1936,1964,1999,8,Respected War Hero,High,MEX_Gorostiera,x
36032,Head of Government,Rene Capistrán Garza,1936,1964,1999,8,Naive Optimist,High,MEX_Rene,x
36033,Head of Government,Juan Andreu Almazan,1945,1964,1999,7,Happy Amateur,High,M36014,x
36034,Head of Government,Efrain Gonzalez Luna,1940,1964,1999,7,pragmatic statesman,Medium,MEX_Luna,x
36035,Head of Government,Luis Calderon Vega,1940,1964,1999,7,pragmatic statesman,High,MEX_Vega,x
36036,Head of Government,Jacinto Blas Treviño González,1936,1964,1999,7,Old General,High,MEX_Trevino,x
36037,Head of Government,Manuel M. Marquez,1940,1964,1999,6,Old General,High,M36034,x
36038,Head of Government,Aaron Saenz,1936,1964,1999,6,Happy Amateur,High,MEX_Aaron,x
36039,Head of Government,Luis Bustamante Benitez,1946,1964,1999,6,Silent Workhorse,High,M36035,x
36040,Head of Government,Daniel Cosio Villegas,1936,1964,1999,6,Corporate Suit,High,MEX_Villegas,x
36041,Head of Government,Antonio Díaz Soto y Gama,1936,1964,1999,4,Silent Workhorse,High,MEX_Gama,x
36042,Head of Government,Lazaro Cardenas,1936,1964,1999,3,Flamboyant Tough Guy,High,M36001,x
36043,Head of Government,Ignacio Garcia Tellez,1936,1964,1999,3,Smiling Oilman,High,MEX_Ignacio,x
36044,Head of Government,Manuel Avila Camacho,1940,1955,1999,3,Corporate Suit,High,M36032,x
36045,Head of Government,Miguel Aleman Valdes,1946,1964,1999,3,Smiling Oilman,High,M36033,x
36046,Head of Government,Pancho Villa,1936,1964,1999,2,Old General,High,Arambula,x
36047,Head of Government,Vicente Lombardo Toledano,1936,1964,1999,1,Silent Workhorse,High,Toledano,x
36048,Head of Government,Procopio Herrera,1946,1964,1999,1,Naive Optimist,High,M36025,x
36049,Head of Government,Agustín Olachea Avilé,1936,1964,1999,1,old airmarshal,High,Aviles,x
36050,Head of Government,Plutarco Elias Calles,1936,1964,1999,0,totalist chairman,High,Calles,x
36051,Head of Government,Pascual Ortiz Rubio,1936,1964,1999,0,Silent Workhorse,High,MEX_Rubio,x
36052,Head of Government,Abelardo L. Rodriguez,1936,1964,1999,0,pragmatic statesman,High,MEX_Abelardo,x
36053,Foreign Minister,Jose Antonio Urquiza,1936,1964,1999,9,Ideological Crusader,Medium,MEX_Urquiza,x
36054,Foreign Minister,Gustavo Molina Font,1941,1964,1999,9,The Cloak N Dagger Schemer,Very Low,unknown,x
36055,Foreign Minister,Pazcual Díaz Barreto,1936,1954,1999,8,Great Compromiser,Medium,MEX_DiazBarreto,x
36056,Foreign Minister,Luis María Martinez y Rodriguez,1936,1956,1999,8,Apologetic Clerk,Medium,MEX_LuisMaria,x
36057,Foreign Minister,Pino G. Calles,1940,1964,1999,7,Biased Intellectual,Very Low,M36011,x
36058,Foreign Minister,Francisco R. Serrano,1939,1961,1999,7,General Staffer,Medium,M36057,x
36059,Foreign Minister,Juan G. Lascaran,1946,1964,1999,6,Apologetic Clerk,Medium,M36055,x
36060,Foreign Minister,Alesso Melecio,1940,1964,1999,6,Biased Intellectual,Medium,M36053,x
